"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","p_adjusted","symbol","UniProt","label"
"ADH1B_P00325_MS",-0.0466717934721332,-0.031836010999683,0.07406920698377,-0.63011061374479,0.528920811722888,0.0188696638041757,0.00869196322123156,482,-0.192210221315485,0.0988666343712186,1086.14171627612,0.756574732969662,"ADH1B","P00325","ADH1B"
"ADIPOQ_Q15848_MS",0.0332799458685896,0.0373107756047238,0.0439845269560463,0.756628482144328,0.449635363499479,0.0528162344332355,0.0431707785720667,491,-0.0531411704156009,0.11970106215278,594.245261811405,0.717029911899413,"ADIPOQ","Q15848","ADIPOQ"
"ADIRF_Q15847_MS",0.00218678355060087,0.00384030202533014,0.0232789974200869,0.0939380468642495,0.925196690641458,0.349003320968229,0.342374026884403,491,-0.0435519587355465,0.0479255258367483,-38.2233762445342,0.962280627881969,"ADIRF","Q15847","ADIRF"
"ADM_P35318_MS",-0.0141661539792205,-0.0250503378135514,0.0193846547279092,-0.730792174431909,0.465254675441909,0.542311015313146,0.537650231355032,491,-0.0522532636131059,0.0239209556546648,-220.194753593984,0.722372703752117,"ADM","P35318","ADM"
"ADPGK_Q9BRR6_MS",-0.00571939924579408,-0.00718894061270709,0.0406886146456142,-0.140565101456718,0.888274257387489,0.0453223532650373,0.0350790308751771,466,-0.0856752823836567,0.0742364838920685,460.694046957729,0.948208920845304,"ADPGK","Q9BRR6","ADPGK"
"AEBP1_Q8IUX7_MS",-0.027997214911682,-0.0636155507698736,0.0154782364639596,-1.80881168063767,0.0710918149923993,0.518195404300277,0.513289043855269,491,-0.0584089657226606,0.00241453589929656,-443.891294172147,0.318340339700478,"AEBP1","Q8IUX7","AEBP1"
"AFM_P43652_MS",-0.0131647483462224,-0.0199076277581177,0.0255797033947229,-0.514656020168643,0.607024994361532,0.417177953867535,0.411242902481258,491,-0.0634239343504173,0.0370944376579724,55.4587829775985,0.811477477510202,"AFM","P43652","AFM"
"AGA_P20933_MS",-0.0209120591281284,-0.0373275427622166,0.0225389503764238,-0.927818677395147,0.353957494631389,0.369531134682656,0.363110881471685,491,-0.0651967516371781,0.0233726333809213,-70.3361519637876,0.643529807826516,"AGA","P20933","AGA"
"AGRN_O00468_MS",0.00480939343914441,0.00881142067186963,0.013976761542548,0.344099269670136,0.730918947569912,0.744579687185665,0.741978665670244,491,-0.0226522486003842,0.032271035478673,-545.317938408331,0.881632866437129,"AGRN","O00468","AGRN"
"AGT_P01019_MS",-0.000396253927999914,-0.000655699427798289,0.0186314028267815,-0.0212680672348688,0.98304045673271,0.62975890391042,0.625988627982827,491,-0.0370033687854564,0.0362108609294566,-259.590232462143,0.993957002379418,"AGT","P01019","AGT"
"AHCY_P23526_MS",0.0718784928242583,0.0713847324064228,0.0480978755771579,1.4944213639738,0.135710515724004,0.11537770682033,0.106332489098657,489,-0.0226255156231616,0.166382501271678,677.943473085573,0.423014068523369,"AHCY","P23526","AHCY"
"AHI1_Q8N157_MS",-0.0470392546243206,-0.0460315738577294,0.0528940104110733,-0.889311554536106,0.374300487483768,0.0374418861124895,0.02697929791806,460,-0.150983097265949,0.0569045880173078,692.69960638288,0.661012448441257,"AHI1","Q8N157","AHI1"
"AHNAK_Q09666_MS",-0.033975068223294,-0.0724243122198798,0.0216262047175385,-1.57101390036047,0.116823579158857,0.17217265771263,0.163742644043716,491,-0.0764663914685742,0.00851625502198607,-111.427296514912,0.402127422138651,"AHNAK","Q09666","AHNAK"
"AHNAK2_Q8IVF2_MS",-0.046021070408661,-0.0645999073933428,0.0358514163340555,-1.283661152459,0.199876025322052,0.0375655271781427,0.0276024373973782,483,-0.116465075261869,0.024422934444547,372.987004824381,0.509826388951821,"AHNAK2","Q8IVF2","AHNAK2"
"AHSG_P02765_MS",-0.0136646276663418,-0.0267619475066706,0.0190625349746719,-0.716831611561513,0.473818840586436,0.457084558765371,0.451555888284367,491,-0.051118834082244,0.0237895787495604,-236.851082929981,0.725802429652339,"AHSG","P02765","AHSG"
"AIF1_P55008_MS",-0.000689956161659912,-0.000927003542441777,0.0348523911354722,-0.0197965229696303,0.984214312848219,0.195543680924746,0.186761406699034,458,-0.0691803799934958,0.0678004676701759,311.955594107349,0.994533084974935,"AIF1","P55008","AIF1"
"AJAP1_Q9UKB5_MS",0.0448070705658819,0.0508056862649266,0.0241655194309633,1.85417369959243,0.0643137518850373,0.707547812785671,0.704569684606299,491,-0.00267351657100128,0.0922876577027651,-1.07238325617216,0.304850196288795,"AJAP1","Q9UKB5","AJAP1"
"AK1_P00568_MS",0.00929114210925675,0.00903165598558155,0.0506536654262986,0.183424872239017,0.854541476191686,0.0689319767605333,0.0593135054460761,484,-0.0902371024784287,0.108819386696942,717.743551683218,0.931407374893884,"AK1","P00568","AK1"
"AKAP12_Q02952_MS",0.00548118973658932,0.00820600624457013,0.0324250428752278,0.169041865501336,0.865833469621196,0.0827704234827197,0.0734109380080536,490,-0.0582280899995505,0.0691904694727292,290.162395424005,0.936526953060246,"AKAP12","Q02952","AKAP12"
"AKR1A1_P14550_MS",0.0307491395830898,0.0503353737187034,0.0293695293339918,1.04697420354984,0.295626589915312,0.0996617622437449,0.0904933484173064,491,-0.026956323802278,0.0884546029684576,192.788350665485,0.597750467521071,"AKR1A1","P14550","AKR1A1"
"AKR1B1_P15121_MS",0.0133058565904529,0.0272694648859763,0.0188534746882284,0.705750892633106,0.480677768889727,0.418457549522152,0.412535528641522,491,-0.0237375866645042,0.0503492998454099,-247.812575581509,0.730945428878294,"AKR1B1","P15121","AKR1B1"
"ALAD_P13716_MS",0.147078485792416,0.0932784481386124,0.078746220912208,1.86775294215566,0.0623932252429363,0.0296040375728864,0.0197020379562833,490,-0.00764343810957283,0.301800409694405,1170.16028595369,0.300675923551674,"ALAD","P13716","ALAD"
"ALB_P02768_MS",-0.00775967419610281,-0.018736366058404,0.0109567479087627,-0.708209612990818,0.479151160947144,0.727367168870168,0.724590867127501,491,-0.0292875716329896,0.013768223240784,-787.297841945552,0.729951276737118,"ALB","P02768","ALB"
"ALCAM_Q13740_MS",0.0120776349410525,0.0205950873104665,0.0127128925609352,0.95003044218003,0.342564167300429,0.816944284144438,0.815080172985013,491,-0.0129007481938825,0.0370560180759874,-639.528681728943,0.635203063729705,"ALCAM","Q13740","ALCAM"
"ALDH1A1_P00352_MS",0.0528695814448135,0.0861955630191331,0.0272686445638697,1.93884156291598,0.0530944450753227,0.231119963398343,0.223274248739142,490,-0.000708318551494259,0.106447481441121,118.229519598086,0.27765821420572,"ALDH1A1","P00352","ALDH1A1"
"ALDOA_P04075_MS",0.108181876105308,0.147489425802651,0.0173813983259233,6.22400304490817,1.04008222347947e-09,0.781267538844512,0.779040120706473,491,0.0740307791205091,0.142332973090107,-328.621453496181,1.05256321016123e-06,"ALDOA","P04075","ALDOA"
"ALDOC_P09972_MS",0.0537742604683398,0.0806389936237101,0.0147525692834299,3.64507764276281,0.000295818555580743,0.809362780972697,0.807421465096655,491,0.0247883057755017,0.0827602151611778,-491.620869912293,0.00997894594159041,"ALDOC","P09972","ALDOC"
"AMBP_P02760_MS",0.00853437455769386,0.0147852752624782,0.0215790226362155,0.395494026841181,0.692650104520901,0.455610131511953,0.450066446496799,491,-0.0338642449933845,0.0509329941087722,-113.598284163901,0.866454766100311,"AMBP","P02760","AMBP"
"AMIGO2_Q86SJ2_MS",-0.0880917704746401,-0.0992336566531006,0.0447997655257552,-1.96634445383417,0.0498703334806077,0.0873652328284417,0.0772697154924731,452,-0.176133444117221,-5.00968320591016e-05,527.432715740403,0.269096247009563,"AMIGO2","Q86SJ2","AMIGO2"
"AMPH_P49418_MS",0.0184773221280863,0.0291363071901348,0.0277089192224738,0.666836623245122,0.505190367480589,0.257303299789247,0.249724762031994,490,-0.0359656370600836,0.0729202813162562,133.990082275306,0.73987359173713,"AMPH","P49418","AMPH"
"AMY1A_P04745_MS",-0.0118988061375993,-0.0305581288579981,0.0164468507236401,-0.723470185115528,0.469736987546623,0.306800216918721,0.299712284576377,489,-0.0442140238279724,0.0204164115527737,-383.068383832137,0.723552254790232,"AMY1A","P04745","AMY1A"
"ANG_P03950_MS",-0.0528625717192854,-0.110869095850313,0.0230918639287225,-2.28922930961554,0.0224896466594492,0.0863634206637891,0.0770595858436647,491,-0.0982336327698466,-0.00749151066872431,-46.2461601567409,0.17242062438911,"ANG","P03950","ANG"
"ANGPTL1_O95841_MS",0.023076028767657,0.0468179583799712,0.0242817251948484,0.95034552044732,0.342411019651316,0.0837663010538342,0.0743010768911673,484,-0.0246345853382495,0.0707866428735636,-11.4373149346952,0.635203063729705,"ANGPTL1","O95841","ANGPTL1"
"ANGPTL2_Q9UKU9_MS",-0.0348013064572948,-0.0699238100327507,0.0197447746613357,-1.76255779335091,0.0785972105566716,0.386951973156725,0.380709121559543,491,-0.0735959823376924,0.00399336942310275,-201.89807375995,0.335711285535337,"ANGPTL2","Q9UKU9","ANGPTL2"
"ANGPTL4_Q9BY76_MS",0.0790154725535714,0.127688707967909,0.0273918582397251,2.884633523657,0.00409094476856821,0.236771190640774,0.228999003172757,491,0.0251957516198684,0.132835193487274,123.494727055847,0.0600005232723337,"ANGPTL4","Q9BY76","ANGPTL4"
"ANGPTL7_O43827_MS",-0.0299329360961305,-0.0477127127046923,0.03151676768623,-0.949746382437831,0.342708372328477,0.0169310371707008,0.0069201516021743,491,-0.0918573089064896,0.0319914367142286,262.926970737139,0.635203063729705,"ANGPTL7","O43827","ANGPTL7"
"ANKRD2_Q9GZV1_MS",0.0145945659906705,0.0138473358361628,0.0579093184912689,0.252024481912544,0.801143969797583,0.0237846505906426,0.0122997641270032,425,-0.0992297585430216,0.128418890524363,674.558389273149,0.906490854133111,"ANKRD2","Q9GZV1","ANKRD2"
"ANPEP_P15144_MS",-0.00574101789122503,-0.020013698157091,0.0138740093671617,-0.4137965990432,0.679203758026335,0.088803757725891,0.07952477358868,491,-0.0330007717143274,0.0215187359318774,-552.652466136636,0.856516140962805,"ANPEP","P15144","ANPEP"
"ANTXR1_Q9H6X2_MS",-0.0228139658816909,-0.0553449786366806,0.01888820477172,-1.207841939317,0.227689521022149,0.182161972334665,0.173833682847238,491,-0.0599256470555639,0.0142977152921822,-245.983207454352,0.535242265445794,"ANTXR1","Q9H6X2","ANTXR1"
"ANTXR2_P58335_MS",-0.0773779404372587,-0.0815926621887965,0.049182093851144,-1.57329496119976,0.116332120620831,0.0187177242816572,0.00814356182779574,464,-0.174025170104656,0.0192692892301387,636.280688540964,0.401802409789354,"ANTXR2","P58335","ANTXR2"
"ANXA1_P04083_MS",-0.040927810804177,-0.0446430598448906,0.0470854450761443,-0.869224252589957,0.385161640257141,0.00479621126769657,-0.00563569427457078,477,-0.133448343302811,0.0515927216944569,628.68974248953,0.670307102218791,"ANXA1","P04083","ANXA1"
"ANXA2_P07355_MS",-0.0658917546882507,-0.104778770322622,0.0297575856928838,-2.21428429605457,0.0272687328801398,0.128332370468448,0.119437802820167,490,-0.124359968854545,-0.00742354052195671,205.217309086139,0.194613452521408,"ANXA2","P07355","ANXA2"
"ANXA5_P08758_MS",-0.0167730494133616,-0.0271169078174615,0.0274842286070682,-0.610279067794104,0.54195931427867,0.230950234682993,0.223118770677728,491,-0.070774260312055,0.0372281614853317,126.84103825005,0.76387580229807,"ANXA5","P08758","ANXA5"
"AOC3_Q16853_MS",0.00238260859183716,0.00489396997848333,0.0242216004921591,0.0983670997549669,0.92168102418284,0.0365575322167133,0.026726486627088,490,-0.0452084070114427,0.049973624195117,0.809650182681054,0.960774520233566,"AOC3","Q16853","AOC3"
"AP1B1_Q10567_MS",-0.0372338490480002,-0.0529187857070885,0.0332998122423963,-1.11813990952763,0.264054011116771,0.12751392304546,0.118629136111096,491,-0.102661560682085,0.028193862586085,317.628825354201,0.567975250986931,"AP1B1","Q10567","AP1B1"
"AP2A1_O95782_MS",0.0643701354658422,0.0586022636719157,0.0549255035213249,1.17195348861664,0.24180945163392,0.0801039308834239,0.0703178024885667,470,-0.0435598066158496,0.172300077547534,753.899181636513,0.549912730457364,"AP2A1","O95782","AP2A1"
"AP2A2_O94973_MS",0.00465404916039879,0.00603422883258813,0.035645628541309,0.130564373552996,0.896173730804298,0.170269943530811,0.16176861098502,488,-0.0653838031868985,0.0746919015076961,381.761952060269,0.950689307788295,"AP2A2","O94973","AP2A2"
"AP2B1_P63010_MS",0.0467807607191422,0.078122682251555,0.0151629124767102,3.08520944053435,0.00214883350857098,0.750243930381491,0.747700589550345,491,0.016988560756045,0.0765729606822395,-464.350259923729,0.039538536557706,"AP2B1","P63010","AP2B1"
"AP5B1_Q2VPB7_MS",0.0406512777371212,0.0532207781712237,0.0323067477957535,1.25829062071251,0.208922198535709,0.331308344173142,0.324071421491033,462,-0.0228351006933968,0.104137656167639,251.791263424623,0.514426435323935,"AP5B1","Q2VPB7","AP5B1"
"APCS_P02743_MS",-0.0077660387336873,-0.00693799318562352,0.0423528133949023,-0.183365356659448,0.854587050686298,0.442346765376821,0.436668015533408,491,-0.0909811524263067,0.0754490749589321,556.669019081021,0.931407374893884,"APCS","P02743","APCS"
"APLP1_P51693_MS",0.0275530999498769,0.0361477831967862,0.017690071683925,1.5575459750632,0.119985211584394,0.790196537756653,0.78806004628778,491,-0.00720448067841702,0.0623106805781707,-311.124083668411,0.40475011374469,"APLP1","P51693","APLP1"
"APLP2_Q06481_MS",0.0277081807694492,0.036793377096635,0.0178877358250812,1.54900435921009,0.122024957764229,0.780231681122755,0.777993714535411,491,-0.00743777179120957,0.062854133330108,-300.078986081963,0.406901132728424,"APLP2","Q06481","APLP2"
