"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","p_adjusted","symbol","UniProt","label"
"MYL6_P60660_MS",-0.0794917159467982,-0.0896372013138996,0.0524425734441251,-1.51578594882443,0.130734731393965,0.0706495615000417,0.0535659137334985,272,-0.182736660903469,0.0237532290098723,290.190528604077,0.335698195064186,"MYL6","P60660","MYL6"
"MYOC_Q99972_MS",0.0453986050822327,0.0552202762913286,0.0493181515934433,0.92052527549042,0.358111026585265,0.0406603885641812,0.0230900660104116,273,-0.0516936266635731,0.142490836828039,258.935815233291,0.604172195286678,"MYOC","Q99972","MYOC"
"MYRF_Q9Y2G1_MS",0.0106098421125698,0.0155709338009816,0.0301147955180399,0.352313270937339,0.724875160238685,0.479263555400043,0.469726257879897,273,-0.0486769034556443,0.0698965876807839,-16.3119714239817,0.868944895368803,"MYRF","Q9Y2G1","MYRF"
"NAGA_P17050_MS",0.05145995874957,0.104472811838046,0.0255657667905662,2.01284628664292,0.0451124687548712,0.28182214787563,0.268668707360532,273,0.00112884791534142,0.101791069583798,-107.691376445213,0.172223888114918,"NAGA","P17050","NAGA"
"NAGLU_P54802_MS",0.0899007636689184,0.163025580071884,0.0253304315034323,3.54912089265975,0.000454939397395675,0.437507696350062,0.427205639506656,273,0.0400329554423124,0.139768571895524,-112.851605714914,0.00605787723900557,"NAGLU","P54802","NAGLU"
"NAGPA_Q9UK23_MS",0.154343644468935,0.171595568518641,0.0517275050862757,2.98378288710247,0.00310471932628047,0.118292855023481,0.102144372514754,273,0.0525081386926659,0.256179150245205,285.550994317243,0.0254247641789716,"NAGPA","Q9UK23","NAGPA"
"NAXD_Q8IW45_MS",-0.0417678059452799,-0.0400380404317294,0.0654250590691453,-0.638406851129275,0.523800344473922,0.0517113518999308,0.0325152254201723,247,-0.170629967646605,0.0870943557560457,350.767432939333,0.730169066928789,"NAXD","Q8IW45","NAXD"
"NAXE_Q8NCW5_MS",-0.00236497109175803,-0.00302981358210322,0.0234826147903767,-0.10071157376934,0.919853345928173,0.758720895073244,0.75430186384748,273,-0.0485949980404537,0.0438650558569377,-155.117956259003,0.97226228865595,"NAXE","Q8NCW5","NAXE"
"NBL1_P41271_MS",-0.0415272175469996,-0.0518034977913184,0.0327105291266753,-1.26953671052463,0.205330853041854,0.556111081174866,0.54798124749675,273,-0.105924162117755,0.0228697270237561,29.8237036506495,0.4442188892895,"NBL1","P41271","NBL1"
"NBR1_Q14596_MS",-0.0368717580889398,-0.0332331258222878,0.0640464911362541,-0.575703015649958,0.565313875632004,0.147854194682069,0.131466775349032,260,-0.162987625395279,0.0892441092173995,375.715472531706,0.760768141143069,"NBR1","Q14596","NBR1"
"NCAM1_P13591_MS",-0.0443574054381205,-0.0591936505907269,0.0201320210559703,-2.20332600064344,0.0284070221663581,0.807584793031367,0.804060704991648,273,-0.0839911465805516,-0.00472366429568949,-241.021340011626,0.126087308913835,"NCAM1","P13591","NCAM1"
"NCAM2_O15394_MS",-0.0241567500028095,-0.0343150358410246,0.0211854381366993,-1.14025255682407,0.255180463657223,0.758557640796233,0.754135619565395,273,-0.065864344524221,0.017550844518602,-212.561983784791,0.503250111318539,"NCAM2","O15394","NCAM2"
"NCAN_O14594_MS",-0.0647670770427994,-0.074659580730947,0.0266549817405084,-2.42983010355512,0.0157509300738818,0.748310012777015,0.743700306051319,273,-0.117242516221135,-0.012291637864464,-84.4105878290719,0.0825903690920643,"NCAN","O14594","NCAN"
"NCMAP_Q5T1S8_MS",0.0619550510842497,0.0654430728907975,0.0566955537327914,1.09276736895889,0.275462846063236,0.0467908688551765,0.0292686421797203,272,-0.0496628375890939,0.173572939757593,335.244081931687,0.52507944527384,"NCMAP","Q5T1S8","NCMAP"
"NCR3LG1_Q68D85_MS",-0.000409159419728154,-0.000565993357881642,0.0370726152458344,-0.0110367023479448,0.991202225263214,0.298882720102558,0.286041744280261,273,-0.0733937063780977,0.0725753875386414,99.6750062108272,0.998299107008573,"NCR3LG1","Q68D85","NCR3LG1"
"NCSTN_Q92542_MS",-0.0359764440121963,-0.0274078196593058,0.0805913043848272,-0.446406027136713,0.655688861504169,0.0721001285619063,0.0536160673778805,251,-0.19469781265826,0.122744924633868,474.819992290222,0.822743210632777,"NCSTN","Q92542","NCSTN"
"NDRG2_Q9UN36_MS",-0.00511142608213723,-0.00975860268089619,0.0153147184009109,-0.333759064210623,0.738817595106611,0.772093980464496,0.767919877542601,273,-0.0352613838575353,0.0250385316932608,-393.632823276163,0.878077987372743,"NDRG2","Q9UN36","NDRG2"
"NDRG4_Q9ULP0_MS",-0.062261245098339,-0.0857022902067582,0.0225132607694366,-2.76553653137902,0.006070523757541,0.743980692887045,0.739291694588273,273,-0.106582912909395,-0.017939577287283,-178.640919487454,0.0402843937221737,"NDRG4","Q9ULP0","NDRG4"
"NDST1_P52848_MS",0.0449924028610311,0.101781543184561,0.0189006154745504,2.38047289632516,0.0179769277179967,0.51263061767786,0.503704438514451,273,0.00778291956731051,0.0822018861547517,-276.24070886501,0.0914203560332296,"NDST1","P52848","NDST1"
"NDST2_P52849_MS",-0.045786582777988,-0.0347753909309162,0.0817476679760274,-0.560096500751739,0.57590339844355,0.0390524006198413,0.0202838928194475,256,-0.206770130863421,0.115196965307445,491.918193382159,0.769391734950327,"NDST2","P52849","NDST2"
"NECTIN1_Q15223_MS",-0.0362220745889764,-0.0576705377659683,0.0178119570188335,-2.03358196691564,0.042960771955007,0.785596781697519,0.78166998282751,273,-0.0712883251041079,-0.00115582407384478,-309.343786513779,0.167538733019141,"NECTIN1","Q15223","NECTIN1"
"NECTIN2_Q92692_MS",0.0162277667941085,0.0280188913237559,0.0254456343724025,0.637742669591627,0.52417769478633,0.488523703553545,0.479121565751221,272,-0.033867660406186,0.0663231939944029,-111.029445938513,0.730169066928789,"NECTIN2","Q92692","NECTIN2"
