"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","p_adjusted","symbol","UniProt","label"
"EPHA6_Q9UF33_MS",-0.0691895497567187,-0.0728984609680336,0.0498416679347852,-1.3881868850627,0.166207771247994,0.247423286674184,0.236436765311764,274,-0.167310829236308,0.0289317297228704,104.33961084219,0.999885049473507,"EPHA6","Q9UF33","EPHA6"
"EPHA7_Q15375_MS",0.000730945965055907,0.00094302872629728,0.0211925516570251,0.034490701114493,0.972510969894629,0.795987992067042,0.79300971457897,274,-0.0409899749067217,0.0424518668368335,-372.862857792806,0.999885049473507,"EPHA7","Q15375","EPHA7"
"EPHB1_P54762_MS",-0.0342335668834434,-0.0194020377069145,0.105356868181147,-0.324929617541243,0.745494635413869,0.0730971821906694,0.0588917750211778,261,-0.241691220160552,0.173224086393665,484.223128209155,0.999885049473507,"EPHB1","P54762","EPHB1"
"EPHB2_P29323_MS",0.0143147693915784,0.0184635032893363,0.0276304390889415,0.518079692671534,0.604820739834257,0.653386871467099,0.648326825795086,274,-0.0400801605601469,0.0687096993433037,-224.843175663741,0.999885049473507,"EPHB2","P29323","EPHB2"
"EPHB3_P54753_MS",-0.0139860150978603,-0.0158061069254499,0.0454188652240746,-0.307934049625857,0.758370814233274,0.294369184223001,0.283876532687283,269,-0.103407674989908,0.075435644794187,50.7512638146648,0.999885049473507,"EPHB3","P54753","EPHB3"
"EPHB6_O15197_MS",-0.0112107264206163,-0.0101137608214792,0.0399082628764299,-0.28091241293385,0.7789895815527,0.646252460084352,0.64108826242135,274,-0.0897765123884282,0.0673550595471955,-19.6859039269226,0.999885049473507,"EPHB6","O15197","EPHB6"
"ERAP1_Q9NZ08_MS",-0.0441797394397381,-0.0524207142526633,0.0418517402145854,-1.05562490862307,0.292069498825778,0.32702870451187,0.317204306037591,274,-0.126571570782053,0.0382120919025769,6.84698835528776,0.999885049473507,"ERAP1","Q9NZ08","ERAP1"
"ERAP2_Q6P179_MS",0.0745045659446623,0.0458046936268189,0.0980324830078245,0.759998764274038,0.447908746294594,0.00870224199706085,-0.00576925811977036,274,-0.118488025633027,0.267497157522352,481.797340008138,0.999885049473507,"ERAP2","Q6P179","ERAP2"
"ERBB3_P21860_MS",0.0165887315221972,0.0213385138563934,0.0360119765311304,0.460644849855913,0.64541881521607,0.414393579701546,0.405844580865072,274,-0.0543065928166044,0.0874840558609988,-77.0102636944374,0.999885049473507,"ERBB3","P21860","ERBB3"
"ERBB4_Q15303_MS",0.00869789855175495,0.0112851806066305,0.0312991943103205,0.277895285914339,0.7813023165779,0.549946027604551,0.543375896620676,274,-0.0529195616910943,0.0703153587946042,-155.274901881046,0.999885049473507,"ERBB4","Q15303","ERBB4"
"ERLIN2_O94905_MS",-0.0640283119523919,-0.0405890716579862,0.0856891459296084,-0.747216129391575,0.455600623776139,0.226543392851918,0.214779794264114,263,-0.232752380280233,0.104695756375449,371.368357322548,0.999885049473507,"ERLIN2","O94905","ERLIN2"
"ERMN_Q8TAM6_MS",-0.0429987381239769,-0.0319604247117432,0.0780703080903733,-0.550769417666471,0.582252286418697,0.104735781943314,0.0913235839199925,267,-0.196710479474224,0.11071300322627,344.814131072155,0.999885049473507,"ERMN","Q8TAM6","ERMN"
"ERP44_Q9BS26_MS",0.0167181980495633,0.0255739297601071,0.0225306778154403,0.742019311913747,0.458711211783904,0.675828783964557,0.671096357453091,274,-0.0276370377681066,0.0610734338672332,-338.697602546468,0.999885049473507,"ERP44","Q9BS26","ERP44"
"ESAM_Q96AP7_MS",0.0209253737176255,0.0236809033061321,0.0281212012871138,0.744113791725333,0.457445292370701,0.72360654678217,0.719571605859282,274,-0.0344356999608283,0.0762864473960794,-215.019164094553,0.999885049473507,"ESAM","Q96AP7","ESAM"
"ESCO1_Q5FWF5_MS",0.206523149834905,0.0783550420597445,0.163915093188572,1.25993980064616,0.208875407282037,0.044594826190304,0.0291850653224056,248,-0.116320026971158,0.529366326640969,658.146268019359,0.999885049473507,"ESCO1","Q5FWF5","ESCO1"
"ESD_P10768_MS",-0.00784243011741788,-0.00988787533916399,0.0360155090666163,-0.217751472092539,0.827784828685279,0.437278256681614,0.429063340720762,274,-0.0787447088162168,0.063059848581381,-76.9555302885341,0.999885049473507,"ESD","P10768","ESD"
"ESM1_Q9NQ30_MS",0.053751101254766,0.034137899538475,0.0902480966553724,0.595592630169516,0.551957635365364,0.136112364114012,0.123023157509679,264,-0.123946543425657,0.231448745935189,406.813707893607,0.999885049473507,"ESM1","Q9NQ30","ESM1"
"EVI2A_P22794_MS",-0.0189571386981198,-0.0131592584939496,0.084630840857174,-0.223997995365691,0.822925792742085,0.0581440109502846,0.0443942884824056,274,-0.185566458418415,0.147652181022175,399.771265406806,0.999885049473507,"EVI2A","P22794","EVI2A"
"EXT1_Q16394_MS",-0.0165326385249712,-0.0276084362837592,0.0252899147264072,-0.653724565852654,0.513837513443421,0.513252265396527,0.506146459051951,274,-0.0663198726546886,0.0332545956047462,-274.233062337544,0.999885049473507,"EXT1","Q16394","EXT1"
"EXT2_Q93063_MS",-0.00302378215363034,-0.00484630884942568,0.0208088130095445,-0.145312572718271,0.884570925190453,0.696453155431395,0.692021814634773,274,-0.0439892522422233,0.0379416879349627,-383.059294274637,0.999885049473507,"EXT2","Q93063","EXT2"
"EXTL2_Q9UBQ6_MS",-0.035998979517535,-0.0400012050046035,0.0252614360389409,-1.42505673319767,0.155278870488044,0.784973606600414,0.781834535163924,274,-0.0857301488049652,0.0137321897698951,-274.861773897049,0.999885049473507,"EXTL2","Q9UBQ6","EXTL2"
"EXTL3_O43909_MS",-0.141182584685384,-0.116392764226853,0.0711492409854121,-1.98431610414973,0.0482181132834354,0.0610549390567219,0.0473477118896667,274,-0.281251223010746,-0.0011139463600208,302.947611708562,0.999885049473507,"EXTL3","O43909","EXTL3"
"EZR_P15311_MS",-0.0294363764663185,-0.0344922402031808,0.0404653857982337,-0.727445837612733,0.467576267115428,0.388726733717965,0.379770348864015,273,-0.109100242379085,0.0502274894464477,-12.062980542701,0.999885049473507,"EZR","P15311","EZR"
"F10_P00742_MS",-0.00464112447517385,-0.0134588003147119,0.0201774889508087,-0.230014967991735,0.818251763575552,0.0656481844334501,0.0520080119434275,274,-0.0443637323768421,0.0350814834264944,-400.250730077376,0.999885049473507,"F10","P00742","F10"
"F11_P03951_MS",-0.0363079395394333,-0.0554792407853022,0.0332470454480699,-1.0920651459434,0.275763759358467,0.295673779521539,0.285391644916014,274,-0.101760055679469,0.0291441766006028,-121.586462030892,0.999885049473507,"F11","P03951","F11"
"F12_P00748_MS",-0.0333452705705185,-0.0361318348054607,0.0470526153683278,-0.708680491179753,0.479125270447952,0.290603554777476,0.280247402292476,274,-0.125975854860799,0.0592853137197621,72.2072432157458,0.999885049473507,"F12","P00748","F12"
"F13A1_P00488_MS",-0.0448010760045984,-0.0716385118163014,0.0368313146073054,-1.21638547204373,0.224884918480662,0.0534128755088786,0.0395940853703222,274,-0.117309398136047,0.0277072461268499,-64.4570162630419,0.999885049473507,"F13A1","P00488","F13A1"
"F13B_P05160_MS",-0.0422896338360211,-0.0672926143310864,0.0342494973474197,-1.23475195583293,0.217980655358641,0.189439777043822,0.177606781088258,274,-0.109715236559805,0.0251359688877634,-105.010522867512,0.999885049473507,"F13B","P05160","F13B"
"F2_P00734_MS",0.0140586191290298,0.0219434101244181,0.0261534948076244,0.537542658541044,0.591329120823018,0.545229482813332,0.538590497160972,274,-0.037428710242544,0.0655459485006036,-255.497019675823,0.999885049473507,"F2","P00734","F2"
"F3_P13726_MS",0.0224511208973185,0.0215493365843053,0.0602725230581864,0.372493463989295,0.709833668516383,0.147221560007968,0.133896896883093,256,-0.0962419850248384,0.141144226819475,182.729425476237,0.999885049473507,"F3","P13726","F3"
"F5_P12259_MS",-0.0414108482886558,-0.0433992329725378,0.0483041409960922,-0.857293959373089,0.392031651224579,0.300617901838432,0.290407944201036,274,-0.136505260556331,0.0536835639790195,86.855212162419,0.999885049473507,"F5","P12259","F5"
"F7_P08709_MS",-0.014819608310831,-0.0103635428632776,0.0891178005822278,-0.166292348038338,0.868061297577961,0.0314475995009473,0.0159507610929625,250,-0.190336973382755,0.160697756761093,359.624818345324,0.999885049473507,"F7","P08709","F7"
"F9_P00740_MS",-0.0105983664258711,-0.017859407092014,0.0297614192011737,-0.356110921802181,0.722031535644423,0.313606096497979,0.303585747541745,274,-0.0691884708936532,0.0479917380419111,-183.386640165508,0.999885049473507,"F9","P00740","F9"
"FABP1_P07148_MS",-0.0306884958076887,-0.0256216858533933,0.0710819710165291,-0.431733889322689,0.666274355305068,0.0388458302462647,0.0248143825126336,274,-0.170624702461102,0.109247710845725,302.419785995665,0.999885049473507,"FABP1","P07148","FABP1"
"FABP3_P05413_MS",-0.00486139884433695,-0.00503401263238164,0.0367251557167795,-0.13237245014909,0.894786859388623,0.605321637190395,0.599559909266168,274,-0.0771607302538021,0.0674379325651282,-66.0676618467892,0.999885049473507,"FABP3","P05413","FABP3"
"FABP4_P15090_MS",0.0686888621354272,0.04286266797347,0.0950543920490299,0.722626915545332,0.470527711619258,0.0431386687842327,0.0291187225393131,273,-0.118443922916235,0.255821647187089,462.842299977004,0.999885049473507,"FABP4","P15090","FABP4"
"FABP5_Q01469_MS",-0.00687547208848885,-0.0107059931807907,0.0274623334035597,-0.250360083662725,0.802496514879206,0.500961927723987,0.49367670039149,274,-0.0609394591640841,0.0471885149871064,-228.248459490278,0.999885049473507,"FABP5","Q01469","FABP5"
"FABP7_O15540_MS",0.027121670698968,0.0243137882681991,0.0568214320460497,0.477314100021061,0.633518975017488,0.291880320277476,0.281542806704885,274,-0.084740388602819,0.138983730000755,177.472340542878,0.999885049473507,"FABP7","O15540","FABP7"
"FAH_P16930_MS",-0.0478566180428366,-0.0722216431638032,0.0391584921930168,-1.22212616887662,0.222710222600289,0.0469568282972364,0.0330437892942764,274,-0.124946360735591,0.029233124649918,-30.26897596592,0.999885049473507,"FAH","P16930","FAH"
"FAIM2_Q9BWQ8_MS",-0.0224953895237797,-0.0212125898300316,0.0294664156241767,-0.76342470053679,0.445866975390837,0.789299820748031,0.786223905722455,274,-0.0805047323592692,0.0355139533117097,-188.945288653544,0.999885049473507,"FAIM2","Q9BWQ8","FAIM2"
"FAM129A_Q9BZQ8_MS",0.149482109821027,0.06954025931373,0.120895305976713,1.2364591711263,0.217390992808764,0.171051444836011,0.158443862247966,263,-0.0885637668747991,0.387527986516852,567.969515755655,0.999885049473507,"FAM129A","Q9BZQ8","FAM129A"
"FAM171A1_Q5VUB5_MS",-0.00733624752328598,-0.00892698452042232,0.0297072671457276,-0.246951275837605,0.805130859032471,0.643387184770535,0.638181158270835,274,-0.0658197450257118,0.0511472499791399,-184.40286760038,0.999885049473507,"FAM171A1","Q5VUB5","FAM171A1"
"FAM171B_Q6P995_MS",-0.0177713182735482,-0.0156415786928457,0.0594365238890549,-0.298996595203321,0.765169294016336,0.253141009753676,0.242237958801174,274,-0.134781603311441,0.0992389667643448,202.579739359963,0.999885049473507,"FAM171B","Q6P995","FAM171B"
