"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","p_adjusted","symbol","UniProt","label"
"A1BG_P04217_MS",0.0173787933739496,0.0239716376031364,0.0304554979106144,0.570629100366561,0.568720461603685,0.523297823965305,0.51456701488042,273,-0.0425786901393701,0.0773362768872693,-171.381724961176,0.998607912890027,"A1BG","P04217","A1BG"
"A2M_P01023_MS",0.017219981336047,0.0318358929694397,0.0235734454232615,0.730482160196018,0.465721922128965,0.486932621772439,0.477535783343363,273,-0.0291888631184297,0.0636288257905236,-314.310996890312,0.998607912890027,"A2M","P01023","A2M"
"A4GALT_Q9NPC4_MS",-0.00912878510056564,-0.0179993699627188,0.0285246786039115,-0.320031129090928,0.749189526607115,0.145543971349851,0.129894593535746,273,-0.0652850808254404,0.0470275106243091,-207.928997784966,0.998607912890027,"A4GALT","Q9NPC4","A4GALT"
"ABAT_P80404_MS",-0.126627717133677,-0.0457061284363131,0.173348627168385,-0.730480068992271,0.465791894817263,0.0468216501797474,0.0274481064842138,246,-0.468064564570769,0.214809130303414,712.711801545323,0.998607912890027,"ABAT","P80404","ABAT"
"ABCA2_Q9BZC7_MS",-0.00566281250016228,-0.00721159490428032,0.0300491470493147,-0.188451688524431,0.850662593153469,0.604431100801135,0.597186249167456,273,-0.0648203164781447,0.0534946914778201,-178.876924377431,0.998607912890027,"ABCA2","Q9BZC7","ABCA2"
"ABHD14A_Q9BUJ0_MS",-0.0200145876526132,-0.0231265501608804,0.0503600273311174,-0.397430039523553,0.691366716095173,0.101794995984562,0.0850374399394982,268,-0.119166187995054,0.0791370126898275,100.759913906842,0.998607912890027,"ABHD14A","Q9BUJ0","ABHD14A"
"ABHD14B_Q96IU4_MS",0.0732320364450708,0.0558046639345877,0.0776655621498079,0.942915166233067,0.346561035153765,0.0573506499643172,0.0400225369121908,272,-0.0796700078783104,0.226134080768452,349.587753293431,0.998607912890027,"ABHD14B","Q96IU4","ABHD14B"
"ABI3BP_Q7Z7G0_MS",-0.00345029543547018,-0.00694918671975479,0.0293584111383726,-0.117523234455986,0.906532167431169,0.0591943260498281,0.0419001041022147,272,-0.0612488995643478,0.0543483086934075,-191.355314058762,0.998607912890027,"ABI3BP","Q7Z7G0","ABI3BP"
"ACACA_Q13085_MS",0.180330971333463,0.0919486457749591,0.123999803230252,1.45428433461794,0.147152605426623,0.0384612642115596,0.018757601592944,244,-0.0639156561242512,0.424577598791176,465.467694567174,0.998607912890027,"ACACA","Q13085","ACACA"
"ACAN_P16112_MS",-0.0210927064434957,-0.0201665879849373,0.0545658699484309,-0.38655493742572,0.699386841961287,0.26480599021945,0.251340898465228,273,-0.128516077337812,0.0863306644508201,154.011545392066,0.998607912890027,"ACAN","P16112","ACAN"
"ACE_P12821_MS",-0.0418132731787902,-0.0604478519858833,0.0309711438538928,-1.35007196944503,0.178111153032549,0.458488775288102,0.448570987289715,273,-0.102785904539423,0.019159358181843,-162.013242917217,0.998607912890027,"ACE","P12821","ACE"
"ACHE_P22303_MS",-0.0551566416378447,-0.0494230585881578,0.0610168223673886,-0.903957949592013,0.366814673999232,0.192537543036661,0.177748853348688,273,-0.175279948499061,0.0649666652233713,216.363027794145,0.998607912890027,"ACHE","P22303","ACHE"
"ACP1_P24666_MS",0.185528875208557,0.118437311594997,0.0986012283319702,1.88160815384489,0.0610895441316717,0.0576854185128206,0.0382161089779615,242,-0.0086973166041017,0.379755067021216,390.067821976711,0.998607912890027,"ACP1","P24666","ACP1"
"ACP2_P11117_MS",0.0577570827956897,0.0546873611413987,0.0513080588221043,1.12569222304717,0.261284449245833,0.362479488400698,0.350803288554557,273,-0.043252662635351,0.15876682822673,119.660639698543,0.998607912890027,"ACP2","P11117","ACP2"
"ACTA1_P68133_MS",-0.00970513229413543,-0.0119801692507763,0.0412225732998521,-0.235432471028446,0.814050244254302,0.302935592898183,0.290121908944105,272,-0.0908609953993303,0.0714507308110594,-2.51686232075861,0.998607912890027,"ACTA1","P68133","ACTA1"
"ACTB_P60709_MS",0.0118606566809181,0.0145951643538829,0.041065329576455,0.288824095733508,0.772935987065744,0.3128223642228,0.300190422388661,272,-0.0689856369561763,0.0927069503180125,-4.7453796816825,0.998607912890027,"ACTB","P60709","ACTB"
"ACTN1_P12814_MS",0.183875422691963,0.0986175590622054,0.114611106142285,1.60434209982834,0.109881307510744,0.0517685634797373,0.0331025903198897,254,-0.041833677271146,0.409584522655072,509.180508123411,0.998607912890027,"ACTN1","P12814","ACTN1"
"ACVR1_Q04771_MS",-0.116526875841834,-0.0964803994182621,0.0705432523411313,-1.65185006325391,0.0997450625349017,0.100374235595393,0.0834639768659831,266,-0.255421060193831,0.0223673085101633,271.151898821024,0.998607912890027,"ACVR1","Q04771","ACVR1"
"ACVR1B_P36896_MS",0.0105807921044327,0.0102547479773339,0.0429333679064261,0.246446822608785,0.805521568464472,0.532304603615348,0.523738753864713,273,-0.0739417695025367,0.0951033537114021,20.2258757989598,0.998607912890027,"ACVR1B","P36896","ACVR1B"
"ACVR2A_P27037_MS",-0.0217241892635439,-0.0162056214576134,0.0660728628070088,-0.328791403015149,0.742578031674272,0.378530090500707,0.366578746087259,260,-0.151830245824725,0.108381867297638,239.643753030738,0.998607912890027,"ACVR2A","P27037","ACVR2A"
"ACYP1_P07311_MS",0.0617234040309304,0.0782864251592173,0.0422268360197336,1.46171036830904,0.144974916155905,0.228228057421712,0.21404107318314,272,-0.0214095750399155,0.144856383101776,4.65132125083087,0.998607912890027,"ACYP1","P07311","ACYP1"
"ACYP2_P14621_MS",0.00696993012335056,0.00717526238950614,0.0400338197919651,0.174101051550156,0.861915079907469,0.541190560342407,0.532787457051975,273,-0.0718443154094861,0.0857841756561872,-18.7921283353992,0.998607912890027,"ACYP2","P14621","ACYP2"
"ADA2_Q9NZK5_MS",0.0654698307294473,0.0889523235346597,0.0374782917917774,1.74687339255443,0.0817838767036359,0.299591686482099,0.286763695392028,273,-0.00831336824526778,0.139253029704162,-55.5993215637963,0.998607912890027,"ADA2","Q9NZK5","ADA2"
"ADAM10_O14672_MS",0.0213848259374073,0.0347937831304417,0.0258626970015526,0.826859856732015,0.40904126589127,0.523464137601767,0.514704287190034,272,-0.0295316824067399,0.0723013342815545,-261.794488516392,0.998607912890027,"ADAM10","O14672","ADAM10"
"ADAM11_O75078_MS",-0.00196899144693678,-0.00263222909670986,0.0207434428391742,-0.0949211498883069,0.924447090709497,0.79227874004318,0.788474321362652,273,-0.0428064335301218,0.0388684506362482,-385.674005041208,0.998607912890027,"ADAM11","O75078","ADAM11"
"ADAM15_Q13444_MS",-0.0233628792576445,-0.0451621403931265,0.0287749733861693,-0.811916624356423,0.417549440856508,0.167324694373913,0.152018163020492,272,-0.0800128555703061,0.0332870970550172,-202.471071823239,0.998607912890027,"ADAM15","Q13444","ADAM15"
