source_layer,target_layer,source_node,target_node,class_idx,importance,normalized_importance,source_tuple,target_tuple
0,1,A2RU49,R-HSA-71064,0,0.024370357703966356,0.012185178851983178,"(np.str_('A2RU49'), '0')","('R-HSA-71064', '1')"
0,1,A2RU49,R-HSA-71064,1,0.049379550972454514,0.024689775486227257,"(np.str_('A2RU49'), '0')","('R-HSA-71064', '1')"
0,1,O00443,R-HSA-1483255,0,0.005887998209800571,0.001772464075565795,"(np.str_('O00443'), '0')","('R-HSA-1483255', '1')"
0,1,O00443,R-HSA-1483255,1,0.004521355649594787,0.0013610636715928356,"(np.str_('O00443'), '0')","('R-HSA-1483255', '1')"
0,1,O00443,R-HSA-432722,0,0.005887998209800571,0.001772464075565795,"(np.str_('O00443'), '0')","('R-HSA-432722', '1')"
0,1,O00443,R-HSA-432722,1,0.004521355649594787,0.0013610636715928356,"(np.str_('O00443'), '0')","('R-HSA-432722', '1')"
0,1,O00443,R-HSA-8856828,0,0.005887998209800571,0.001772464075565795,"(np.str_('O00443'), '0')","('R-HSA-8856828', '1')"
0,1,O00443,R-HSA-8856828,1,0.004521355649594787,0.0013610636715928356,"(np.str_('O00443'), '0')","('R-HSA-8856828', '1')"
0,1,O00744,R-HSA-3238698,0,0.04521145487836163,0.013610004065995484,"(np.str_('O00744'), '0')","('R-HSA-3238698', '1')"
0,1,O00744,R-HSA-3238698,1,0.013890185929735057,0.004181362610200037,"(np.str_('O00744'), '0')","('R-HSA-3238698', '1')"
0,1,O00744,R-HSA-373080,0,0.04521145487836163,0.013610004065995484,"(np.str_('O00744'), '0')","('R-HSA-373080', '1')"
0,1,O00744,R-HSA-373080,1,0.013890185929735057,0.004181362610200037,"(np.str_('O00744'), '0')","('R-HSA-373080', '1')"
0,1,O00744,R-HSA-381340,0,0.04521145487836163,0.013610004065995484,"(np.str_('O00744'), '0')","('R-HSA-381340', '1')"
0,1,O00744,R-HSA-381340,1,0.013890185929735057,0.004181362610200037,"(np.str_('O00744'), '0')","('R-HSA-381340', '1')"
0,1,O14896,R-HSA-877300,0,0.015354339962608978,0.00593986951776879,"(np.str_('O14896'), '0')","('R-HSA-877300', '1')"
0,1,O14896,R-HSA-877300,1,0.060791435959150215,0.02351733765661612,"(np.str_('O14896'), '0')","('R-HSA-877300', '1')"
0,1,O14896,R-HSA-909733,0,0.015354339962608978,0.00593986951776879,"(np.str_('O14896'), '0')","('R-HSA-909733', '1')"
0,1,O14896,R-HSA-909733,1,0.060791435959150215,0.02351733765661612,"(np.str_('O14896'), '0')","('R-HSA-909733', '1')"
0,1,O14975,R-HSA-194068,0,0.23642416351607867,0.06389082961060796,"(np.str_('O14975'), '0')","('R-HSA-194068', '1')"
0,1,O14975,R-HSA-194068,1,0.34782592366848675,0.09399583567414965,"(np.str_('O14975'), '0')","('R-HSA-194068', '1')"
0,1,O14975,R-HSA-390918,0,0.23642416351607867,0.06389082961060796,"(np.str_('O14975'), '0')","('R-HSA-390918', '1')"
0,1,O14975,R-HSA-390918,1,0.34782592366848675,0.09399583567414965,"(np.str_('O14975'), '0')","('R-HSA-390918', '1')"
0,1,O14975,R-HSA-6798695,0,0.23642416351607867,0.06389082961060796,"(np.str_('O14975'), '0')","('R-HSA-6798695', '1')"
0,1,O14975,R-HSA-6798695,1,0.34782592366848675,0.09399583567414965,"(np.str_('O14975'), '0')","('R-HSA-6798695', '1')"
0,1,O14975,R-HSA-75105,0,0.23642416351607867,0.06389082961060796,"(np.str_('O14975'), '0')","('R-HSA-75105', '1')"
0,1,O14975,R-HSA-75105,1,0.34782592366848675,0.09399583567414965,"(np.str_('O14975'), '0')","('R-HSA-75105', '1')"
0,1,O14975,R-HSA-9033241,0,0.23642416351607867,0.06389082961060796,"(np.str_('O14975'), '0')","('R-HSA-9033241', '1')"
0,1,O14975,R-HSA-9033241,1,0.34782592366848675,0.09399583567414965,"(np.str_('O14975'), '0')","('R-HSA-9033241', '1')"
0,1,O43707,R-HSA-114608,0,0.060134553882692544,0.021420360286549704,"(np.str_('O43707'), '0')","('R-HSA-114608', '1')"
0,1,O43707,R-HSA-114608,1,0.37547774373420645,0.13374787091722848,"(np.str_('O43707'), '0')","('R-HSA-114608', '1')"
0,1,O43707,R-HSA-373753,0,0.060134553882692544,0.021420360286549704,"(np.str_('O43707'), '0')","('R-HSA-373753', '1')"
0,1,O43707,R-HSA-373753,1,0.37547774373420645,0.13374787091722848,"(np.str_('O43707'), '0')","('R-HSA-373753', '1')"
0,1,O75452,R-HSA-2453902,0,0.09344400694992926,0.031148002316643084,"(np.str_('O75452'), '0')","('R-HSA-2453902', '1')"
0,1,O75452,R-HSA-2453902,1,0.017141445236380344,0.005713815078793448,"(np.str_('O75452'), '0')","('R-HSA-2453902', '1')"
0,1,O75452,R-HSA-5365859,0,0.09344400694992926,0.031148002316643084,"(np.str_('O75452'), '0')","('R-HSA-5365859', '1')"
0,1,O75452,R-HSA-5365859,1,0.017141445236380344,0.005713815078793448,"(np.str_('O75452'), '0')","('R-HSA-5365859', '1')"
0,1,O94804,R-HSA-6798695,0,0.06584324373397976,0.021947747911326587,"(np.str_('O94804'), '0')","('R-HSA-6798695', '1')"
0,1,O94804,R-HSA-6798695,1,0.04630103565536307,0.01543367855178769,"(np.str_('O94804'), '0')","('R-HSA-6798695', '1')"
0,1,O94804,R-HSA-9012999,0,0.06584324373397976,0.021947747911326587,"(np.str_('O94804'), '0')","('R-HSA-9012999', '1')"
0,1,O94804,R-HSA-9012999,1,0.04630103565536307,0.01543367855178769,"(np.str_('O94804'), '0')","('R-HSA-9012999', '1')"
0,1,O95352,R-HSA-1632852,0,0.19247136265039444,0.05201310582275395,"(np.str_('O95352'), '0')","('R-HSA-1632852', '1')"
0,1,O95352,R-HSA-1632852,1,0.21839854813047818,0.059019620576386586,"(np.str_('O95352'), '0')","('R-HSA-1632852', '1')"
0,1,O95352,R-HSA-6798695,0,0.19247136265039444,0.05201310582275395,"(np.str_('O95352'), '0')","('R-HSA-6798695', '1')"
0,1,O95352,R-HSA-6798695,1,0.21839854813047818,0.059019620576386586,"(np.str_('O95352'), '0')","('R-HSA-6798695', '1')"
0,1,O95352,R-HSA-6802952,0,0.19247136265039444,0.05201310582275395,"(np.str_('O95352'), '0')","('R-HSA-6802952', '1')"
0,1,O95352,R-HSA-6802952,1,0.21839854813047818,0.059019620576386586,"(np.str_('O95352'), '0')","('R-HSA-6802952', '1')"
0,1,O95352,R-HSA-983168,0,0.19247136265039444,0.05201310582275395,"(np.str_('O95352'), '0')","('R-HSA-983168', '1')"
0,1,O95352,R-HSA-983168,1,0.21839854813047818,0.059019620576386586,"(np.str_('O95352'), '0')","('R-HSA-983168', '1')"
0,1,P00325,R-HSA-71384,0,0.02440923997034718,0.010512487455616615,"(np.str_('P00325'), '0')","('R-HSA-71384', '1')"
0,1,P00325,R-HSA-71384,1,0.04945833437211279,0.02130054521542453,"(np.str_('P00325'), '0')","('R-HSA-71384', '1')"
0,1,P13051,R-HSA-9821002,0,0.21507662135575498,0.10753831067787749,"(np.str_('P13051'), '0')","('R-HSA-9821002', '1')"
