"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","log","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.2505.49",-0.00270030086371331,-0.010329741346272,0.0126571599650655,-0.213341766333545,0.831253581759202,0.477095443604579,0.467799362601994,225,-0.0276420369159498,0.0222414351885232,-583.758575758505,"GFRA3__seq.2505.49__ANML",NA,0.999033312328986,"O60609","GFRA3","GFRA3","GFRA3__seq.2505.49","GFRA3"
"seq.25050.82",0.0094315695016643,0.0528128450165941,0.0121658954693664,0.77524663313218,0.439091651770335,0.0660302344375251,0.0477171017794374,204,-0.0145554507809547,0.0334185897842833,-573.248865244112,"TPP2__seq.25050.82__ANML",NA,0.999033312328986,"P29144","TPP2","TPP2","TPP2__seq.25050.82","TPP2"
"seq.25051.104",-0.0116579328259367,-0.0238871874593545,0.0292526308893352,-0.398525960623489,0.690643611370789,0.24298897156863,0.228705744617095,212,-0.0693212164967741,0.0460053508449008,-188.413057030077,"FTO__seq.25051.104__ANML",NA,0.999033312328986,"Q9C0B1","FTO","FTO","FTO__seq.25051.104","FTO"
"seq.25052.3",-0.0183860073984209,-0.0573767917558076,0.0173233554990919,-1.0613421516048,0.289698161014237,0.361334481446819,0.349722381109488,220,-0.052526973294903,0.0157549584980611,-424.536938241837,"CRLF3__seq.25052.3__ANML",NA,0.999033312328986,"Q8IUI8","CRLF3","CRLF3","CRLF3__seq.25052.3","CRLF3"
"seq.25053.1",0.0181368180756244,0.108967520686574,0.0109133214144908,1.66189717930806,0.0979575972709665,0.0605571185400507,0.0434763388771426,220,-0.00337121679954785,0.0396448529507967,-632.483189017087,"DYNC1LI2__seq.25053.1__ANML",NA,0.999033312328986,"O43237","DYNC1LI2","DYNC1LI2","DYNC1LI2__seq.25053.1","DYNC1LI2"
"seq.25054.15",0.0153340887624261,0.05920673081227,0.0172423653676238,0.88932628647454,0.374808043755449,0.0433621797970767,0.0258091922704177,218,-0.0186489857164826,0.0493171632413348,-429.356910543998,"PRPF19__seq.25054.15__ANML",NA,0.999033312328986,"Q9UMS4","PRPF19","PRPF19","PRPF19__seq.25054.15","PRPF19"
"seq.25055.56",-0.00423162424661466,-0.0182571062555016,0.0133014327793677,-0.318132964832064,0.750683141951563,0.273193463312843,0.260097850039201,222,-0.0304448561932717,0.0219816077000424,-553.386441345362,"OSBP__seq.25055.56__ANML",NA,0.999033312328986,"P22059","OSBP","OSBP","OSBP__seq.25055.56","OSBP"
"seq.25057.2",-0.0836798809631698,-0.316972728280538,0.0162974960196447,-5.13452378588118,6.13680826543971e-07,0.1528545758632,0.137726979003615,224,-0.115795905258004,-0.0515638566683357,-465.341786394902,"ACTN4__seq.25057.2__ANML",NA,9.75752514204913e-05,"O43707","ACTN4","ACTN4","ACTN4__seq.25057.2","ACTN4"
"seq.25058.23",0.00433198040951675,0.0259734958588851,0.0110539894848052,0.391892937429648,0.695513257943411,0.033458491393963,0.016043329076737,222,-0.0174521984159827,0.0261161592350162,-632.477273411497,"PITPNM3__seq.25058.23__ANML",NA,0.999033312328986,"Q9BZ71","PITPNM3","PITPNM3","PITPNM3__seq.25058.23","PITPNM3"
"seq.25059.18",-0.0297740514122836,-0.0945373085553185,0.0175145753926867,-1.69995850568641,0.0905456090248443,0.320672919318485,0.308377406545969,221,-0.0642910106923815,0.00474290786781421,-426.747888748022,"HDAC6__seq.25059.18__ANML",NA,0.999033312328986,"Q9UBN7","HDAC6","HDAC6","HDAC6__seq.25059.18","HDAC6"
"seq.25060.18",-0.0496557225130868,-0.047780284201328,0.046760689894196,-1.06191167464469,0.289414247816409,0.547845378173819,0.539807073785798,225,-0.141800626123419,0.0424891810972456,17.6809463229644,"ME1__seq.25060.18__ANML",NA,0.999033312328986,"P48163","ME1","ME1","ME1__seq.25060.18","ME1"
"seq.25061.8",0.0106048637475194,0.0380876615023109,0.0185652152982639,0.571222233469661,0.56843473879345,0.0326683060234634,0.0150001472293714,219,-0.0259844904655351,0.0471942179605739,-391.737501143224,"ELMO2__seq.25061.8__ANML",NA,0.999033312328986,"Q96JJ3","ELMO2","ELMO2","ELMO2__seq.25061.8","ELMO2"
"seq.25064.34",-0.0159610852393455,-0.0624603594506043,0.0160172627769669,-0.99649268802019,0.320076544930559,0.118946683040874,0.103352819023898,226,-0.0475233617046833,0.0156011912259922,-471.434091897352,"INPP4A__seq.25064.34__ANML",NA,0.999033312328986,"Q96PE3","INPP4A","INPP4A","INPP4A__seq.25064.34","INPP4A"
"seq.25065.22",-0.0161671502337205,-0.0938728191340677,0.0115163668344379,-1.40384119975887,0.161763466572132,0.0140830655790503,-0.00368120350961565,222,-0.0388625395215697,0.00652823905412871,-624.823438333564,"MYBPH__seq.25065.22__ANML",NA,0.999033312328986,"Q13203","MYBPH","MYBPH","MYBPH__seq.25065.22","MYBPH"
"seq.25066.32",0.00842586489054634,0.0386042934047127,0.0148908999195358,0.565839871067311,0.572089985350122,0.00271713158019358,-0.0157510696868399,216,-0.0209242101157294,0.0377759398968221,-490.185898329973,"GYG2__seq.25066.32__ANML",NA,0.999033312328986,"O15488","GYG2","GYG2","GYG2__seq.25066.32","GYG2"
