"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","log","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",-0.00381697668576496,-0.0257680418038644,0.00999117203029256,-0.382034927853523,0.702816337528384,0.0427471969404141,0.0247706184792011,213,-0.0235112141653482,0.0158772607938183,-670.134586320684,"CRYBB2__seq.10000.28__ANML",NA,0.999033312328986,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.0156548106470229,-0.0423220888023288,0.0169152257760799,-0.925486354971426,0.355717924082905,0.538867525154906,0.530558831914454,222,-0.0489897711774578,0.0176801498834119,-438.845593668168,"RAF1__seq.10001.7__ANML",NA,0.999033312328986,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",0.000467972431987985,0.00262591777479524,0.0118355301009005,0.0395396258552357,0.968495536759328,0.0252448168808075,0.00776041897732416,223,-0.0228558210175935,0.0237917658815695,-603.991510211198,"ZNF41__seq.10003.15__ANML",NA,0.999033312328986,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",0.00124796194199151,0.00612463175151407,0.0113990133637818,0.109479820942808,0.912919505638718,0.302284000960854,0.289880160977936,225,-0.0212145164781342,0.0237104403621172,-626.333540841921,"ELK1__seq.10006.25__ANML",NA,0.999033312328986,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",-0.00359366193184066,-0.0280252013161957,0.00853550240693208,-0.421025237942887,0.674140334866381,0.0167638754759601,-0.000793912461969137,224,-0.0204138165334566,0.0132264926697753,-756.289894037993,"GUCA1A__seq.10008.43__ANML",NA,0.999033312328986,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",0.00060863057395874,0.00503755628671001,0.00789519219715143,0.0770887596857152,0.938621440728829,0.0474411326087458,0.0305067527440124,225,-0.0149493461290724,0.0161666072769899,-795.148097058467,"BECN1__seq.10010.10__ANML",NA,0.999033312328986,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",0.00533207244482483,0.0247445791016753,0.0142343950841467,0.374590729939998,0.708320839344693,0.038111716938274,0.0208581154483775,223,-0.0227190657798261,0.0333832106694757,-526.056501410692,"OCRL__seq.10011.65__ANML",NA,0.999033312328986,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",0.0198904258990402,0.130240759554868,0.0100968985185259,1.9699540272238,0.0500757702597713,0.0290698136871006,0.0117317746457989,224,-6.63299470519962e-06,0.0397874847927855,-684.786976744048,"SPDEF__seq.10012.5__ANML",NA,0.999033312328986,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",0.00333487212544643,0.029077425986145,0.00771150407602544,0.432454173993673,0.665831136676316,0.00383680979773487,-0.014112076512216,222,-0.0118622459862203,0.0185319902371131,-795.636953317706,"SNAI2__seq.10014.31__ANML",NA,0.999033312328986,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",-0.000786229385150074,-0.00671570154258476,0.00781416176948214,-0.100615959631225,0.919947377929854,0.0311854324398049,0.0134901891966963,219,-0.0161868120483863,0.0146143532780861,-785.042641003938,"KCNAB2__seq.10015.119__ANML",NA,0.999033312328986,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207",0.00295359688424418,0.0164025713050649,0.0120800196093504,0.24450265643261,0.807066366396707,0.00460341875814785,-0.0132512284390154,223,-0.0208520020059944,0.0267591957744828,-605.972676210988,"POLH__seq.10022.207__ANML",NA,0.999033312328986,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32",0.0136568408829851,0.049811233040325,0.01851455981757,0.737627090114503,0.461530686404547,0.0123041473979179,-0.00573595949892369,219,-0.0228326787040678,0.050146360470038,-405.214371066252,"VDR__seq.10023.32__ANML",NA,0.999033312328986,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44",-0.00537532257261445,-0.0286931593790729,0.0120606641746008,-0.445690427558261,0.656253268967162,0.0837250191148272,0.0672895934487254,223,-0.0291427785019231,0.0183921333566942,-600.961162724107,"HOGA1__seq.10024.44__ANML",NA,0.999033312328986,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1",-0.0791817529112393,-0.0519702657451673,0.0864754580287102,-0.915655779295794,0.360836552100492,0.286725621529853,0.273931462274783,223,-0.249595389167898,0.0912318833454198,297.673077221317,"DLD__seq.10025.1__ANML",NA,0.999033312328986,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8",-0.000248977353705524,-0.00130596210140521,0.0127238100917635,-0.019567830068974,0.984405942889725,0.0313115878687235,0.0136186488343624,219,-0.0253257667637754,0.0248278120563643,-561.106107815477,"MUTYH__seq.10030.8__ANML",NA,0.999033312328986,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6",-0.000880096557828015,-0.0063798689508053,0.0092618433337146,-0.0950239089689978,0.92438272449579,0.0189021202461095,0.000982524268869467,219,-0.0191338502018696,0.0173736570862136,-708.710931400769,"DUSP4__seq.10035.6__ANML",NA,0.999033312328986,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
"seq.10037.98",0.012411349225721,0.0380888669411579,0.0218838249618427,0.567147162224239,0.571189814938047,0.0112783025481106,-0.00661711279038513,221,-0.0307163360401245,0.0555390344915665,-326.538735054445,"SIGLEC12__seq.10037.98__ANML",NA,0.999033312328986,"Q96PQ1","SIGLEC12","SIGLEC12","SIGLEC12__seq.10037.98","SIGLEC12_1"
"seq.10039.32",0.170035264799651,0.085055741706191,0.145567077852201,1.16808874168852,0.244307273127228,0.0472991338516583,0.0262449710638497,181,-0.117191439970948,0.457261969570251,394.52719443041,"PNP__seq.10039.32__ANML",NA,0.999033312328986,"P00491","PNP","PNP","PNP__seq.10039.32","PNP_1"
"seq.10040.63",0.000623028683328838,0.00482130490967499,0.00852772132242974,0.0730592217747711,0.941824773376526,0.0405774840247561,0.023290591845022,222,-0.0161826147920148,0.0174286721586725,-749.996019082441,"TP63__seq.10040.63__ANML",NA,0.999033312328986,"Q9H3D4","TP63","TP63","TP63__seq.10040.63","TP63"
"seq.10041.3",-0.00388652559300014,-0.00393151353156952,0.0531243780707761,-0.0731589852745615,0.941744311136198,0.352636056540307,0.341178287629516,226,-0.108568975463905,0.100795924277905,82.3952879515789,"HNF4A__seq.10041.3__ANML",NA,0.999033312328986,"P41235","HNF4A","HNF4A","HNF4A__seq.10041.3","HNF4A"
"seq.10042.8",0.0171872808532199,0.105532385562257,0.0104086186292583,1.65125474046162,0.100132973182291,0.120032450516569,0.103811850526091,217,-0.00332765161390348,0.0377022133203433,-656.727153695275,"SGK3__seq.10042.8__ANML",NA,0.999033312328986,"Q96BR1","SGK3","SGK3","SGK3__seq.10042.8","SGK3"
"seq.10043.31",0.00156881487284008,0.0152381494543177,0.00658508753538025,0.238237512320251,0.811912748067304,0.08304521755988,0.0668159293750992,226,-0.0114072070751171,0.0145448368207973,-882.213589280404,"BRD4__seq.10043.31__ANML",NA,0.999033312328986,"O60885","BRD4","BRD4","BRD4__seq.10043.31","BRD4"
"seq.10045.47",0.00976474988048763,0.0394551383847102,0.0158243221500599,0.617072237779909,0.537836986202598,0.128380325353608,0.112239220267564,216,-0.0214251073166862,0.0409546070776615,-470.031542290672,"CUL3__seq.10045.47__ANML",NA,0.999033312328986,"Q13618","CUL3","CUL3","CUL3__seq.10045.47","CUL3"
"seq.10046.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BIRC2__seq.10046.55__ANML","Unable to calculate beta",NA,"Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
"seq.10047.12",0.00939370905390102,0.0244994920118612,0.0255226936542804,0.368053199287827,0.71318905588483,0.0373734389621306,0.0197912186692014,219,-0.0409078287190044,0.0596952468268064,-249.485169112425,"NCF2__seq.10047.12__ANML",NA,0.999033312328986,"P19878","NCF2","NCF2","NCF2__seq.10047.12","NCF2"
"seq.10048.7",0.00984451402963831,0.0475112540490649,0.0106744386182522,0.922251219169991,0.357394266648387,0.412020521828875,0.401473804731635,223,-0.0111911640853122,0.0308801921445888,-656.148260655829,"CBFB__seq.10048.7__ANML",NA,0.999033312328986,"Q13951","CBFB","CBFB","CBFB__seq.10048.7","CBFB"
"seq.10049.112",-0.00428495516704554,-0.0381332464655054,0.00746022275529218,-0.574373622289743,0.566304496806416,0.0406354861311816,0.0231128466084635,219,-0.0189879752245184,0.0104180648904273,-805.61592019772,"TERF1__seq.10049.112__ANML",NA,0.999033312328986,"P54274","TERF1","TERF1","TERF1__seq.10049.112","TERF1"
"seq.10053.5",0.00436220532034145,0.0149914651763891,0.0182811909195296,0.238617130554736,0.811625613237701,0.142459073233086,0.126796225255609,219,-0.0316673779214804,0.0403917885621633,-398.978050928925,"ILK__seq.10053.5__ANML",NA,0.999033312328986,"Q13418","ILK","ILK","ILK__seq.10053.5","ILK"
"seq.10054.3",-0.00718470538171188,-0.0277603853392215,0.0166187599510447,-0.432324999150145,0.665922983217047,0.0873329137895615,0.0709622037230064,223,-0.0399346135972176,0.0255652028337938,-448.854260241363,"GAN__seq.10054.3__ANML",NA,0.999033312328986,"Q9H2C0","GAN","GAN","GAN__seq.10054.3","GAN"
"seq.10056.5",-0.0027231568309339,-0.0108963944331286,0.0118057422827755,-0.230663753765569,0.817783785588255,0.497569145568619,0.488715738442075,227,-0.0259860120733635,0.0205396984114957,-614.991056306431,"FOXM1__seq.10056.5__ANML",NA,0.999033312328986,"Q08050","FOXM1","FOXM1","FOXM1__seq.10056.5","FOXM1"
"seq.10058.1",-0.0159176551790778,-0.0161578994172493,0.0431210358914655,-0.369138979386816,0.712382417329165,0.586435041065469,0.57884669319511,218,-0.100905146341917,0.069069835983761,-20.5214005496202,"RAD23A__seq.10058.1__ANML",NA,0.999033312328986,"P54725","RAD23A","RAD23A","RAD23A__seq.10058.1","RAD23A"
"seq.10063.10",0.00152988479530426,0.0138953151503428,0.00705109090003888,0.21697136187761,0.828428150075774,0.0891001958365713,0.0728341279050816,224,-0.0123650722200415,0.01542484181065,-843.60075685824,"FANCL__seq.10063.10__ANML",NA,0.999033312328986,"Q9NW38","FANCL","FANCL","FANCL__seq.10063.10","FANCL"
"seq.10064.12",-0.0155442528621812,-0.0905873016301339,0.0119059396472843,-1.30558807810913,0.193163138301584,0.0215072823716707,0.00232115065346816,204,-0.0390187284174048,0.00793022269304243,-568.603828254519,"RBBP9__seq.10064.12__ANML",NA,0.999033312328986,"O75884","RBBP9","RBBP9","RBBP9__seq.10064.12","RBBP9"
"seq.10069.2",0.00424846698197056,0.0328092083964671,0.00864259520155158,0.491573061435048,0.623509053829193,0.0226770127786089,0.00498790893749779,221,-0.0127839817047894,0.0212809156687306,-746.283177034584,"PIN1__seq.10069.2__ANML",NA,0.999033312328986,"Q13526","PIN1","PIN1","PIN1__seq.10069.2","PIN1_1"
"seq.10070.22",-0.00285894600178106,-0.0234006266289022,0.00793596977776447,-0.360251624167149,0.718995423744064,0.0542285112316385,0.0374891928463578,226,-0.0184969033503086,0.0127790113467465,-795.98439541399,"PLCG2__seq.10070.22__ANML",NA,0.999033312328986,"P16885","PLCG2","PLCG2","PLCG2__seq.10070.22","PLCG2"
"seq.10073.22",0.00547633329954081,0.0179242865501661,0.0123792950479277,0.4423784454881,0.658640318619495,0.633794797125197,0.627284482407423,225,-0.0189178523195373,0.0298705189186189,-588.256169364946,"TDP1__seq.10073.22__ANML",NA,0.999033312328986,"Q9NUW8","TDP1","TDP1","TDP1__seq.10073.22","TDP1"
"seq.10074.128",-0.00952532203228825,-0.0678755476649824,0.00915992400197768,-1.03989094562703,0.299537264185424,0.0718691977648819,0.0549170369934642,219,-0.0275782074143588,0.00852756334978231,-725.131244426139,"BRD2__seq.10074.128__ANML",NA,0.999033312328986,"P25440","BRD2","BRD2","BRD2__seq.10074.128","BRD2_1"
"seq.10075.75",0.0123796658998913,0.0455567544643276,0.017733402323702,0.698098744612873,0.485839490598349,0.0533203275409,0.0364153333898447,224,-0.0225659710968338,0.0473253028966165,-420.995168262147,"ACBD6__seq.10075.75__ANML",NA,0.999033312328986,"Q9BR61","ACBD6","ACBD6","ACBD6__seq.10075.75","ACBD6_1"
"seq.10076.1",-0.00482350045520485,-0.0431961684299887,0.00741365007301356,-0.650624241460071,0.515964915956312,0.0317160526251492,0.0141905513151972,221,-0.0194339978238111,0.00978699691340137,-815.324726326189,"AP4M1__seq.10076.1__ANML",NA,0.999033312328986,"O00189","AP4M1","AP4M1","AP4M1__seq.10076.1","AP4M1"
"seq.10078.5",0.000137339452864871,0.00100249390702608,0.00812339384986908,0.0169066593843759,0.986526129122179,0.218578856010151,0.204624907010333,224,-0.0158707095090387,0.0161453884147684,-778.606199581173,"BAG3__seq.10078.5__ANML",NA,0.999033312328986,"O95817","BAG3","BAG3","BAG3__seq.10078.5","BAG3"
"seq.10080.9",-0.00242050343714083,-0.00816478435411871,0.0186772554060223,-0.129596312976497,0.897002637618412,0.121730630503681,0.10597691984007,223,-0.0392270041668379,0.0343859972925562,-395.688389288108,"EIF2B1__seq.10080.9__ANML",NA,0.999033312328986,"Q14232","EIF2B1","EIF2B1","EIF2B1__seq.10080.9","EIF2B1"
"seq.10081.17",-0.0256844550032086,-0.0918637675782382,0.0180634467370576,-1.4219022192767,0.156445504055007,0.0726909845726401,0.0561318950114373,224,-0.061280481138543,0.00991157113212575,-424.230623963301,"SATB2__seq.10081.17__ANML",NA,0.999033312328986,"Q9UPW6","SATB2","SATB2","SATB2__seq.10081.17","SATB2"
"seq.10082.251",0.0163962151690787,0.0122418693650078,0.0693782309073579,0.236330833961057,0.813390963287682,0.400943064459965,0.390293163383697,225,-0.120317986740234,0.153110417078391,199.083879875011,"NEFL__seq.10082.251__ANML",NA,0.999033312328986,"P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.10085.25",-0.237638827660982,-0.380675045552988,0.0261664783760363,-9.08180398775462,5.34304696863419e-17,0.604420343298052,0.597449776660133,227,-0.289199075554415,-0.186078579767548,-245.696661137287,"STAR__seq.10085.25__ANML",NA,3.39817787205134e-14,"P49675","STAR","STAR","STAR__seq.10085.25","STAR"
"seq.10086.39",-0.00592023294812672,-0.0303030746455248,0.0114923615661481,-0.5151450303796,0.606957405706941,0.227084574534011,0.21334385585906,225,-0.028566659918385,0.0167261940221316,-622.141919733756,"CBS__seq.10086.39__ANML",NA,0.999033312328986,"P35520","CBS","CBS","CBS__seq.10086.39","CBS"
"seq.10087.10",-0.00464703809060529,-0.0380774672457912,0.00787981412631629,-0.589739556810805,0.555957012108285,0.0693387040142694,0.0527936143078566,225,-0.0201747113302354,0.0108806351490248,-795.863854432342,"CRYAA__seq.10087.10__ANML",NA,0.999033312328986,"P02489","CRYAA","CRYAA","CRYAA__seq.10087.10","CRYAA"
"seq.10088.37",-0.0030934460535141,-0.0113429748592748,0.0184370173597276,-0.167784517048358,0.866906938061505,0.00515382577534626,-0.0129342864832838,220,-0.0394292229729628,0.0332423308659346,-402.925595329829,"APRT__seq.10088.37__ANML",NA,0.999033312328986,"P07741","APRT","APRT","APRT__seq.10088.37","APRT"
"seq.10089.7",0.00467169681344718,0.026686444335107,0.0111603149666673,0.418599011533297,0.675908500845864,0.0923772277750575,0.076241711824392,225,-0.017320411284003,0.0266638049108974,-635.67990171232,"ASMTL__seq.10089.7__ANML",NA,0.999033312328986,"O95671","ASMTL","ASMTL","ASMTL__seq.10089.7","ASMTL"
"seq.10336.3",-0.0146778828744571,-0.0326264762786402,0.0305690978487304,-0.480154270403721,0.631605846910464,0.0139960601074424,-0.00434819923939589,215,-0.0749313820445931,0.0455756162956789,-171.352711686422,"STUB1__seq.10336.3__ANML",NA,0.999033312328986,"Q9UNE7","STUB1","STUB1","STUB1__seq.10336.3","STUB1_1"
"seq.10339.48",-0.0660975593567893,-0.0651234459413585,0.0490883663441904,-1.34650150899984,0.179483755458058,0.473339875262412,0.464059520641485,227,-0.162824688663883,0.0306295699503047,46.2256576644142,"ENO2__seq.10339.48__ANML",NA,0.999033312328986,"P09104","ENO2","ENO2","ENO2__seq.10339.48","ENO2_1"
"seq.10342.55",0.0181175410107401,0.037213724942205,0.0325950972597822,0.555836384421366,0.578890116301822,0.0339388624292814,0.0162939101448847,219,-0.0461226813667865,0.0823577633882668,-158.880621332863,"PIAS4__seq.10342.55__ANML",NA,0.999033312328986,"Q8N2W9","PIAS4","PIAS4","PIAS4__seq.10342.55","PIAS4"
"seq.10346.5",-0.0311441547950927,-0.0450886649043488,0.0366805376159772,-0.849064839811046,0.396747669653493,0.370531258377537,0.359340702970915,225,-0.103425479357392,0.0411371697672061,-88.4396323854256,"STAT3__seq.10346.5__ANML",NA,0.999033312328986,"P40763","STAT3","STAT3","STAT3__seq.10346.5","STAT3_1"
"seq.10351.51",-0.00635049865107642,-0.012140798481283,0.0312191614332356,-0.203416695373366,0.839001744865028,0.241740053224199,0.227632891423719,215,-0.0678853115794184,0.0551843142772655,-174.218836877484,"IRF1__seq.10351.51__ANML",NA,0.999033312328986,"P10914","IRF1","IRF1","IRF1__seq.10351.51","IRF1_1"
"seq.10354.57",0.0339232263989664,0.0742477331367885,0.0256479367045018,1.32264933393305,0.18733153429315,0.314688461854486,0.302171356134933,219,-0.0166251473116674,0.0844716001096002,-247.062009915105,"STAT3__seq.10354.57__ANML",NA,0.999033312328986,"P40763","STAT3","STAT3","STAT3__seq.10354.57","STAT3_2"
"seq.10356.21",-0.00857801553238253,-0.0398288920940952,0.0143148470607904,-0.599239062489074,0.549627273934817,0.0302650457937382,0.0127132819167017,221,-0.036789090138533,0.019633059073768,-518.084726170739,"JUN__seq.10356.21__ANML",NA,0.999033312328986,"P05412","JUN","JUN","JUN__seq.10356.21","JUN"
"seq.10361.25",-0.00815315851379646,-0.0701140989012198,0.00772891859512821,-1.05488994526811,0.292622349548203,0.0287691925473549,0.0112695383590189,222,-0.0233845955470449,0.00707827851945198,-800.724782432256,"OAS1__seq.10361.25__ANML",NA,0.999033312328986,"P00973","OAS1","OAS1","OAS1__seq.10361.25","OAS1"
"seq.10362.35",-0.00632002765282611,-0.0384373303817936,0.0111021527607479,-0.569261456676297,0.569759457729237,0.00601132039112453,-0.0120612010563095,220,-0.0282002124012195,0.0155601570955673,-630.816306872464,"MYC__seq.10362.35__ANML",NA,0.999033312328986,"P01106","MYC","MYC","MYC__seq.10362.35","MYC"
"seq.10363.13",0.00550807330930696,0.0169696653016165,0.0218306044084444,0.252309702757307,0.80104385435296,0.0424687049567729,0.0245709237410117,214,-0.0375224768017501,0.0485386234203641,-330.441327941773,"SMAD3__seq.10363.13__ANML",NA,0.999033312328986,"P84022","SMAD3","SMAD3","SMAD3__seq.10363.13","SMAD3"
"seq.10364.6",0.018281407897172,0.131802130873448,0.00926605014220194,1.97294506468402,0.0497654764199555,0.0376464586122716,0.0199885954675428,218,1.88977720228592e-05,0.0365439180223212,-718.144750216626,"SMAD2__seq.10364.6__ANML",NA,0.999033312328986,"Q15796","SMAD2","SMAD2","SMAD2__seq.10364.6","SMAD2_1"
"seq.10365.132",0.0161045379245675,0.0670415651613089,0.0160312269458856,1.00457301109449,0.31620612320311,0.0283092716499164,0.0106421674980968,220,-0.0154898937931753,0.0476989696423102,-459.786955755402,"IL12B__seq.10365.132__ANML",NA,0.999033312328986,"P29460","IL12B|IL23A","IL12B","IL12B__seq.10365.132","IL12B_1"
"seq.10366.11",-0.0170573260023117,-0.0246251494663984,0.0365643966821146,-0.466500955850729,0.64131441101359,0.385630093660336,0.37456036561818,222,-0.0891150529491832,0.0550004009445599,-88.9031501608404,"PDGFRA__seq.10366.11__ANML",NA,0.999033312328986,"P16234","PDGFRA","PDGFRA","PDGFRA__seq.10366.11","PDGFRA"
"seq.10367.62",0.000390444542590314,0.00199133933539519,0.0130694663951147,0.029874558821794,0.976194179369652,0.0309495818078794,0.0133304832952955,220,-0.0253669329183883,0.0261478220035689,-557.320426039981,"IL12A__seq.10367.62__ANML",NA,0.999033312328986,"P29459","IL12A|IL12B","IL12A","IL12A__seq.10367.62","IL12A_1"
"seq.10370.21",-0.0117912296359245,-0.0339531339181646,0.0200807246522015,-0.587191440555498,0.557674545154397,0.265876453893314,0.252589149891383,221,-0.0513654436602231,0.0277829843883741,-365.041097124359,"STAT1__seq.10370.21__ANML",NA,0.999033312328986,"P42224","STAT1","STAT1","STAT1__seq.10370.21","STAT1_1"
"seq.10372.18",-0.0144828140592553,-0.0672886216825377,0.0141716702351126,-1.02195533899538,0.307924484929702,0.0511564357147148,0.0339047345458915,220,-0.0424124210120499,0.0134467928935393,-520.100031813455,"STAT6__seq.10372.18__ANML",NA,0.999033312328986,"P42226","STAT6","STAT6","STAT6__seq.10372.18","STAT6"
"seq.10382.1",0.0654428311457065,0.0631362124390131,0.0673716835644342,0.971369983401366,0.332416488960089,0.065248334249035,0.0484814882265961,223,-0.0673237807771407,0.198209443068554,189.314466616491,"ANGPTL3__seq.10382.1__ANML",NA,0.999033312328986,"Q9Y5C1","ANGPTL3","ANGPTL3","ANGPTL3__seq.10382.1","ANGPTL3_1"
"seq.10390.21",-0.00342632711336439,-0.0222094899130145,0.0102835807457946,-0.333184247594455,0.739305471203431,0.00825319184859985,-0.00937786251853612,225,-0.0236907748521461,0.0168381206254173,-673.43574148023,"ZNRF3__seq.10390.21__ANML",NA,0.999033312328986,"Q9ULT6","ZNRF3","ZNRF3","ZNRF3__seq.10390.21","ZNRF3_1"
"seq.10391.1",0.0758253944054285,0.0561810229004357,0.0861140231665312,0.880523190268256,0.379515491430488,0.0915926816366381,0.0754432181990674,225,-0.0938677470373551,0.245518535848212,304.063124556608,"ANGPTL3__seq.10391.1__ANML",NA,0.999033312328986,"Q9Y5C1","ANGPTL3","ANGPTL3","ANGPTL3__seq.10391.1","ANGPTL3_2"
"seq.10396.6",-0.0354217559956185,-0.0753197894002117,0.0278641514108362,-1.27123038750942,0.204995222561702,0.235816836162513,0.22185915280475,219,-0.0903379683550091,0.0194944563637722,-215.229010065041,"MCL1__seq.10396.6__ANML",NA,0.999033312328986,"Q07820","MCL1","MCL1","MCL1__seq.10396.6","MCL1_1"
"seq.10398.110",0.00671874395074157,0.0510856990840555,0.0088497118883989,0.759204823328676,0.44853904696229,0.00702893315846455,-0.0109433938431922,221,-0.0107218812453458,0.0241593691468289,-730.093042089666,"ANKRD1__seq.10398.110__ANML",NA,0.999033312328986,"Q15327","ANKRD1","ANKRD1","ANKRD1__seq.10398.110","ANKRD1_1"
"seq.10418.36",-0.0393392407883654,-0.0346505157679826,0.0466171276822029,-0.843879551235931,0.399633015125976,0.623531828661647,0.616839061171187,225,-0.131201245959515,0.0525227643827838,21.9110831151055,"STX12__seq.10418.36__ANML",NA,0.999033312328986,"Q86Y82","STX12","STX12","STX12__seq.10418.36","STX12"
"seq.10419.1",0.00107008258202743,0.00497760340294782,0.0133044705378619,0.0804303019035738,0.935967814731287,0.159699939886642,0.144490889024862,221,-0.0251497861560063,0.0272899513200612,-563.085886710236,"SCARA5__seq.10419.1__ANML",NA,0.999033312328986,"Q6ZMJ2","SCARA5","SCARA5","SCARA5__seq.10419.1","SCARA5"
"seq.10420.30",0.0282325666069307,0.0571262336319689,0.0324382536107376,0.870347921491839,0.385042036054322,0.0425732995904378,0.0254763942259814,224,-0.0356906115174072,0.0921557447312685,-144.472848576425,"FAIM__seq.10420.30__ANML",NA,0.999033312328986,"Q9NVQ4","FAIM","FAIM","FAIM__seq.10420.30","FAIM_1"
"seq.10425.3",0.0173844099022232,0.111634710422936,0.0103913359801179,1.67297159243868,0.0957542412316438,0.028945902641213,0.0112903735983261,220,-0.00309489315974363,0.0378637129641901,-660.527320552022,"B4GALT5__seq.10425.3__ANML",NA,0.999033312328986,"O43286","B4GALT5","B4GALT5","B4GALT5__seq.10425.3","B4GALT5"
"seq.10428.1",-0.0643956856068179,-0.12256778004946,0.0335226784800458,-1.92095884119609,0.0560006890097375,0.0911029098180907,0.074944739325968,225,-0.130454248564149,0.00166287735051328,-129.809918615465,"KIR2DS2__seq.10428.1__ANML",NA,0.999033312328986,"P43631","KIR2DS2","KIR2DS2","KIR2DS2__seq.10428.1","KIR2DS2"
"seq.10430.31",-0.0202158455919677,-0.0525237936496644,0.0250423809767623,-0.807265315974816,0.420366190779607,0.0549885433172303,0.0381883396428702,225,-0.0695634447505378,0.0291317535666023,-263.991648698655,"SLC3A2__seq.10430.31__ANML",NA,0.999033312328986,"P08195","SLC3A2","SLC3A2","SLC3A2__seq.10430.31","SLC3A2_1"
"seq.10432.3",-0.0177156419973582,-0.0908987737333329,0.0129473786513382,-1.36828021134048,0.172589160571811,0.0147594071413371,-0.00275598117615017,225,-0.0432292723679424,0.00779798837322607,-567.432754158051,"SHISAL1__seq.10432.3__ANML",NA,0.999033312328986,"Q3SXP7","SHISAL1","SHISAL1","SHISAL1__seq.10432.3","SHISAL1"
"seq.10435.2",-0.0246663884079603,-0.109105658549181,0.0135660198285022,-1.81824799902888,0.0703442230055413,0.189304626710451,0.175019245683322,227,-0.0513978168880492,0.00206504007212869,-550.503372616546,"AGA__seq.10435.2__ANML",NA,0.999033312328986,"P20933","AGA","AGA","AGA__seq.10435.2","AGA"
"seq.10438.19",0.0450209252563287,0.040513871164933,0.0674897468486994,0.667077998636711,0.505399823902513,0.169530604892428,0.154896782952206,227,-0.0879655633255994,0.178007413838257,193.9417369161,"CSF2RA__seq.10438.19__ANML",NA,0.999033312328986,"P15509","CSF2RA","CSF2RA","CSF2RA__seq.10438.19","CSF2RA"
"seq.10439.57",-0.028544483544823,-0.0938044705544071,0.015600083501107,-1.82976479214341,0.0686201955613411,0.418203058353065,0.407767238771954,223,-0.0592869278860665,0.00219796079642052,-477.681741187895,"AMY2B__seq.10439.57__ANML",NA,0.999033312328986,"P19961","AMY2B","AMY2B","AMY2B__seq.10439.57","AMY2B_1"
"seq.10440.26",-0.00629235161586436,-0.00796738749252839,0.0388162830167656,-0.162105980450177,0.871367878461087,0.46094864078156,0.451365505506565,225,-0.0827822978759429,0.0701975946442141,-62.4727013337526,"CLMP__seq.10440.26__ANML",NA,0.999033312328986,"Q9H6B4","CLMP","CLMP","CLMP__seq.10440.26","CLMP_1"
"seq.10442.1",-0.0385958097407595,-0.0745418770969317,0.0340605588775673,-1.13315256744595,0.258389194995,0.0587650473050371,0.0415735413197409,219,-0.105724245013064,0.0285326255315452,-125.453401636998,"TMEM190__seq.10442.1__ANML",NA,0.999033312328986,"Q8WZ59","TMEM190","TMEM190","TMEM190__seq.10442.1","TMEM190"
"seq.10445.20",-0.00729770079407911,-0.00727890925950322,0.0651438344146956,-0.112024428092812,0.910904807871242,0.0692965548180732,0.0526023226175005,223,-0.135673981826603,0.121078580238445,161.654278418792,"APOM__seq.10445.20__ANML",NA,0.999033312328986,"O95445","APOM","APOM","APOM__seq.10445.20","APOM_1"
"seq.10447.18",0.00660594928443115,0.0265292405196476,0.0160850852211314,0.410687863546581,0.681699333701296,0.0846911391768606,0.0681244629628672,221,-0.0250938332764711,0.0383057318453334,-465.547645941726,"PABPC3__seq.10447.18__ANML",NA,0.999033312328986,"Q9H361","PABPC3","PABPC3","PABPC3__seq.10447.18","PABPC3"
