"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.14331.262",-0.00281542675328174,-0.0116821034671015,0.0108344755421199,-0.259858148401974,0.795137230941446,0.380124911823316,0.372519082520535,326,-0.024129738608012,0.0184988851014485,-656.998817930524,"DYNLT1__seq.14331.262__ANML",0.946544497987424,"P63172","DYNLT1","DYNLT1","DYNLT1__seq.14331.262","DYNLT1"
"seq.14332.3",-0.00421840892736389,-0.0098995808028851,0.0176230033348003,-0.239369467690774,0.810966364639639,0.471235034457034,0.464883503339401,333,-0.038884855726454,0.0304480378717263,-336.574062662173,"RALA__seq.14332.3__ANML",0.951177000978742,"P11233","RALA","RALA","RALA__seq.14332.3","RALA"
"seq.14334.3",0.00364425023194181,0.0261458104740867,0.00779590904122776,0.467456740794385,0.640478881888482,0.0303405246409169,0.0186929633753423,333,-0.0116911872581363,0.0189796877220199,-887.043209863765,"RCVRN__seq.14334.3__ANML",0.903076046573249,"P35243","RCVRN","RCVRN","RCVRN__seq.14334.3","RCVRN"
"seq.14337.1",-0.0327879721215835,-0.162853453248248,0.0116162213429115,-2.82260221750954,0.0050745237077548,0.0554032757975937,0.0430958266223179,307,-0.0556454581459565,-0.00993048609721046,-596.071782897546,"TRAPPC3__seq.14337.1__ANML",0.100800238967235,"O43617","TRAPPC3","TRAPPC3","TRAPPC3__seq.14337.1","TRAPPC3"
"seq.14341.8",-0.00486389271655272,-0.0181057206936044,0.0111533944273843,-0.436090801613784,0.663058609760189,0.480336484546726,0.473979744296533,327,-0.026805353317576,0.0170775678844706,-640.982619577741,"DIPK1C__seq.14341.8__ANML",0.909655011326006,"Q0P6D2","DIPK1C","DIPK1C","DIPK1C__seq.14341.8","DIPK1C"
"seq.14583.49",-0.0451883739739563,-0.111889943843285,0.0222592103376685,-2.0300978016945,0.0431483682400357,0.066937864033057,0.0556280199607303,330,-0.0889762178670675,-0.00140053008084508,-179.233015510959,"MSTN__seq.14583.49__ANML",0.321022025556313,"O14793","MSTN","MSTN","MSTN__seq.14583.49","MSTN_2"
"seq.14587.16",-0.000241367827248161,-0.0007940280806971,0.0154635906377818,-0.0156087827789772,0.98755579057775,0.192899030185055,0.183262003679802,335,-0.0306593424906788,0.0301766068361825,-423.930552017922,"GDF11__seq.14587.16__ANML",0.99731412004181,"O95390","GDF11","GDF11","GDF11__seq.14587.16","GDF11_1"
"seq.14593.152",0.0156882867606209,0.0387472607446852,0.0218903992065689,0.71667431062258,0.474089771053014,0.107769465956964,0.0967881670764339,325,-0.0273764783824358,0.0587530519036775,-188.489922722664,"FAM210A__seq.14593.152__ANML",0.815704715444127,"Q96ND0","FAM210A","FAM210A","FAM210A__seq.14593.152","FAM210A"
"seq.14597.5",0.0016594690236356,0.0151253439514342,0.00592936881734498,0.279872795023513,0.779748346001965,0.0908109713159025,0.0799224799544163,334,-0.0100041447221466,0.0133230827694178,-1074.33383310743,"SEMA6C__seq.14597.5__ANML",0.941859587708722,"Q9H3T2","SEMA6C","SEMA6C","SEMA6C__seq.14597.5","SEMA6C_1"
"seq.14599.18",0.022827976067668,0.191549691627063,0.00670487551392242,3.40468305791309,0.000745672040750206,0.0425313470745377,0.0307107464211369,324,0.00963738883647502,0.0360185632988609,-968.884146752392,"STAB1__seq.14599.18__ANML",0.0293283705465854,"Q9NY15","STAB1","STAB1","STAB1__seq.14599.18","STAB1"
"seq.14603.51",0.00656104699587654,0.0271825023956257,0.0118612390861503,0.553150218811246,0.580529495299864,0.247082870954093,0.238092815681903,335,-0.0167708478046682,0.0298929417964212,-604.384383377211,"KIAA0040__seq.14603.51__ANML",0.872273383516201,"Q15053","KIAA0040","KIAA0040","KIAA0040__seq.14603.51","KIAA0040"
