"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"FBLN2__Cardiometabolic_II_o2csf__NPX",-0.00337395407845336,-0.510899646223816,0.000915359815322249,-3.68593204767851,0.000248756965865396,0.465051197360668,0.460540667827453,593,-0.00517169556564998,-0.00157621259125673,0.000742668576365756,"FBLN2",NA,"FBLN2"
"GM2A__Cardiometabolic_II_o2csf__NPX",-0.00510694517829202,-0.642799004231559,0.00137772351725793,-3.7067997419804,0.000229598516590312,0.171754565062626,0.164759248889168,592,-0.00781276559963074,-0.0024011247569533,0.000742668576365756,"GM2A","P17900","GM2A"
"LILRA5__Cardiometabolic_o2csf__NPX",0.000935684767405698,0.0479836505739996,0.00283598646065959,0.329932734300882,0.74156633144085,0.392644643201559,0.387566421154749,598,-0.00463401935704242,0.00650538889185382,0.74156633144085,"LILRA5","A6NI73","LILRA5"
"NTproBNP__Cardiometabolic_o2csf__NPX",0.0115717830247625,0.341690187294128,0.00605443450800663,1.91129047798923,0.056444212883039,0.0816845272095781,0.0740191225953009,599,-0.000318716154638863,0.0234622822041638,0.0987773725453182,"NTproBNP",NA,"NTproBNP"
"SNAP25__Neurology_II_o2csf__NPX",-0.0111545773601084,-0.412369009255146,0.00308047041025453,-3.62106297888015,0.000318286532728181,0.629246332067283,0.626146385010989,598,-0.0172044330231163,-0.00510472169710055,0.000742668576365756,"SNAP25","P60880","SNAP25"
"UBXN1__Inflammation_II_o2csf__NPX",-0.00183318304139925,-0.128182797226858,0.00212178311915351,-0.863982291522143,0.387943448633691,0.367544334328232,0.362265071676548,599,-0.00600022133437253,0.00233385525157403,0.45260069007264,"UBXN1",NA,"UBXN1"
"WARS__Neurology_o2csf__NPX",-0.0152981942112093,-0.281125321338908,0.00866904973263797,-1.76469101954894,0.0781252792024459,0.270806381953078,0.264719623872553,599,-0.0323236205488475,0.00172723212642881,0.109375390883424,"WARS",NA,"WARS"
