"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"CTSC__Inflammation_o2csf__NPX",-0.0347936047609493,-0.0316788060241421,0.0245492516682345,-1.41729797841335,0.156630742452145,0.338237436033941,0.336241168872656,1326,-0.0829532129838561,0.0133660034619576,0.50201235656897,"CTSC","P53634","CTSC"
"CTSD__Cardiometabolic_o2csf__NPX",0.0187068160327528,0.0280042400217271,0.0150991682101732,1.23893023591518,0.215590923988595,0.324244482812348,0.322202925358609,1324,-0.0109140880526217,0.0483277201181272,0.556959410167281,"CTSD","P07339","CTSD"
"CTSE__Inflammation_II_o2csf__NPX",-0.0160964543110602,-0.00982908100339989,0.0353462681236723,-0.455393317753962,0.648900802330746,0.382520252786914,0.38065897246374,1327,-0.0854371118605383,0.0532442032384178,0.842167936703522,"CTSE","P14091","CTSE"
"CTSF__Oncology_o2csf__NPX",-0.0193172369351887,-0.0143637562039558,0.0239088087156578,-0.807954807155989,0.419261516036195,0.581422397450232,0.580159719916145,1326,-0.0662204532280259,0.0275859793576485,0.712827211639811,"CTSF","Q9UBX1","CTSF"
"CTSH__Cardiometabolic_o2csf__NPX",0.0458265127840495,0.0230017417293354,0.047203156505697,0.970835769818035,0.33180685296118,0.255375641423676,0.253132796970133,1328,-0.0467743708235953,0.138427396391694,0.647712884161078,"CTSH","P09668","CTSH"
"CTSL__Cardiometabolic_o2csf__NPX",-0.00680308672793363,-0.0100737013857584,0.0116098796917293,-0.585973921226765,0.557992612354376,0.607961335063315,0.606780495711096,1328,-0.0295787906769446,0.0159726172210774,0.796069460292243,"CTSL",NA,"CTSL"
"CTSO__Inflammation_o2csf__NPX",0.0427461066449933,0.0409255552510697,0.0177050438607036,2.41434627224327,0.0158982782995041,0.619695696398266,0.618547607934562,1325,0.00801313085630497,0.0774790824336817,0.196862459656322,"CTSO","P43234","CTSO"
"CTSS__Neurology_o2csf__NPX",-0.0295912957090446,-0.0387754546381924,0.0147492436537051,-2.00629241768687,0.0450275128772928,0.504512542482695,0.503020110381739,1328,-0.0585256529847641,-0.000656938433325194,0.308538277893174,"CTSS","P25774","CTSS"
"CTSV__Oncology_o2csf__NPX",0.00839284589498455,0.0114335207172445,0.01915873118261,0.43806898353491,0.661407682588747,0.0985854158114818,0.0958641642365732,1325,-0.0291919097002573,0.0459776014902264,0.850293980111781,"CTSV","O60911","CTSV"
"CTSZ__Cardiometabolic_o2csf__NPX",-0.00332953531234065,-0.00462277296646495,0.0141339641816636,-0.235569813928081,0.81380287560331,0.489879554641685,0.488340729768809,1326,-0.0310569050433818,0.0243978344187005,0.916050328818785,"CTSZ","Q9UBR2","CTSZ"
"CX3CL1__Neurology_o2csf__NPX",-0.0373519499097957,-0.0304220008266785,0.0220876265121437,-1.69108029281733,0.0910566401285827,0.571704879001633,0.570411912598619,1325,-0.0806824834521954,0.00597858363260412,0.400792710730002,"CX3CL1","P78423","CX3CL1"
"CXADR__Inflammation_o2csf__NPX",-0.00227262956656833,-0.0017719994368656,0.0216924661359757,-0.104765846000299,0.916577456084879,0.621080455221577,0.61993740983763,1326,-0.0448279255330459,0.0402826663999092,0.962233389746466,"CXADR","P78310","CXADR"
"CXCL1__Inflammation_o2csf__NPX",-0.0334133889084257,-0.0201835236015867,0.0309876288260915,-1.07828156507063,0.281104084913893,0.535569391799828,0.53416945025288,1327,-0.0942034715044808,0.0273766936876293,0.610324529512456,"CXCL1","P09341","CXCL1"
"CXCL10__Inflammation_o2csf__NPX",-0.103454329224715,-0.0423664560858184,0.0503416922436143,-2.05504274119505,0.0400701232426035,0.436219709965117,0.434521576561398,1328,-0.202212241388919,-0.00469641706051037,0.287675806881692,"CXCL10","P02778","CXCL10"
"CXCL11__Neurology_o2csf__NPX",-0.0825667049040165,-0.0457467410180145,0.043982371158193,-1.87726815835021,0.0607009039514673,0.214130932108382,0.211758497186446,1325,-0.168849384833278,0.00371597502524472,0.363856580876307,"CXCL11","O14625","CXCL11"
