"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.5249.31",-0.00678554088805141,-0.0139555356822592,0.0138870039137483,-0.488625259285312,0.6252019218273,0.0996325825008035,0.092455162875035,1129,-0.0340327787622209,0.0204616969861181,-123.580457593448,"DRAK2__seq.5249.31__ANML",0.895578549366329,"O94768","STK17B","STK17B","STK17B__seq.5249.31","STK17B_1"
"seq.5250.53",0.0137665338140854,0.0176569268738435,0.0128210136657284,1.07374769054996,0.283164608925792,0.700317043915525,0.697934405572097,1132,-0.0113890877840789,0.0389221554122497,-301.197489394035,"IMDH2__seq.5250.53__ANML",0.705334457671694,"P12268","IMPDH2","IMPDH2","IMPDH2__seq.5250.53","IMPDH2"
"seq.5252.33",0.0263049021326495,0.0172147946435858,0.0162677890469073,1.61699306874466,0.106157406179165,0.874144647164091,0.873147553699722,1136,-0.00561338560159308,0.0582231898668921,245.163245244723,"PDE11__seq.5252.33__ANML",0.515571136010146,"Q9HCR9","PDE11A","PDE11A","PDE11A__seq.5252.33","PDE11A"
"seq.5253.1",-0.0179058361114103,-0.0219767525597974,0.0192860311559399,-0.928435506851055,0.353379628966605,0.379746856169726,0.374815514920192,1132,-0.0557462217890328,0.0199345495662122,629.324518496386,"PDE1A__seq.5253.1__ANML",0.756974975407517,"P54750","PDE1A","PDE1A","PDE1A__seq.5253.1","PDE1A"
"seq.5254.69",0.00517581254230191,0.0109026534451689,0.0124607210398909,0.41537022823418,0.677949615579981,0.237923348810968,0.231864435506462,1132,-0.0192728926453132,0.0296245177299171,-368.486943855773,"PDE3A__seq.5254.69__ANML",0.913251285040711,"Q14432","PDE3A","PDE3A","PDE3A__seq.5254.69","PDE3A"
"seq.5255.22",-0.0311060832047408,-0.0662102295016583,0.0139670169470349,-2.22711000657477,0.0261363406467305,0.0239782911301447,0.0162046669002078,1130,-0.0585102860181182,-0.00370188039136336,-110.350554299024,"PDE4D__seq.5255.22__ANML",0.320297506254284,"Q08499","PDE4D","PDE4D","PDE4D__seq.5255.22","PDE4D"
"seq.5256.86",0.0376368521270693,0.0211583200354803,0.0242420276431138,1.5525455494545,0.120810275166333,0.79376708612643,0.792133198604544,1136,-0.00992732585331024,0.0852010301074489,1159.44384618395,"PDE5A__seq.5256.86__ANML",0.539374646798082,"O76074","PDE5A","PDE5A","PDE5A__seq.5256.86","PDE5A_2"
"seq.5259.2",-0.00899194145431502,-0.015001547268072,0.0127149764959553,-0.707192927739614,0.479591890460494,0.500847806664269,0.496886281320334,1134,-0.0339394644749021,0.0159555815662721,-320.314354511223,"TAK1.TAB1__seq.5259.2__ANML",0.83014521514156,"O43318","MAP3K7|TAB1","MAP3K7","MAP3K7__seq.5259.2","MAP3K7"
"seq.5260.80",-0.0372324096010679,-0.0423223191701536,0.0148408809985227,-2.50877354280883,0.0122537656658735,0.684533113061808,0.682029407609917,1134,-0.0663510808368514,-0.00811373836528437,32.6346392423366,"TYK2__seq.5260.80__ANML",0.222556204146845,"P29597","TYK2","TYK2","TYK2__seq.5260.80","TYK2"
"seq.5261.13",-0.0140750782888873,-0.0489153228846573,0.00833363968848879,-1.68894730454079,0.0915059004273074,0.0748861206064916,0.0675048928453732,1128,-0.030426256728339,0.00227610015056439,-1284.84011653079,"ABL2__seq.5261.13__ANML",0.4929576967596,"P42684","ABL2","ABL2","ABL2__seq.5261.13","ABL2_2"
