"apt_name","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","Protein_id","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.17467.1",0.0471394034780318,0.135837909016031,0.0577564750926554,0.00272260578286165,0.11,0.135837909016033,0,0.138560514798894,0,0.0196492181543437,0.11,-0.00416844798711198,0.0631988934065721,0.6916,0,0.684,"DHRS9__seq.17467.1__ANML","Q9BPW9","DHRS9","DHRS9","DHRS9__seq.17467.1","DHRS9"
"seq.17671.58",0.0484193479391018,0.484755414345433,-0.0907047912857203,-0.00439186684900698,0.118,0.484755414345432,0,0.480363547496426,0,-0.00914279793272545,0.118,-0.0281345718261128,0.00149721404153778,0.6916,0,0.684,"ING4__seq.17671.58__ANML","Q9UNL4","ING4","ING4","ING4__seq.17671.58","ING4"
"seq.18275.5",0.0476013614135563,-0.132826862923909,0.00304645150428534,0.000145015239084356,0.968,-0.13282686292391,0,-0.132681847684825,0,-0.00109295462502774,0.968,-0.0595365377286375,0.0548021990899809,0.986,0,0.986,"CRIP1__seq.18275.5__ANML","P50238","CRIP1","CRIP1","CRIP1__seq.18275.5","CRIP1"
"seq.18942.11",0.0480748794536041,-0.0999613942350346,-0.0786865045706722,-0.00378284422186058,0.092,-0.0999613942350344,0,-0.103744238456895,0,0.0364631740338267,0.092,-0.00634897803605887,0.118908188598679,0.6916,0,0.684,"PSB9__seq.18942.11__ANML","P28065","PSMB9","PSMB9","PSMB9__seq.18942.11","PSMB9"
"seq.19158.1",0.0477314242466166,0.556705715421761,-0.210298854454668,-0.0100378638405535,0.076,0.55670571542176,0,0.546667851581207,0,-0.0183619062498728,0.076,-0.0456278166832657,0.00235774534964794,0.6916,0,0.684,"PAF__seq.19158.1__ANML","Q15004","PCLAF","PCLAF","PCLAF__seq.19158.1","PCLAF"
"seq.19272.9",0.0476013614135563,-0.119065893459585,-0.07331473508912,-0.00348988120191626,0.178,-0.119065893459586,0.002,-0.122555774661503,0.002,0.0284758609829301,0.18,-0.0105054542926877,0.107298052206894,0.6916,0.00214084507042254,0.684,"PEF1__seq.19272.9__ANML","Q9UBV8","PEF1","PEF1","PEF1__seq.19272.9","PEF1"
"seq.19606.28",0.0476013614135563,0.128345100565158,-0.0641476782991646,-0.0030535168185591,0.182,0.128345100565159,0.002,0.1252915837466,0.002,-0.0243712843851888,0.18,-0.0971846074010509,0.00904247177392111,0.6916,0.00214084507042254,0.684,"ihh__seq.19606.28__ANML","Q14623","IHH","IHH","IHH__seq.19606.28","IHH"
"seq.19823.75",0.0476013614135563,0.164967714600844,-0.00180088056837776,-8.57243667980074e-05,0.986,0.164967714600845,0,0.164881990234047,0,-0.000519913464632027,0.986,-0.0301807814404977,0.0377216999819585,0.986,0,0.986,"SIR1__seq.19823.75__ANML","Q96EB6","SIRT1","SIRT1","SIRT1__seq.19823.75","SIRT1"
"seq.20089.172",0.0506960380958461,0.0948631467469796,-0.00361164244841485,-0.000183095963153397,0.924,0.0948631467469791,0,0.0946800507838257,0,-0.00193383887775307,0.924,-0.0506828291919323,0.0446295260322697,0.986,0,0.986,"ST1C4__seq.20089.172__ANML","O75897","SULT1C4","SULT1C4","SULT1C4__seq.20089.172","SULT1C4"
"seq.20133.1",0.0474621348972503,-0.174207400484449,-0.0092531011919749,-0.000439171936991406,0.744,-0.174207400484448,0,-0.17464657242144,0,0.00251463244255169,0.744,-0.018386057231576,0.0278825016731784,0.986,0,0.986,"MAGE.3__seq.20133.1__ANML","P43357","MAGEA3","MAGEA3","MAGEA3__seq.20133.1","MAGEA3_2"
"seq.20135.85",0.0476013614135563,-0.0800010860360868,0.0255824601235228,0.00121775993018771,0.44,-0.0800010860360869,0,-0.0787833261058992,0,-0.0154570769016634,0.44,-0.083074753902277,0.0297980303068207,0.893904761904762,0,0.89752380952381,"MCE1__seq.20135.85__ANML","O60942","RNGTT","RNGTT","RNGTT__seq.20135.85","RNGTT_2"
"seq.20241.9",0.0476013614135563,-0.154616754221863,-0.107861003993618,-0.00513433063352923,0.078,-0.154616754221863,0,-0.159751084855392,0,0.0321395666150053,0.078,-0.00554722611535938,0.0887682798909237,0.6916,0,0.684,"SNP23__seq.20241.9__ANML","O00161","SNAP23","SNAP23","SNAP23__seq.20241.9","SNAP23"
"seq.20387.277",0.0476013614135563,-0.201362891556681,-0.0426439543632825,-0.00202991028374984,0.458,-0.201362891556681,0,-0.20339280184043,0,0.0099802464265298,0.458,-0.0139693931993366,0.0514540122830665,0.893904761904762,0,0.89752380952381,"CHCH7__seq.20387.277__ANML","Q9BUK0","CHCHD7","CHCHD7","CHCHD7__seq.20387.277","CHCHD7"
"seq.20398.60",0.0476013614135563,-0.38025492113134,0.076722205887831,0.00365208145091191,0.482,-0.38025492113134,0,-0.376602839680428,0,-0.00969743471401047,0.482,-0.0497448931356975,0.0201717639003254,0.893904761904762,0,0.89752380952381,"POP7__seq.20398.60__ANML","O75817","POP7","POP7","POP7__seq.20398.60","POP7"
"seq.21115.48",0.0476013614135563,-0.608136494035393,-0.145262372634157,-0.00691468669954914,0.164,-0.608136494035392,0,-0.615051180734941,0,0.0112424574021411,0.164,-0.00322704356193737,0.034186554397193,0.6916,0,0.684,"BN3D2__seq.21115.48__ANML","Q7Z5W3","BCDIN3D","BCDIN3D","BCDIN3D__seq.21115.48","BCDIN3D"
"seq.21163.21",0.0476013614135563,-0.122018643513438,-0.074091136849623,-0.00352683898272012,0.164,-0.122018643513442,0,-0.125545482496162,0,0.0280921217760896,0.164,-0.00704200429506717,0.11579062183143,0.6916,0,0.684,"TBC13__seq.21163.21__ANML","Q9NVG8","TBC1D13","TBC1D13","TBC1D13__seq.21163.21","TBC1D13"
"seq.21238.40",0.0472962467076757,-0.120132398629012,0.0354261383881476,0.00167552338110609,0.446,-0.120132398629011,0,-0.118456875247905,0,-0.014144585340442,0.446,-0.0759781045346338,0.0190752178587191,0.893904761904762,0,0.89752380952381,"CK5P3__seq.21238.40__ANML","Q96JB5","CDK5RAP3","CDK5RAP3","CDK5RAP3__seq.21238.40","CDK5RAP3"
"seq.21497.32",0.0476013614135563,-0.0659710071087083,0.0178913319052547,0.000851651756191961,0.486,-0.0659710071087085,0,-0.0651193553525165,0,-0.0130783198264423,0.486,-0.0923496057447814,0.0226794394687902,0.893904761904762,0,0.89752380952381,"HYOU1__seq.21497.32__ANML","Q9Y4L1","HYOU1","HYOU1","HYOU1__seq.21497.32","HYOU1"
"seq.21569.49",0.0476013614135563,0.273528817944932,-0.0123141317281638,-0.000586169434886515,0.832,0.273528817944932,0,0.272942648510045,0,-0.00214759195049337,0.832,-0.0355622053704582,0.0254188972919734,0.986,0,0.986,"STK10__seq.21569.49__ANML","O94804","STK10","STK10","STK10__seq.21569.49","STK10"
"seq.21655.18",0.046644576108059,0.141999981718369,0.0469906427628983,0.00219185861272067,0.306,0.141999981718369,0,0.14419184033109,0,0.0152009892355058,0.306,-0.0143523212220389,0.0796531240177176,0.800533333333333,0,0.800533333333333,"FOPNL__seq.21655.18__ANML","Q96NB1","CEP20","CEP20","CEP20__seq.21655.18","CEP20"
"seq.21750.25",0.0580420076164344,0.11188614817083,-0.0209454784243438,-0.00121571761823568,0.588,0.111886148170829,0.006,0.110670430552593,0.008,-0.010985026552851,0.588,-0.0856644651603435,0.0448853809432906,0.918204081632653,0.006,0.918204081632653,"BAP1__seq.21750.25__ANML","Q92560","BAP1","BAP1","BAP1__seq.21750.25","BAP1"
"seq.21802.53",0.0476013614135563,-0.0759796307901243,0.00606574366366206,0.000288737656375987,0.898,-0.0759796307901226,0,-0.0756908931337466,0,-0.00381469479909274,0.898,-0.049274879275422,0.045410948853368,0.986,0,0.986,"NEIL1__seq.21802.53__ANML","Q96FI4","NEIL1","NEIL1","NEIL1__seq.21802.53","NEIL1"
"seq.21823.5",0.0480771200570793,-0.177785821408304,-0.00429762860925646,-0.000206617606607963,0.932,-0.177785821408304,0,-0.177992439014912,0,0.00116082237959924,0.932,-0.0170817266479671,0.0225363487449867,0.986,0,0.986,"PPM1G__seq.21823.5__ANML","O15355","PPM1G","PPM1G","PPM1G__seq.21823.5","PPM1G"
"seq.21861.8",0.0476100333222641,-0.0849099702367752,0.00704009524083666,0.000335179169008118,0.864,-0.0849099702367759,0,-0.0845747910677678,0,-0.00396310963085379,0.864,-0.0600199208455812,0.0328919765682749,0.986,0,0.986,"PSB10__seq.21861.8__ANML","P40306","PSMB10","PSMB10","PSMB10__seq.21861.8","PSMB10"
"seq.21940.12",0.045487031558895,-0.142304310180433,-0.111106765330063,-0.0050539169409753,0.172,-0.142304310180432,0,-0.147358227121407,0,0.034296808801937,0.172,-0.0112246844759618,0.11307620599481,0.6916,0,0.684,"WN10B__seq.21940.12__ANML","O00744","WNT10B","WNT10B","WNT10B__seq.21940.12","WNT10B"
"seq.22055.31",0.0458366363377225,0.220281432758401,-0.0252314925490344,-0.00115652674822803,0.592,0.220281432758401,0,0.219124906010173,0,-0.00527793380171187,0.592,-0.0348387623735584,0.0163722888937867,0.918204081632653,0,0.918204081632653,"FOXO1A__seq.22055.31__ANML","Q12778","FOXO1","FOXO1","FOXO1__seq.22055.31","FOXO1"
"seq.22088.3",0.0506904636810794,-0.0940897898491242,-0.0399189606166255,-0.00202351062332349,0.238,-0.0940897898491242,0,-0.0961133004724477,0,0.0210533881718437,0.238,-0.0116069131560267,0.0844630486157529,0.749142857142857,0,0.749142857142857,"BTG1__seq.22088.3__ANML","P62324","BTG1","BTG1","BTG1__seq.22088.3","BTG1"
"seq.22792.21",0.0497174266077262,-0.0900641821363194,0.0828068499794609,0.00411694348647085,0.072,-0.0900641821363202,0,-0.0859472386498493,0,-0.0479008232392823,0.072,-0.164533907835529,0.00241202099203128,0.6916,0,0.684,"SYWM__seq.22792.21__ANML","Q9UGM6","WARS2","WARS2","WARS2__seq.22792.21","WARS2"
"seq.22821.50",0.0476013614135563,1.55490628552261,0.00959417625374081,0.000456695851319697,0.83,1.55490628552261,0,1.55536298137393,0,0.000293626540420985,0.83,-0.00315939826477512,0.00392143289960839,0.986,0,0.986,"UNG__seq.22821.50__ANML","P13051","UNG","UNG","UNG__seq.22821.50","UNG"
"seq.23245.5",0.0472173749003993,0.0953822986540082,0.0184728242669909,0.000872238268883709,0.628,0.0953822986540082,0,0.0962545369228919,0,0.00906178863633666,0.628,-0.026151546356888,0.0554067717979847,0.95456,0,0.95456,"SPC1L__seq.23245.5__ANML","Q9H0A9","SPATC1L","SPATC1L","SPATC1L__seq.23245.5","SPATC1L"
"seq.23356.32",0.0465487325146497,0.432110757337038,0.0217855075614367,0.00101408776417325,0.82,0.432110757337038,0,0.433124845101211,0,0.00234132900858245,0.82,-0.0175051116246242,0.0222955403749958,0.986,0,0.986,"CCD24__seq.23356.32__ANML","Q8N4L8","CCDC24","CCDC24","CCDC24__seq.23356.32","CCDC24"
