"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.16882.27",0.01371572413995,0.0139518848274803,0.0568879220143062,0.241100811108916,0.809664839124546,0.171629279257889,0.15903048502607,263,-0.0982980150196808,0.125729463299581,281.444113447532,"PHPT1__seq.16882.27__ANML",0.957026179880044,"Q9NRX4","PHPT1","PHPT1","PHPT1__seq.16882.27","PHPT1"
"seq.16883.57",-0.00690567002013631,-0.0476727768133202,0.00877556912534386,-0.786919904737885,0.432021490459946,0.0722350844735938,0.0584393236479224,269,-0.024183203349386,0.0103718633091134,-727.904750742206,"RAB4A__seq.16883.57__ANML",0.81704136406409,"P20338","RAB4A","RAB4A","RAB4A__seq.16883.57","RAB4A"
"seq.16885.49",0.0978821893615569,0.165874723200958,0.0249695406155498,3.92006368353451,0.000112479325656174,0.548727399779292,0.5419919878357,268,0.0487207801437037,0.14704359857941,-154.466272370449,"MAPRE3__seq.16885.49__ANML",0.00554554759802026,"Q9UPY8","MAPRE3","MAPRE3","MAPRE3__seq.16885.49","MAPRE3_1"
"seq.16887.29",0.0104778776818099,0.0619940140062804,0.0101189612917115,1.03546968703126,0.301442234409529,0.142046303720293,0.128427991080933,252,-0.00945063100036221,0.030406386363982,-627.780878949627,"PTRH2__seq.16887.29__ANML",0.732521422414697,"Q9Y3E5","PTRH2","PTRH2","PTRH2__seq.16887.29","PTRH2"
"seq.16890.37",0.0348733276250289,0.0623146327928804,0.0255935354191333,1.36258344358936,0.174157741623328,0.473435583579606,0.465576413185272,268,-0.015516636990022,0.0852632922400798,-141.282955432574,"ADAMTSL1__seq.16890.37__ANML",0.613627754959696,"Q8N6G6","ADAMTSL1","ADAMTSL1","ADAMTSL1__seq.16890.37","ADAMTSL1_1"
"seq.16892.23",-0.0128747623642191,-0.0482914701389658,0.0153813253358721,-0.837038557021659,0.403322271091652,0.163243457493121,0.150660652342641,266,-0.0431593971929002,0.0174098724644621,-419.68994616329,"ENPP2__seq.16892.23__ANML",0.803359341186511,"Q13822","ENPP2","ENPP2","ENPP2__seq.16892.23","ENPP2"
"seq.16899.59",0.0233935710004981,0.110607495874842,0.0134357278160356,1.74114654009124,0.0828783023889193,0.0345856508459536,0.0192616135577941,252,-0.00306705185537619,0.0498541938563724,-484.518286673083,"OSBPL9__seq.16899.59__ANML",0.469063051758144,"Q96SU4","OSBPL9","OSBPL9","OSBPL9__seq.16899.59","OSBPL9"
"seq.16900.29",0.0055698546628509,0.00772295796701638,0.0373566260505667,0.149099510627952,0.881586829137353,0.321009891528876,0.310913384339715,269,-0.0679786915839081,0.0791184009096099,66.2038616009308,"MDGA1__seq.16900.29__ANML",0.974729846934713,"Q8NFP4","MDGA1","MDGA1","MDGA1__seq.16900.29","MDGA1"
"seq.16902.17",-0.00658923533364895,-0.0510224271262839,0.00762575874407306,-0.864076028994529,0.388336497526208,0.139480007116967,0.126342297301959,262,-0.0216048096748685,0.00842633900757061,-794.921267585893,"LAMP1__seq.16902.17__ANML",0.795136483367584,"P11279","LAMP1","LAMP1","LAMP1__seq.16902.17","LAMP1"
"seq.16907.3",0.0553951325186342,0.0703414175681928,0.0351475823735707,1.57607234346476,0.116188797418175,0.498698677271217,0.491216567976758,268,-0.0138053668693786,0.124595631906647,31.8109383056711,"CADM2__seq.16907.3__ANML",0.525187639663076,"Q8N3J6","CADM2","CADM2","CADM2__seq.16907.3","CADM2"
"seq.16908.5",0.00697643048852362,0.0398093999478767,0.0109795363346062,0.635403014837221,0.52571182957336,0.0192756250072938,0.00452789004499732,266,-0.0146414237094048,0.0285942846864521,-601.875388941572,"OMG__seq.16908.5__ANML",0.869349027647622,"P23515","OMG","OMG","OMG__seq.16908.5","OMG"
