source_layer,target_layer,source_node,target_node,class_idx,importance,normalized_importance,source_tuple,target_tuple
0,1,O60499,R-HSA-6811440,1,0.003198234066822363,0.0013774044398121256,"(np.str_('O60499'), '0')","('R-HSA-6811440', '1')"
0,1,O75223,R-HSA-156590,0,0.0031120274819934424,0.001340277284574744,"(np.str_('O75223'), '0')","('R-HSA-156590', '1')"
0,1,O75223,R-HSA-156590,1,0.022088549945459446,0.00951302066334271,"(np.str_('O75223'), '0')","('R-HSA-156590', '1')"
0,1,O75347,R-HSA-389977,0,0.49732870613344204,0.24866435306672102,"(np.str_('O75347'), '0')","('R-HSA-389977', '1')"
0,1,O75347,R-HSA-389977,1,0.08104859487129709,0.040524297435648546,"(np.str_('O75347'), '0')","('R-HSA-389977', '1')"
0,1,O75452,R-HSA-2453902,0,0.034395000306316294,0.011465000102105431,"(np.str_('O75452'), '0')","('R-HSA-2453902', '1')"
0,1,O75452,R-HSA-2453902,1,0.03874490186213874,0.01291496728737958,"(np.str_('O75452'), '0')","('R-HSA-2453902', '1')"
0,1,O75452,R-HSA-5365859,0,0.034395000306316294,0.011465000102105431,"(np.str_('O75452'), '0')","('R-HSA-5365859', '1')"
0,1,O75452,R-HSA-5365859,1,0.03874490186213874,0.01291496728737958,"(np.str_('O75452'), '0')","('R-HSA-5365859', '1')"
0,1,O75817,R-HSA-6784531,0,0.017225231420105465,0.008612615710052732,"(np.str_('O75817'), '0')","('R-HSA-6784531', '1')"
0,1,O75817,R-HSA-6784531,1,0.013534834005463963,0.006767417002731982,"(np.str_('O75817'), '0')","('R-HSA-6784531', '1')"
0,1,O94804,R-HSA-6798695,0,0.05121583634247191,0.017071945447490636,"(np.str_('O94804'), '0')","('R-HSA-6798695', '1')"
0,1,O94804,R-HSA-6798695,1,0.09833834755670232,0.03277944918556744,"(np.str_('O94804'), '0')","('R-HSA-6798695', '1')"
0,1,O94804,R-HSA-9012999,0,0.05121583634247191,0.017071945447490636,"(np.str_('O94804'), '0')","('R-HSA-9012999', '1')"
0,1,O94804,R-HSA-9012999,1,0.09833834755670232,0.03277944918556744,"(np.str_('O94804'), '0')","('R-HSA-9012999', '1')"
0,1,O94813,R-HSA-373752,0,0.02529944848263254,0.008433149494210847,"(np.str_('O94813'), '0')","('R-HSA-373752', '1')"
0,1,O94813,R-HSA-373752,1,0.004919185987091623,0.0016397286623638745,"(np.str_('O94813'), '0')","('R-HSA-373752', '1')"
0,1,O94813,R-HSA-376176,0,0.02529944848263254,0.008433149494210847,"(np.str_('O94813'), '0')","('R-HSA-376176', '1')"
0,1,O94813,R-HSA-376176,1,0.004919185987091623,0.0016397286623638745,"(np.str_('O94813'), '0')","('R-HSA-376176', '1')"
0,1,O94813,R-HSA-9830674,0,0.02529944848263254,0.008433149494210847,"(np.str_('O94813'), '0')","('R-HSA-9830674', '1')"
0,1,O94813,R-HSA-9830674,1,0.004919185987091623,0.0016397286623638745,"(np.str_('O94813'), '0')","('R-HSA-9830674', '1')"
0,1,O94830,R-HSA-1483206,0,0.0021919135813219235,0.0009440057967980504,"(np.str_('O94830'), '0')","('R-HSA-1483206', '1')"
0,1,O94830,R-HSA-1483206,1,0.01555776528458899,0.006700364804080509,"(np.str_('O94830'), '0')","('R-HSA-1483206', '1')"
0,1,O95352,R-HSA-6798695,0,0.016031379229016006,0.004634107852471706,"(np.str_('O95352'), '0')","('R-HSA-6798695', '1')"
0,1,O95352,R-HSA-6798695,1,0.029085902195686523,0.008407711266495197,"(np.str_('O95352'), '0')","('R-HSA-6798695', '1')"
0,1,O95352,R-HSA-6802952,0,0.016031379229016006,0.004634107852471706,"(np.str_('O95352'), '0')","('R-HSA-6802952', '1')"
0,1,O95352,R-HSA-6802952,1,0.029085902195686523,0.008407711266495197,"(np.str_('O95352'), '0')","('R-HSA-6802952', '1')"
0,1,O95352,R-HSA-983168,0,0.016031379229016006,0.004634107852471706,"(np.str_('O95352'), '0')","('R-HSA-983168', '1')"
0,1,O95352,R-HSA-983168,1,0.029085902195686523,0.008407711266495197,"(np.str_('O95352'), '0')","('R-HSA-983168', '1')"
0,1,O95696,R-HSA-3214847,0,0.06050907967176336,0.02016969322392112,"(np.str_('O95696'), '0')","('R-HSA-3214847', '1')"
0,1,O95696,R-HSA-3214847,1,0.02712136334948576,0.009040454449828586,"(np.str_('O95696'), '0')","('R-HSA-3214847', '1')"
0,1,O95696,R-HSA-3700989,0,0.06050907967176336,0.02016969322392112,"(np.str_('O95696'), '0')","('R-HSA-3700989', '1')"
0,1,O95696,R-HSA-3700989,1,0.02712136334948576,0.009040454449828586,"(np.str_('O95696'), '0')","('R-HSA-3700989', '1')"
0,1,P00325,R-HSA-71384,0,0.0021502449824952353,0.0009260601080756313,"(np.str_('P00325'), '0')","('R-HSA-71384', '1')"
0,1,P00325,R-HSA-71384,1,0.015262009683423318,0.00657298979973955,"(np.str_('P00325'), '0')","('R-HSA-71384', '1')"
0,1,P00492,R-HSA-74217,0,0.07982629002668919,0.02307497266216625,"(np.str_('P00492'), '0')","('R-HSA-74217', '1')"
0,1,P00492,R-HSA-74217,1,0.13194092582815733,0.03813948080873762,"(np.str_('P00492'), '0')","('R-HSA-74217', '1')"
0,1,P00492,R-HSA-9734207,0,0.07982629002668919,0.02307497266216625,"(np.str_('P00492'), '0')","('R-HSA-9734207', '1')"
