"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.23324.6","HSPB3__seq.23324.6__ANML",0.0285012825772354,0.0500011494048688,0.0159391134747788,1.78813474302283,0.0739931625370368,0.0255713542962239,0.0224950207659832,1267,-0.00276867747047749,0.0597712426249483,0.457800482337987,"Q12988","HSPB3","HSPB3","HSPB3__seq.23324.6","HSPB3"
"seq.23325.18","CP045__seq.23325.18__ANML",-0.019203160260231,-0.0344705981085668,0.0155437550721177,-1.23542607118646,0.216901542984155,0.032422200064919,0.0293602450018333,1264,-0.0496975603361619,0.0112912398156999,0.663317923590773,"Q96MC5","BMERB1","BMERB1","BMERB1__seq.23325.18","BMERB1"
"seq.23326.10","GSTA2__seq.23326.10__ANML",-0.0983059957300594,-0.066006354477857,0.0407701540283521,-2.41122453600975,0.0160398311167389,0.061843640083832,0.0588980942128237,1274,-0.178290016909039,-0.0183219745510795,0.248994552039409,"P09210","GSTA2","GSTA2","GSTA2__seq.23326.10","GSTA2"
"seq.23327.1","BORC5__seq.23327.1__ANML",0.0178565565037327,0.036341942414449,0.0137906595339438,1.29482976936536,0.195615240109032,0.0220169522096289,0.0189245156948769,1265,-0.00919852565363725,0.0449116386611026,0.639455617112049,"Q969J3","BORCS5","BORCS5","BORCS5__seq.23327.1","BORCS5"
"seq.23329.52","RAB4B__seq.23329.52__ANML",0.00578967070615022,0.00336005458604391,0.0211849075505589,0.273292233743899,0.784672879999379,0.810758175813396,0.810164009960377,1274,-0.0357714696569763,0.0473508110692768,0.945163955767603,"P61018","RAB4B","RAB4B","RAB4B__seq.23329.52","RAB4B"
"seq.2333.72","TGF.b1__seq.2333.72__ANML",-0.0196263951798136,-0.0331425207484901,0.0129117801248113,-1.52003790260488,0.128750162773739,0.40615408707,0.404285177823957,1271,-0.0449571411032126,0.00570435074358537,0.553033570640735,"P01137","TGFB1","TGFB1","TGFB1__seq.2333.72","TGFB1_3"
"seq.23330.12","CV013__seq.23330.12__ANML",-0.00421480067383438,-0.0106926862311014,0.00951105335390812,-0.443147621719786,0.657734495713429,0.273150276185437,0.270859181705328,1269,-0.0228739193674229,0.0144443180197541,0.90313310695195,"Q96NT3","GUCD1","GUCD1","GUCD1__seq.23330.12","GUCD1"
"seq.23334.21","LCE3C__seq.23334.21__ANML",0.0168512880173818,0.0296316412861602,0.0160752479274721,1.04827546632009,0.294711789001701,0.00538720976203344,0.00224467329998601,1266,-0.014685769605177,0.0483883456399407,0.719254734632293,"Q5T5A8","LCE3C","LCE3C","LCE3C__seq.23334.21","LCE3C"
"seq.23335.31","F229A__seq.23335.31__ANML",0.00842014056896806,0.0186594461736535,0.0123085183419612,0.684090508299673,0.494043212581117,0.0741447009363523,0.0712194077323596,1266,-0.0157271978702341,0.0325674790081702,0.83384608889265,"H3BQW9",NA,"FAM229A","FAM229A__seq.23335.31","FAM229A"
"seq.23336.2","KCNRG__seq.23336.2__ANML",0.0226138928458716,0.0225569344649071,0.022828821512642,0.99058520534442,0.322078049782041,0.356138583977656,0.354097818792166,1262,-0.0221727285756686,0.0674005142674117,0.739780914500723,"Q8N5I3","KCNRG","KCNRG","KCNRG__seq.23336.2","KCNRG"
"seq.23337.54","BACD3__seq.23337.54__ANML",0.00384905489818331,0.0030371953025568,0.0171286066290424,0.224715003475942,0.822237083951337,0.771564618017226,0.770846267759419,1272,-0.0297543718347129,0.0374524816310795,0.954429119914833,"Q9H3F6","KCTD10","KCTD10","KCTD10__seq.23337.54","KCTD10"
"seq.23339.46","TCF24__seq.23339.46__ANML",0.0154090510900192,0.0242216105050953,0.0179280948271148,0.859491833271334,0.390232326257717,0.0146520531433136,0.0115313945626117,1263,-0.0197630748602601,0.0505811770402985,0.78013751433842,"Q7RTU0","TCF24","TCF24","TCF24__seq.23339.46","TCF24"
"seq.23340.37","MTNA__seq.23340.37__ANML",-0.00975985835678691,-0.0117636449142361,0.0193805018363312,-0.50359162209571,0.614636200967155,0.322555947268103,0.320410439579324,1263,-0.0477813803389283,0.0282616636253544,0.886404758219137,"Q9BV20","MRI1","MRI1","MRI1__seq.23340.37","MRI1"
"seq.23341.16","DMC1__seq.23341.16__ANML",-0.0140220936740375,-0.028832424872958,0.0103698902400872,-1.35219306563456,0.176554864256632,0.43358919883546,0.431801003725233,1267,-0.0343661394090652,0.00632195206099016,0.615708749638314,"Q14565","DMC1","DMC1","DMC1__seq.23341.16","DMC1"
"seq.23342.4","ARRD5__seq.23342.4__ANML",-0.00875280198213335,-0.0138632507327162,0.0178486692664002,-0.490389611208177,0.623943406241314,0.00775178778516476,0.00460927563246538,1263,-0.0437691073696555,0.0262635034053888,0.889758919181565,"A6NEK1","ARRDC5","ARRDC5","ARRDC5__seq.23342.4","ARRDC5"
"seq.23343.6","ROGDI__seq.23343.6__ANML",-0.0518361513929466,-0.0609348719739029,0.0238683875557447,-2.17174919218498,0.0300600370226648,0.0214574840807588,0.0183608305493688,1264,-0.0986621696823025,-0.00501013310359074,0.327164282360432,"Q9GZN7","ROGDI","ROGDI","ROGDI__seq.23343.6","ROGDI"
"seq.23345.2","NECA1__seq.23345.2__ANML",-0.0186547562387718,-0.0392416290463008,0.0134342227164876,-1.38859959615506,0.16519859854416,0.0063474046066362,0.00321037983822792,1267,-0.0450105261679696,0.00770101369042589,0.607117175957402,"Q8N987","NECAB1","NECAB1","NECAB1__seq.23345.2","NECAB1"
"seq.23349.5","PCY1A__seq.23349.5__ANML",-0.00468857002468224,-0.0070658435506456,0.018763704571046,-0.249874432147962,0.802725059035272,0.00619983249293816,0.00305489525399183,1264,-0.0415000040341154,0.032122863984751,0.949634955354329,"P49585","PCYT1A","PCYT1A","PCYT1A__seq.23349.5","PCYT1A"
"seq.23350.66","F118B__seq.23350.66__ANML",-0.0113282471023108,-0.00641698284327768,0.0179247375315977,-0.631989566505026,0.527507084896067,0.870931286883229,0.870526047595578,1274,-0.0464934953218282,0.0238370011172067,0.850626231758685,"Q9BPY3","FAM118B","FAM118B","FAM118B__seq.23350.66","FAM118B"
