"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label","Gender"
"seq.10046.55",0.799776028052438,0.793272225468202,0.0370717391603724,21.5737390844439,6.70239156289311e-56,0.707893665663849,0.703855329244455,217,0.726709250182794,0.872842805922082,-98.675400540089,"cIAP.1__seq.10046.55__ANML",9.83017429224323e-55,"Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1","female"
"seq.10833.64",0.149437359034222,0.214073423824165,0.0439851700810754,3.39744870279625,0.000809044500095239,0.142237580041959,0.130379113406594,217,0.0627445109331579,0.236130207135287,-23.0944605192766,"HHIP__seq.10833.64__ANML",0.00148430563570011,"Q96QV1","HHIP","HHIP","HHIP__seq.10833.64","HHIP","female"
"seq.12500.88",0.607269588150994,0.367037820206631,0.0764728281813759,7.94098508702582,1.07065321629424e-13,0.538448470566311,0.53206757384603,217,0.456544985627763,0.757994190674225,221.368206506836,"SAE2__seq.12500.88__ANML",9.42174830338928e-13,"Q9UBT2","UBA2","UBA2","UBA2__seq.12500.88","UBA2","female"
"seq.12501.10",-0.30015186186597,-0.261570368345224,0.0730528624313667,-4.10869405901737,5.64035330816034e-05,0.124377725163474,0.112272348092001,217,-0.444135861346633,-0.156167862385307,201.145747990868,"TBCA__seq.12501.10__ANML",0.000124087772779527,"O75347","TBCA","TBCA","TBCA__seq.12501.10","TBCA","female"
"seq.12587.65",-0.593723926829701,-0.419850798174901,0.0858463466513198,-6.91612339941751,5.12515768861298e-11,0.20381897943095,0.192811868547507,217,-0.762923324639378,-0.424524529020023,272.473811561865,"ARL2__seq.12587.65__ANML",2.81883672873714e-10,"P36404","ARL2","ARL2","ARL2__seq.12587.65","ARL2","female"
"seq.12650.43",0.130764464684504,0.174876012067157,0.0407337131204092,3.21022697582131,0.00152838543366915,0.361794821566265,0.352930860754686,216,0.0504780117616909,0.211050917607317,-56.9016144958597,"GNAI3__seq.12650.43__ANML",0.00240174853862295,"P08754","GNAI3","GNAI3","GNAI3__seq.12650.43","GNAI3","female"
"seq.13507.51",-0.179388433569875,-0.163408887392246,0.0737433001440435,-2.43260653129808,0.0158044773540643,0.029786650963575,0.0163114655602913,216,-0.324737029164053,-0.0340398379756968,204.196797458126,"TRADD__seq.13507.51__ANML",0.0182999211468113,"Q15628","TRADD","TRADD","TRADD__seq.13507.51","TRADD","female"
"seq.14318.1",1.02235616882699,0.823806340366983,0.0449946465498008,22.7217290771566,3.51027921890322e-59,0.716819493867303,0.712886431282127,216,0.933671384277137,1.11104095337685,-18.8129290956064,"VPS29__seq.14318.1__ANML",7.72261428158709e-58,"Q9UBQ0","VPS29","VPS29","VPS29__seq.14318.1","VPS29","female"
"seq.14341.8",-0.106535333514384,-0.241591943407893,0.0289785634919347,-3.67634971084869,0.000298562194026909,0.071157670698473,0.0582570827915074,216,-0.163652298684944,-0.0494183683438252,-206.701522211241,"FA69C__seq.14341.8__ANML",0.000597124388053818,"Q0P6D2","DIPK1C","DIPK1C","DIPK1C__seq.14341.8","DIPK1C","female"
"seq.15548.35",0.299191909894508,0.451035931473128,0.0394890086510066,7.57658700775923,1.01422683911763e-12,0.234363950989132,0.223779120818475,217,0.221360799492226,0.37702302029679,-70.7553922599372,"SERA__seq.15548.35__ANML",6.37514013159651e-12,"O43175","PHGDH","PHGDH","PHGDH__seq.15548.35","PHGDH_1","female"
"seq.17467.1",0.126418081826299,0.135547295918657,0.0319834909224032,3.95260423988764,0.000104741715051162,0.747163754649582,0.743652140130826,216,0.0633783822374549,0.189457781415143,-163.384038059421,"DHRS9__seq.17467.1__ANML",0.000219458831535768,"Q9BPW9","DHRS9","DHRS9","DHRS9__seq.17467.1","DHRS9","female"
"seq.17671.58",0.434918379001041,0.500190246950424,0.0498330724517498,8.72750479959158,7.13055997901073e-16,0.293487395195901,0.283674720129177,216,0.336697020845702,0.53313973715638,31.8419686156794,"ING4__seq.17671.58__ANML",7.8436159769118e-15,"Q9UNL4","ING4","ING4","ING4__seq.17671.58","ING4","female"
"seq.19158.1",0.4761461528385,0.352950826375649,0.0838574572377545,5.67804186440473,4.36329588066672e-08,0.169129243093536,0.157589371469835,216,0.31086247803959,0.64142982763741,260.770823874112,"PAF__seq.19158.1__ANML",1.74531835226669e-07,"Q15004","PCLAF","PCLAF","PCLAF__seq.19158.1","PCLAF","female"
