apt_name,coef_x2m,coef_x2y,coef_m2y,acme,acme_p,ade,ade_p,total,total_p,prop_m,prop_m_p,prop_m_ci_lower,prop_m_ci_upper,p_adjusted,ade_p_adjusted,prop_m_p_adjusted,Protein_id,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.21802.53,-0.537517769790832,-0.0828185269163681,-0.0199158822526462,0.0023641155191991,0.34,-0.0828185269163697,0.002,-0.0804544113971706,0.002,-0.0293845356412893,0.342,-0.103183390852142,0.0245692310493519,0.740777777777778,0.0020344827586206,0.740777777777778,NEIL1__seq.21802.53__ANML,Q96FI4,NEIL1,NEIL1,NEIL1__seq.21802.53,NEIL1
seq.21823.5,-0.542672827916626,-0.184220057720564,0.0052079463370561,-0.0005254864772525,0.872,-0.184220057720563,0.0,-0.184745544197816,0.0,0.0028443797090437,0.872,-0.0243588198425947,0.0305767039704955,0.962964285714286,0.0,0.962964285714286,PPM1G__seq.21823.5__ANML,O15355,PPM1G,PPM1G,PPM1G__seq.21823.5,PPM1G
seq.21861.8,-0.5382656936498,-0.0822541561391401,0.0054214950568979,-0.0005470337354708,0.77,-0.0822541561391397,0.0,-0.0828011898746105,0.0,0.0066065926866419,0.77,-0.0460755134645946,0.0687779507107089,0.962964285714286,0.0,0.962964285714286,PSB10__seq.21861.8__ANML,P40306,PSMB10,PSMB10,PSMB10__seq.21861.8,PSMB10
seq.21940.12,-0.5162914738341,-0.141218899266097,0.0747255574354763,-0.0073233758648196,0.196,-0.141218899266097,0.0,-0.148542275130916,0.0,0.0493016271520363,0.196,-0.0149147102059765,0.133159191076972,0.73632,0.0,0.73632,WN10B__seq.21940.12__ANML,O00744,WNT10B,WNT10B,WNT10B__seq.21940.12,WNT10B
seq.22055.31,-0.505833161619949,0.20083121252715,0.0257413854086866,-0.0020481391645247,0.442,0.20083121252715,0.0,0.198783073362625,0.0,-0.0103033881601604,0.442,-0.0536370910039358,0.0193653448862739,0.740777777777778,0.0,0.740777777777778,FOXO1A__seq.22055.31__ANML,Q12778,FOXO1,FOXO1,FOXO1__seq.22055.31,FOXO1
seq.22088.3,-0.605744385112973,-0.0908245692333638,0.0359591612274372,-0.002591651259635,0.124,-0.090824569233364,0.0,-0.0934162204929991,0.0,0.0277430541072823,0.124,-0.0078705472205503,0.126457071493992,0.73632,0.0,0.73632,BTG1__seq.22088.3__ANML,P62324,BTG1,BTG1,BTG1__seq.22088.3,BTG1
seq.22472.4,-0.52590576661966,-0.324686533469523,0.004903373710168,-0.0005841564347852,0.904,-0.324686533469523,0.0,-0.325270689904308,0.0,0.0017959086167804,0.904,-0.0473681114857881,0.0621794656405833,0.962964285714286,0.0,0.962964285714286,HTF4__seq.22472.4__ANML,Q99081,TCF12,TCF12,TCF12__seq.22472.4,TCF12
seq.22821.50,-0.537517769790832,1.55579401378335,0.0090338772350724,-0.0007311591287378,0.814,1.55579401378336,0.0,1.55506285465462,0.0,-0.0004701797914787,0.814,-0.0056398970984795,0.0039907989304999,0.962964285714286,0.0,0.962964285714286,UNG__seq.22821.50__ANML,P13051,UNG,UNG,UNG__seq.22821.50,UNG
seq.23245.5,-0.533056156421289,0.108615166513499,0.0121509980398224,-0.0005911296343697,0.532,0.108615166513499,0.0,0.108024036879129,0.0,-0.0054722046263757,0.532,-0.0676309366037961,0.025766295536245,0.848324324324324,0.0,0.848324324324324,SPC1L__seq.23245.5__ANML,Q9H0A9,SPATC1L,SPATC1L,SPATC1L__seq.23245.5,SPATC1L
seq.23356.32,-0.526308296218176,0.44946830554506,-0.0120714062743817,0.0015498550551195,0.896,0.44946830554506,0.0,0.45101816060018,0.0,0.0034363473370054,0.896,-0.0216721014042888,0.0284701415652513,0.962964285714286,0.0,0.962964285714286,CCD24__seq.23356.32__ANML,Q8N4L8,CCDC24,CCDC24,CCDC24__seq.23356.32,CCDC24
seq.23631.1,-0.541226698190147,-0.0941514959386907,0.0204527771752524,-0.0021374073444408,0.25,-0.0941514959386911,0.0,-0.096288903283132,0.0,0.0221978574016562,0.25,-0.0123908437894578,0.0820570172475095,0.73632,0.0,0.73632,GALK2__seq.23631.1__ANML,Q01415,GALK2,GALK2,GALK2__seq.23631.1,GALK2
seq.24263.6,-0.615428644454713,0.0975730513420254,0.0020758663926786,-0.0002327372809151,0.88,0.0975730513420245,0.002,0.0973403140611094,0.002,-0.0023909649682145,0.878,-0.0761750101925302,0.0760391424512601,0.962964285714286,0.0020344827586206,0.962964285714286,OCLN__seq.24263.6__ANML,Q16625,OCLN,OCLN,OCLN__seq.24263.6,OCLN
seq.24488.8,-0.557776156436557,0.122114724351697,-0.0073173320544549,0.0008086182161626,0.726,0.122114724351697,0.0,0.122923342567859,0.0,0.0065782315976012,0.726,-0.0323804202402353,0.0544837215484073,0.931173913043478,0.0,0.931173913043478,HID1__seq.24488.8__ANML,Q8IV36,HID1,HID1,HID1__seq.24488.8,HID1
seq.25033.194,-0.531710689919658,-0.271275700893289,0.0386054440789859,-0.004660477032959,0.632,-0.271275700893291,0.0,-0.27593617792625,0.0,0.0168896919134854,0.632,-0.027111964175847,0.105782497145028,0.900093023255814,0.0,0.900093023255814,TER_ATPase__seq.25033.194__ANML,P55072,VCP,VCP,VCP__seq.25033.194,VCP
seq.2743.5,-0.496115961223575,0.154342291959735,0.0718193476219751,-0.0054349776578792,0.174,0.154342291959736,0.0,0.148907314301857,0.0,-0.0364990644238047,0.174,-0.160408579859436,0.0107725044102531,0.73632,0.0,0.73632,Sonic_Hedgehog__seq.2743.5__ANML,Q15465,SHH,SHH,SHH__seq.2743.5,SHH
