apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.4179.57,X14.3.3_protein_gamma__seq.4179.57__ANML,-0.011678350250343,-0.016991209742157,0.0554050188978891,-0.210781450537289,0.833316334434017,0.0737114856856686,0.0234910240662168,166,-0.12106767945701,0.097710978956324,0.978668145732707,P61981,YWHAG,YWHAG,YWHAG__seq.4179.57,YWHAG_1
seq.4184.43,X4EBP2__seq.4184.43__ANML,0.0169037594077982,0.0197945790423201,0.0636423699211509,0.265605435949997,0.790876684894458,0.210407559937366,0.167076267494904,164,-0.108760300491089,0.142567819306686,0.970795823101247,Q13542,EIF4EBP2,EIF4EBP2,EIF4EBP2__seq.4184.43,EIF4EBP2_2
seq.4187.49,X6.Phosphogluconate_dehydrogenase__seq.4187.49__ANML,-0.262497506495359,-0.0870142490848404,0.0937282056656719,-2.80062447190855,0.0057060313184455,0.862395242444221,0.854934743540594,166,-0.447550517025114,-0.077444495965603,0.197790094831291,P52209,PGD,PGD,PGD__seq.4187.49,PGD
seq.4188.1,Aflatoxin_B1_aldehyde_reductase__seq.4188.1__ANML,-0.270161837026902,-0.107784672231537,0.0895580800159572,-3.01661041615414,0.0029587302503606,0.818013985910231,0.808147274302954,166,-0.446981527604714,-0.0933421464490906,0.197790094831291,O43488,AKR7A2,AKR7A2,AKR7A2__seq.4188.1,AKR7A2
seq.4192.10,AK1A1__seq.4192.10__ANML,-0.338712602440726,-0.173314185506947,0.0919749065288751,-3.68266318742481,0.0003119077674716,0.684276669939542,0.667159139996505,166,-0.520303973207732,-0.157121231673721,0.104894277953487,P14550,AKR1A1,AKR1A1,AKR1A1__seq.4192.10,AKR1A1
seq.4194.26,AN32B__seq.4194.26__ANML,0.026220029332956,0.0462882379972788,0.0454881057718723,0.576415062532,0.565120136675473,0.0775154799754111,0.0271981425195245,165,-0.0635937623294972,0.116033820995409,0.907104544810943,Q92688,ANP32B,ANP32B,ANP32B__seq.4194.26,ANP32B
seq.4203.50,Cofilin.1__seq.4203.50__ANML,-0.104833193595992,-0.0495066483390927,0.0621644183090548,-1.68638582082126,0.093600011295387,0.877149869820848,0.870489320594268,166,-0.227567995507759,0.0179016083157757,0.496632252211868,P23528,CFL1,CFL1,CFL1__seq.4203.50,CFL1
seq.4209.60,DRG.1__seq.4209.60__ANML,-0.238791146798001,-0.0912926371705762,0.0817640492936565,-2.92049071518437,0.0039809968704072,0.860709242374869,0.853157333828928,166,-0.400222632309049,-0.0773596612869528,0.197790094831291,Q9NP79,VTA1,VTA1,VTA1__seq.4209.60,VTA1
seq.4212.5,EP15R__seq.4212.5__ANML,0.0443425039790949,0.0217818157689644,0.0586341378903181,0.756257456399252,0.450566748626218,0.88174724256319,0.875335948485291,166,-0.0714222613800498,0.16010726933824,0.86134101397906,Q9UBC2,EPS15L1,EPS15L1,EPS15L1__seq.4212.5,EPS15L1
seq.4217.49,ERAB__seq.4217.49__ANML,-0.182806399753654,-0.050512789998549,0.110277888163504,-1.65768861553293,0.0992689338831981,0.867639238017747,0.860463052127143,166,-0.40053440440908,0.0349216049017715,0.503954134731079,Q99714,HSD17B10,HSD17B10,HSD17B10__seq.4217.49,HSD17B10
seq.4220.39,FER__seq.4220.39__ANML,-0.216059226953096,-0.072191513618836,0.112318516232298,-1.92362964006969,0.0561121602812384,0.79923323106455,0.788348285760821,166,-0.437816161478883,0.005697707572691,0.401509001226028,P16591,FER,FER,FER__seq.4220.39,FER
seq.4224.7,HNRPQ__seq.4224.7__ANML,0.129972159390204,0.104897867659909,0.0900624309288902,1.44313403546507,0.150867104809032,0.246848342523277,0.206014818925142,166,-0.0478433003281656,0.307787619108573,0.606618525562343,O60506,SYNCRIP,SYNCRIP,SYNCRIP__seq.4224.7,SYNCRIP
seq.4230.1,IF4G2__seq.4230.1__ANML,-0.287517299291032,-0.0874504113896769,0.104322168103328,-2.75605180105396,0.006504613614715,0.856480333505944,0.848699146768315,166,-0.493486581807476,-0.0815480167745882,0.198555707440945,P78344,EIF4G2,EIF4G2,EIF4G2__seq.4230.1,EIF4G2
seq.4232.19,IGF.I_sR__seq.4232.19__ANML,-0.0936874386128644,-0.122681353077561,0.0526282245222219,-1.78017479144305,0.0768877202146713,0.327020431490109,0.290312455025933,165,-0.197599006540286,0.0102241293145571,0.454648572860292,P08069,IGF1R,IGF1R,IGF1R__seq.4232.19,IGF1R
seq.4234.8,IL.1_R4__seq.4234.8__ANML,0.167611429852413,0.0939745626414387,0.136008242321931,1.23236229651198,0.219556391983085,0.171092106055249,0.12615131662451,166,-0.100917499297373,0.436140359002199,0.69425317743485,Q01638,IL1RL1,IL1RL1,IL1RL1__seq.4234.8,IL1RL1
seq.4237.70,LCMT1__seq.4237.70__ANML,0.0054965414879555,0.008500461485118,0.0344430200803508,0.15958361012283,0.873404272158742,0.59412073298087,0.571981863870736,165,-0.0625093289968771,0.0735024119727881,0.984110557136862,Q9UIC8,LCMT1,LCMT1,LCMT1__seq.4237.70,LCMT1
seq.4238.4,LIN7B__seq.4238.4__ANML,-0.0049721331655052,-0.0083408215336118,0.0458424577690383,-0.108461313103143,0.913761550709032,0.162246059369451,0.116550389880512,165,-0.0954855735802773,0.0855413072492668,0.989108410100184,Q9HAP6,LIN7B,LIN7B,LIN7B__seq.4238.4,LIN7B_3
seq.4240.31,M2.PK__seq.4240.31__ANML,-0.236329837612184,-0.0879647901499273,0.0858853913432295,-2.75168842938287,0.0065880044006489,0.854326122095407,0.84642814076323,166,-0.405898326795497,-0.0667613484288713,0.19939622938355,P14618,PKM,PKM,PKM__seq.4240.31,PKM
seq.4245.80,MDM2__seq.4245.80__ANML,0.0373624064255536,0.0482450635305763,0.0421431855800745,0.88655866687066,0.376606894717758,0.580290134102885,0.557396868690315,165,-0.0458470221811966,0.120571835032304,0.828064139161078,Q00987,MDM2,MDM2,MDM2__seq.4245.80,MDM2_2
seq.4246.40,NCAM.L1__seq.4246.40__ANML,0.131393173221492,0.109284860659448,0.0846084953643704,1.55295484993133,0.122338368415127,0.294064858163444,0.255791266136161,166,-0.0356542664725773,0.29844061291556,0.555502054503246,P32004,L1CAM,L1CAM,L1CAM__seq.4246.40,L1CAM
seq.4249.64,NDP_kinase_B__seq.4249.64__ANML,-0.229717932256991,-0.0929197459499567,0.0996775508733848,-2.3046105190605,0.0224269977949444,0.768269391153377,0.755705683444825,166,-0.426517078686276,-0.032918785827706,0.277641304377797,P22392,NME2,NME2,NME2__seq.4249.64,NME2
seq.4250.23,NSF1C__seq.4250.23__ANML,-0.0412676694403594,-0.0196038336658456,0.0665219835449546,-0.620361378918765,0.535875775117215,0.857149770255192,0.849357939541838,165,-0.172611709155772,0.0900763702750534,0.896919527232073,Q9UNZ2,NSFL1C,NSFL1C,NSFL1C__seq.4250.23,NSFL1C
seq.4254.6,NUDC3__seq.4254.6__ANML,-0.0495574253478498,-0.0569602741807365,0.055756568059253,-0.888817713729881,0.375394985560589,0.412500947962958,0.380455545124574,165,-0.15964573750139,0.0605308868056907,0.828064139161078,Q8IVD9,NUDCD3,NUDCD3,NUDCD3__seq.4254.6,NUDCD3
seq.4258.15,PA2G4__seq.4258.15__ANML,-0.221124456357355,-0.119719407185406,0.0710177721341806,-3.11364957970751,0.0021768827604251,0.789257512418135,0.777831714898636,166,-0.361338946128171,-0.0809099665865392,0.197790094831291,Q9UQ80,PA2G4,PA2G4,PA2G4__seq.4258.15,PA2G4
seq.4261.55,paraoxonase_1__seq.4261.55__ANML,0.0642519602433866,0.167366202518771,0.030942028745179,2.07652706849086,0.0393954439342998,0.0790080975646884,0.0287721756136715,165,0.0031586068012751,0.125345313685498,0.345366734135925,P27169,PON1,PON1,PON1__seq.4261.55,PON1
seq.4267.81,PESC__seq.4267.81__ANML,0.0017020994767801,0.0023320307934511,0.0589763918094105,0.028860691957567,0.97701057384264,0.0660072323961375,0.0150621723450178,165,-0.114743579609926,0.118147778563487,0.996712229441764,O00541,PES1,PES1,PES1__seq.4267.81,PES1
seq.4271.75,PFD5__seq.4271.75__ANML,0.0272614420035921,0.0437908679373984,0.0423048279619308,0.644404984417479,0.520213145374027,0.352709724500867,0.31718769718689,164,-0.0562709035329845,0.110793787540169,0.890846953071635,Q99471,PFDN5,PFDN5,PFDN5__seq.4271.75,PFDN5
seq.4272.46,PHI__seq.4272.46__ANML,-0.19395538296417,-0.109572819342981,0.0716906033260313,-2.70545056068379,0.0075331831235132,0.766176087353636,0.753498887270399,166,-0.335498282222248,-0.0524124837060924,0.20767372860501,P06744,GPI,GPI,GPI__seq.4272.46,GPI
seq.4276.10,prostatic_binding_protein__seq.4276.10__ANML,-0.0574376444011843,-0.0315177346194758,0.0709073800700598,-0.810037606021168,0.419078243597006,0.784194712731218,0.772494426072067,166,-0.197434180743157,0.0825588919407887,0.847572187880705,P30086,PEBP1,PEBP1,PEBP1__seq.4276.10,PEBP1
seq.4278.14,Protein_disulfide.isomerase__seq.4278.14__ANML,-0.0051659359982391,-0.0078118228993275,0.0503134943108859,-0.102674959650367,0.918345626494466,0.171935575768011,0.126768425355357,165,-0.104507194975046,0.0941753229785673,0.989466861277403,P07237,P4HB,P4HB,P4HB__seq.4278.14,P4HB_2
seq.4280.47,PSA2__seq.4280.47__ANML,-0.0056287744608411,-0.0099493352980906,0.0451455672311798,-0.12468055683114,0.900928219786219,0.0890823893651105,0.0393959742395711,165,-0.0947662423984858,0.0835086934768035,0.987566637835666,P25787,PSMA2,PSMA2,PSMA2__seq.4280.47,PSMA2
seq.4282.3,RAN__seq.4282.3__ANML,-0.351248702031718,-0.14340881754069,0.124506914136955,-2.8211180436562,0.005369709762141,0.631640692910108,0.611669405176318,166,-0.597069894587119,-0.105427509476317,0.197790094831291,P62826,RAN,RAN,RAN__seq.4282.3,RAN
seq.4284.18,RBM39__seq.4284.18__ANML,-0.0818366549517663,-0.0915090960312342,0.0727752046024272,-1.12451288043561,0.262428744322654,0.0526987893202555,0.0010278141922694,165,-0.225527339658108,0.0618540297545748,0.738820821420327,Q14498,RBM39,RBM39,RBM39__seq.4284.18,RBM39
