apt_name,coef_x2m,coef_x2y,coef_m2y,acme,acme_p,ade,ade_p,total,total_p,prop_m,prop_m_p,prop_m_ci_lower,prop_m_ci_upper,p_adjusted,ade_p_adjusted,prop_m_p_adjusted,Protein_id,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.23245.5,0.107424630623299,-0.575041256335579,0.356666479084853,0.0065632554580685,0.428,-0.0991281933335086,0.072,-0.09256493787544,0.082,-0.0709043360121995,0.462,-0.976003865552919,0.365419643069653,0.708,0.162952380952381,0.7788,SPC1L__seq.23245.5__ANML,Q9H0A9,SPATC1L,SPATC1L,SPATC1L__seq.23245.5,SPATC1L
seq.23356.32,0.450638684693008,-0.507167264670438,-0.0487265348314616,-0.0037628544283295,0.882,-0.0873379946182976,0.116,-0.0911008490466271,0.076,0.0413042739744788,0.91,-0.628700071631366,1.03064824728592,0.931357142857143,0.162952380952381,0.95875,CCD24__seq.23356.32__ANML,Q8N4L8,CCDC24,CCDC24,CCDC24__seq.23356.32,CCDC24
seq.23631.1,-0.0961936736046163,-0.482359147322565,0.638148729862199,-0.0105848569522153,0.314,-0.0835456565406671,0.122,-0.0941305134928824,0.068,0.112448732716365,0.358,-0.545848156843834,1.22829791423295,0.617533333333333,0.163590909090909,0.767,GALK2__seq.23631.1__ANML,Q01415,GALK2,GALK2,GALK2__seq.23631.1,GALK2
seq.24263.6,0.0973439390024093,-0.623016464826453,0.0580323547601201,0.0009544949537233,0.86,-0.10604384661849,0.042,-0.105089351664766,0.034,-0.0090826990423177,0.862,-0.384994652663073,0.280812580019163,0.931357142857143,0.162952380952381,0.95875,OCLN__seq.24263.6__ANML,Q16625,OCLN,OCLN,OCLN__seq.24263.6,OCLN
seq.24488.8,0.122863437820763,-0.545081177570122,-0.117245245863902,-0.0024665096035176,0.756,-0.093866867770453,0.074,-0.0963333773739707,0.068,0.0256038942135554,0.768,-0.476354248552935,0.555767465618712,0.927142857142857,0.162952380952381,0.944,HID1__seq.24488.8__ANML,Q8IV36,HID1,HID1,HID1__seq.24488.8,HID1
seq.25033.194,-0.275051932150002,-0.488175028300617,0.158975139033548,-0.0074884866021006,0.494,-0.0839803128676671,0.114,-0.0914687994697678,0.078,0.0818693001931852,0.512,-0.353862168629847,1.14929814899374,0.767,0.162952380952381,0.816432432432432,TER_ATPase__seq.25033.194__ANML,P55072,VCP,VCP,VCP__seq.25033.194,VCP
seq.2743.5,0.147642265827862,-0.581528241623306,0.590897334248228,0.014842112989564,0.052,-0.0995439977383361,0.058,-0.0847018847487721,0.114,-0.175227659143431,0.162,-1.74769015480023,1.04430565969796,0.375454545454545,0.162952380952381,0.72688,Sonic_Hedgehog__seq.2743.5__ANML,Q15465,SHH,SHH,SHH__seq.2743.5,SHH
seq.2797.56,-0.178843716430147,-0.401813297838084,0.775012521930281,-0.0233117330016895,0.002,-0.0677500324979278,0.198,-0.0910617654996173,0.082,0.255999132828009,0.084,-0.900324773548716,1.87261599058654,0.059,0.225272727272727,0.72688,Apo_B__seq.2797.56__ANML,P04114,APOB,APOB,APOB__seq.2797.56,APOB
seq.5714.88,0.0684824387458331,-0.533931004981903,-0.132082650028468,-0.0015666135779119,0.866,-0.0929926268853837,0.058,-0.0945592404632957,0.056,0.0165675355495275,0.866,-0.391228045862846,0.454652508106058,0.931357142857143,0.162952380952381,0.95875,IFNA6__seq.5714.88__ANML,P05013,IFNA6,IFNA6,IFNA6__seq.5714.88,IFNA6
seq.5744.12,0.214290591799562,-0.5977969093774,0.339554532259635,0.0124470818565003,0.204,-0.102949601328605,0.048,-0.090502519472105,0.082,-0.137532987248347,0.27,-1.19000886103985,0.813147876388066,0.609666666666667,0.162952380952381,0.72688,CA056__seq.5744.12__ANML,Q9BUN1,MENT,MENT,MENT__seq.5744.12,MENT
seq.5918.5,0.124891113324159,-0.500353227571452,-0.359526476254199,-0.0077188399716729,0.432,-0.0864273600364357,0.134,-0.0941462000081087,0.082,0.0819878016426385,0.482,-0.287154106577793,1.04530065060283,0.708,0.171869565217391,0.789944444444444,PSME1__seq.5918.5__ANML,Q06323,PSME1,PSME1,PSME1__seq.5918.5,PSME1
seq.5963.9,0.117618544616983,-0.609287236176928,0.660546119306555,0.0133012878527817,0.236,-0.105057995675559,0.064,-0.0917567078227777,0.088,-0.144962566425904,0.308,-1.27755739775924,0.525611367989663,0.609666666666667,0.162952380952381,0.72688,Dermokine__seq.5963.9__ANML,Q6E0U4,DMKN,DMKN,DMKN__seq.5963.9,DMKN_1
seq.6378.2,-0.246619900942268,-0.513398610107515,0.095137100609302,-0.0040266888171936,0.706,-0.0885566368744805,0.092,-0.0925833256916742,0.064,0.0434925920743389,0.742,-0.530168099869184,0.825882655905353,0.903829787234043,0.162952380952381,0.931446808510638,CEI__seq.6378.2__ANML,Q86SI9,C5orf38,C5orf38,C5orf38__seq.6378.2,C5orf38
seq.7223.60,-0.66808423052551,-0.197119758690801,0.535883617362007,-0.0612558234643894,0.004,-0.0336703680234237,0.538,-0.0949261914878131,0.056,0.645299495369027,0.06,-0.94420839930862,5.45699375339338,0.059,0.538,0.72688,S100A13__seq.7223.60__ANML,Q99584,S100A13,S100A13,S100A13__seq.7223.60,S100A13
seq.7965.25,-0.334034057455113,-0.514325278170372,0.0714418480792028,-0.0041008162157633,0.69,-0.0888344201482985,0.104,-0.0929352363640618,0.076,0.0441255262933742,0.706,-0.693990234917716,0.921162690208228,0.903829787234043,0.162952380952381,0.931446808510638,HBAT__seq.7965.25__ANML,P09105,HBQ1,HBQ1,HBQ1__seq.7965.25,HBQ1_2
seq.8980.19,0.127959241944294,-0.605820990433584,0.446774354274868,0.0097870545320526,0.308,-0.104437166429434,0.046,-0.0946501118973817,0.066,-0.103402461295172,0.362,-1.00447095637052,0.404889870510909,0.617533333333333,0.162952380952381,0.767,MO2R2__seq.8980.19__ANML,Q6Q8B3,CD200R1L,CD200R1L,CD200R1L__seq.8980.19,CD200R1L
seq.9207.60,-0.258941864077018,-0.547006077772486,-0.0367285446740296,0.0016347187551296,0.884,-0.0945675754038066,0.078,-0.0929328566486769,0.07,-0.01759032073349,0.894,-0.771557197711454,0.455400896674233,0.931357142857143,0.162952380952381,0.95875,QORL1__seq.9207.60__ANML,O95825,CRYZL1,CRYZL1,CRYZL1__seq.9207.60,CRYZL1
