"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"DNAJB6__Inflammation_II_o2csf__NPX",0.0176388144929773,0.0124931686173644,0.0494862086183908,0.356438995539094,0.721897197907519,0.763800671314429,0.758955556879853,195,-0.0799580866261283,0.115235715612083,0.999902558348704,"DNAJB6","O75190","DNAJB6"
"DNAJC6__Cardiometabolic_II_o2csf__NPX",0.0544669248563129,0.0316387604134038,0.0714436751411049,0.762375742131657,0.446752264440337,0.667375793052841,0.66058754393147,196,-0.0864300919164918,0.195363941629117,0.999902558348704,"DNAJC6",NA,"DNAJC6"
"DNER__Inflammation_o2csf__NPX",0.0125796540642854,0.0411430194293218,0.020875305377492,0.602609343279306,0.547468742466146,0.10403443683123,0.0856556560482807,195,-0.0285907077726702,0.053750015901241,0.999902558348704,"DNER","Q8NFT8","DNER"
"DNM1__Oncology_II_o2csf__NPX",0.0551423102924874,0.0432130278182233,0.073218914483601,0.753115648892032,0.45228406623136,0.364143490738685,0.351166827284373,196,-0.08925572916597,0.199540349750945,0.999902558348704,"DNM1","Q05193","DNM1"
"DNMBP__Neurology_o2csf__NPX",0.0500609006439365,0.0406245436762617,0.059655899060876,0.839160945221054,0.402406561148336,0.550098521376781,0.540869773097331,195,-0.0675927051659843,0.167714506453857,0.999902558348704,"DNMBP",NA,"DNMBP"
"DNPEP__Neurology_II_o2csf__NPX",-0.036530753450566,-0.0262996803552953,0.0775110934779962,-0.471297098407421,0.63795543382095,0.401438312976585,0.389160124524823,195,-0.189398446026117,0.116336939124985,0.999902558348704,"DNPEP","Q9ULA0","DNPEP"
"DNPH1__Inflammation_o2csf__NPX",0.0281739108720875,0.0159796358762364,0.0843859868338197,0.333869543145476,0.738834938141319,0.557581557054638,0.548552609239427,196,-0.138247172293518,0.194594994037694,0.999902558348704,"DNPH1","O43598","DNPH1"
"DOC2B__Neurology_II_o2csf__NPX",-0.170148835494202,-0.160284485133317,0.0662077886092269,-2.56992174287015,0.0109146653422018,0.248729654850053,0.23339760698985,196,-0.300719944605545,-0.0395777263828597,0.999902558348704,"DOC2B","Q14184","DOC2B"
"DPP10__Inflammation_o2csf__NPX",0.155312375025664,0.1015144372987,0.077139486140237,2.01339654691647,0.0454406802175776,0.509035540317679,0.499015857467019,196,0.00318241459067486,0.307442335460653,0.999902558348704,"DPP10","Q8N608","DPP10"
"DPP4__Cardiometabolic_o2csf__NPX",-0.0795623391190227,-0.0670981275507832,0.0624552289271211,-1.27390997496565,0.204203836822472,0.464207788723963,0.453273253799962,196,-0.202732870594538,0.0436081923564923,0.999902558348704,"DPP4","P27487","DPP4"
"DPP6__Oncology_o2csf__NPX",0.0714245859491194,0.0680733934697854,0.0517255106547089,1.38083868182396,0.168901044121358,0.530622807168244,0.521043680783923,196,-0.0305854258245511,0.17343459772279,0.999902558348704,"DPP6","P42658","DPP6"
"DPP7__Cardiometabolic_o2csf__NPX",0.121495632058868,0.101825061706343,0.0813417949683947,1.49364336139957,0.136885165761212,0.107832304177453,0.0895314283657088,195,-0.0389269855152474,0.281918249632983,0.999902558348704,"DPP7","Q9UHL4","DPP7"
"DPT__Cardiometabolic_o2csf__NPX",-0.0712599486145803,-0.0366742202700484,0.110270496816516,-0.646228598508567,0.518887259103558,0.377982645516964,0.365288413792821,196,-0.288728940919583,0.146209043690423,0.999902558348704,"DPT","Q07507","DPT"
"DRAXIN__Neurology_o2csf__NPX",0.0880500515277856,0.0482937915054594,0.0810962154453805,1.0857479728766,0.278924076950083,0.617899485829767,0.610101516152823,196,-0.0718831378728352,0.247983240928406,0.999902558348704,"DRAXIN","Q8NBI3","DRAXIN"
"DSC2__Neurology_o2csf__NPX",-0.0561314387913436,-0.0359992537510705,0.0676431686462553,-0.829816815425766,0.407662299048157,0.640506577642411,0.633094342129884,194,-0.189541864113331,0.0772789865306435,0.999902558348704,"DSC2","Q02487","DSC2"
"DSCAM__Neurology_II_o2csf__NPX",0.0226244641884683,0.0160243610127922,0.0634241067121074,0.356717112172578,0.721689291499166,0.612168722828809,0.604213209450939,195,-0.102460816017232,0.147709744394169,0.999902558348704,"DSCAM","O60469","DSCAM"
"DSG2__Neurology_o2csf__NPX",-0.0413396027688696,-0.0316293273591068,0.0683690001105818,-0.604654195644311,0.546115326382925,0.477322042480202,0.466545177376701,194,-0.176181561922074,0.0935023563843352,0.999902558348704,"DSG2","Q14126","DSG2"
"DSG3__Oncology_o2csf__NPX",-0.130244481771515,-0.065315228767694,0.122373575198513,-1.06431867795178,0.288507281695046,0.28143766769153,0.266621949499603,194,-0.371597910981541,0.111108947438511,0.999902558348704,"DSG3","P32926","DSG3"
"DTD1__Inflammation_II_o2csf__NPX",-0.0120803243071082,-0.0074954076734312,0.0686623715070558,-0.175938058094407,0.860525178668632,0.65104067535753,0.643882535364864,195,-0.147496531563022,0.123335882948806,0.999902558348704,"DTD1","Q8TEA8","DTD1"
"DTNB__Oncology_II_o2csf__NPX",0.0565524558412067,0.0310754827136347,0.0841484280745863,0.672055998373262,0.502343524899849,0.589520672744469,0.581100583980253,195,-0.109405414915363,0.222510326597777,0.999902558348704,"DTNB",NA,"DTNB"
"DTX3__Oncology_o2csf__NPX",0.0299383018023876,0.0195723844941464,0.0505190997458307,0.592613525439125,0.554122911587793,0.789332554230543,0.785033218602595,196,-0.0696924972876216,0.129569100892397,0.999902558348704,"DTX3",NA,"DTX3"
"DUT__Oncology_II_o2csf__NPX",-0.0542335762187328,-0.0356677084019902,0.099632279981441,-0.544337399774803,0.586828041137113,0.170785024274579,0.153862269667938,196,-0.250722502578306,0.142255350140841,0.999902558348704,"DUT","P33316","DUT"
"ECE1__Neurology_o2csf__NPX",0.0483758066227893,0.0296262909902544,0.115056212849986,0.420453667164095,0.674619419266474,0.0524723950554279,0.0329357434070863,194,-0.178545826403098,0.275297439648676,0.999902558348704,"ECE1","P42892","ECE1"
"ECHDC3__Cardiometabolic_II_o2csf__NPX",-0.25619582729988,-0.166427778963558,0.105909041453019,-2.419017524708,0.0164808100268093,0.0913373625802549,0.0726981289921577,195,-0.465070067919482,-0.0473215866802775,0.999902558348704,"ECHDC3",NA,"ECHDC3"
"ECM1__Inflammation_II_o2csf__NPX",-0.0649230800051183,-0.0321070345785754,0.0818525570340089,-0.793171067070556,0.428637271460118,0.683539336218905,0.677080955325413,196,-0.22634788183033,0.0965017218200938,0.999902558348704,"ECM1","Q16610","ECM1"
"EDA2R__Oncology_o2csf__NPX",0.00521091143544308,0.0028681638652927,0.0875236730794185,0.0595371657987289,0.952584923556887,0.551786763888986,0.542639554988761,196,-0.16739813211575,0.177819954986637,0.999902558348704,"EDA2R","Q9HAV5","EDA2R"
"EDAR__Inflammation_o2csf__NPX",-0.00231360152285181,-0.0018040366355922,0.0696142298415569,-0.0332346063170935,0.973521321622532,0.430933920862255,0.419320327410465,196,-0.139602693807642,0.134975490761938,0.999902558348704,"EDAR","Q9UNE0","EDAR"
"EDIL3__Cardiometabolic_o2csf__NPX",-0.0134372547251954,-0.00859745440100022,0.103233121754793,-0.130164180805387,0.896570023662671,0.157422506925293,0.140227047882952,196,-0.217027549578679,0.190153040128288,0.999902558348704,"EDIL3","O43854","EDIL3"
"EDN1__Cardiometabolic_II_o2csf__NPX",0.0218647381422307,0.0161404685771142,0.0661710131775936,0.330427737044752,0.741429718487208,0.539178900360286,0.529774388122741,196,-0.108633844624444,0.152363320908905,0.999902558348704,"EDN1","P05305","EDN1"
"EDNRB__Inflammation_II_o2csf__NPX",-0.0678104139980016,-0.0562219311191538,0.0694111091108141,-0.976938920393031,0.329803633428959,0.360368616035054,0.347314914321484,196,-0.20469892351672,0.0690780955207164,0.999902558348704,"EDNRB",NA,"EDNRB"
"EFCAB14__Oncology_II_o2csf__NPX",0.0162761086030318,0.00738110499184638,0.0813307047326827,0.200122557114536,0.841592218959502,0.737273579035113,0.731911815341952,196,-0.144119526787116,0.176671743993179,0.999902558348704,"EFCAB14","O75071","EFCAB14"
"EFEMP1__Cardiometabolic_o2csf__NPX",0.00937944528521142,0.00498482691016426,0.0632271873680292,0.148345129297245,0.882223689657877,0.78290118112829,0.778447872023229,195,-0.115317469792325,0.134076360362748,0.999902558348704,"EFEMP1","Q12805","EFEMP1"
"EFHD1__Neurology_II_o2csf__NPX",0.101350814574228,0.0576506388679637,0.0828171399018918,1.22379032521882,0.222500447924297,0.571404814181795,0.562657973654893,196,-0.0619762808864447,0.264677910034901,0.999902558348704,"EFHD1","Q9BUP0","EFHD1"
"EFNA4__Neurology_o2csf__NPX",-0.0355242585120233,-0.02043041260781,0.0493106802683724,-0.720417125026124,0.472126503024273,0.844675741038257,0.841505858202303,196,-0.132771883737478,0.061723366713431,0.999902558348704,"EFNA4","P52798","EFNA4"
"EFNB2__Neurology_II_o2csf__NPX",-0.119785836355992,-0.0569256942290415,0.103302613196196,-1.15956249943542,0.24763761743158,0.534541014312137,0.525041851338915,196,-0.32351317814562,0.0839415054336362,0.999902558348704,"EFNB2","P52799","EFNB2"
"EGF__Inflammation_o2csf__NPX",-0.189985127399411,-0.107216251409477,0.116484641373759,-1.63098864501642,0.10450674627745,0.169250842636563,0.15220983428039,195,-0.419716609027289,0.0397463542284678,0.999902558348704,"EGF","P01133","EGF"
"EGFL7__Oncology_o2csf__NPX",-0.0111515323025035,-0.00642444761822666,0.0913240856626017,-0.122109432813847,0.902938099622808,0.468606684879708,0.457706309184933,195,-0.191261264024673,0.168958199419666,0.999902558348704,"EGFL7",NA,"EGFL7"
"EGFLAM__Oncology_II_o2csf__NPX",0.0220266656531355,0.010047300517119,0.110245965964364,0.199795661097072,0.841847530237012,0.511595394762588,0.501627953839375,196,-0.195393948347138,0.239447279653409,0.999902558348704,"EGFLAM","Q63HQ2","EGFLAM"
"EGFR__Cardiometabolic_o2csf__NPX",0.0660392776139913,0.0519709866276596,0.060072157616512,1.09933253996922,0.272971518059642,0.568364826417773,0.559555945324258,196,-0.0524315006957113,0.184510055923694,0.999902558348704,"EGFR","P00533","EGFR"
"EGLN1__Inflammation_o2csf__NPX",0.0889116981657225,0.0713526774951375,0.0640088390715563,1.38905344098378,0.166400771599406,0.492830231724329,0.482426749298162,195,-0.0373267935681905,0.215150189899635,0.999902558348704,"EGLN1","Q9GZT9","EGLN1"
"EHBP1__Cardiometabolic_II_o2csf__NPX",-0.0977423271018348,-0.0773726400849621,0.0604095649954292,-1.61799422176323,0.107271975613968,0.558354336856324,0.549341160057473,196,-0.216878520411993,0.0213938662083233,0.999902558348704,"EHBP1","Q8NDI1","EHBP1"
"EIF4EBP1__Cardiometabolic_o2csf__NPX",0.133018954256477,0.069130601695197,0.0947621824415783,1.40371349444684,0.1619946915719,0.533866621214167,0.524304910880098,195,-0.053871405861843,0.319909314374797,0.999902558348704,"EIF4EBP1","Q13541","EIF4EBP1"
"ELAVL4__Neurology_II_o2csf__NPX",-0.0323493101303832,-0.017900044372459,0.0765488572278914,-0.422596904798683,0.673052629162307,0.653495673042799,0.646424156166122,196,-0.18331446694063,0.118615846679864,0.999902558348704,"ELAVL4",NA,"ELAVL4"
"ELN__Cardiometabolic_II_o2csf__NPX",0.0181608866048777,0.00675541808727844,0.139276193479627,0.13039476561753,0.896387838675349,0.481633151067745,0.471054235783414,196,-0.256511435752472,0.292833208962228,0.999902558348704,"ELN",NA,"ELN"
"ENDOU__Oncology_II_o2csf__NPX",-0.0703755247860746,-0.0554024807154006,0.0686917833009331,-1.02451154132606,0.306856505142418,0.435221984667001,0.42369590272143,196,-0.205845422223321,0.0650943726511718,0.999902558348704,"ENDOU","P21128","ENDOU"
"ENG__Cardiometabolic_o2csf__NPX",0.0432885998498907,0.0319307533281312,0.0489157680265065,0.884962080661464,0.377261437327356,0.748567116538422,0.743435833202471,196,-0.0531802026644407,0.139757402364222,0.999902558348704,"ENG","P17813","ENG"
"ENO1__Neurology_o2csf__NPX",-0.0106343745528706,-0.00621021239708597,0.0722583727177013,-0.147171520100749,0.883148689882488,0.657779962420692,0.650760064213937,195,-0.153142629964786,0.131873880859045,0.999902558348704,"ENO1","P06733","ENO1"
"ENO2__Neurology_o2csf__NPX",0.0439765299663529,0.0383858499668866,0.0568870402649261,0.77305006134177,0.440428800115625,0.526121327371118,0.516400739214628,195,-0.0682163213088054,0.156169381241511,0.999902558348704,"ENO2","P09104","ENO2"
"ENPP2__Cardiometabolic_o2csf__NPX",-0.00697915931842964,-0.0177587023852879,0.0246419952796074,-0.283222167654795,0.777305450784699,0.240686634959874,0.225190443836606,196,-0.0555766539933448,0.0416183353564855,0.999902558348704,"ENPP2","Q13822","ENPP2"
