"coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","symbol","label"
-0.184313865877058,-0.0947080920197116,0.110994386580334,-1.66056925539796,0.0976517361243437,0.0220967435195717,0.00881001449130514,368,-0.402576698117083,0.0339489663629661,1039.83893436135,"PSMB10__TPM",0.170890538217602,"PSMB10","PSMB10"
-0.269554505702173,-0.131016827308947,0.116532834667829,-2.31312064509993,0.0212652506245817,0.030436087931017,0.0172983655452585,369,-0.498706266421918,-0.0404027449824282,1080.83537415218,"MORF4L2__TPM",0.0818843626780583,"MORF4L2","MORF4L2"
-0.168281697291496,-0.0803517150961643,0.117819132473683,-1.42830535039871,0.154049834633943,0.043539517276056,0.0305793481334552,369,-0.399962851618301,0.063399457035309,1089.06857188619,"HSPA1L__TPM",0.247121609725283,"HSPA1L","HSPA1L"
0.329692493009159,0.162874469672962,0.110996715317911,2.97029053575927,0.00316986593166442,0.0912864131649282,0.0789732209313907,369,0.111427033135046,0.547957952883272,1044.33102405674,"RASSF2__TPM",0.0754305480787197,"RASSF2","RASSF2"
-0.37459490154011,-0.181458483950189,0.114766766297264,-3.2639666832631,0.00120126435261772,0.0659245082159723,0.0532676587338039,369,-0.600273841249192,-0.148915961831029,1069.38202954156,"WNT10B__TPM",0.0754305480787197,"WNT10B","WNT10B"
-0.291293421772381,-0.142675659553128,0.11481636287055,-2.53703753097283,0.0115906220399803,0.044204791343837,0.031253636755,369,-0.51706988886185,-0.0655169546829115,1069.70607278184,"MAD2L1BP__TPM",0.0805460444965732,"MAD2L1BP","MAD2L1BP"
-0.133860542397916,-0.0665187978099996,0.115127015452835,-1.16272051239576,0.245694314378177,0.0108618101319622,-0.00254114637031466,369,-0.360247880976144,0.092526796180312,1071.73256800134,"MCAM__TPM",0.320651901815587,"MCAM","MCAM"
0.142031962561518,0.0706326966430812,0.114378856762801,1.24176763591949,0.215111009805522,0.0222006228945695,0.00895130884165041,369,-0.0828841865308639,0.3669481116539,1066.84274971702,"HES5__TPM",0.301155413727731,"HES5","HES5"
0.150336729271929,0.0741171006407247,0.11404051813685,1.31827469506516,0.188229408294784,0.044691003268295,0.0317464369169169,369,-0.0739141061165758,0.374587564660435,1064.6209228238,"FOXO1__TPM",0.284189498798007,"FOXO1","FOXO1"
-0.254121556492541,-0.124996778409488,0.114636604686028,-2.21675752861435,0.027248780356663,0.0390957576616887,0.0260753749741778,369,-0.479544544628165,-0.0286985683569165,1068.53094162177,"ATG7__TPM",0.0823890942804756,"ATG7","ATG7"
