"coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","symbol","label"
-0.0035661201199243,-0.00171056056920676,0.107809622979159,-0.0330779388831893,0.973630320044925,0.0147691383643614,0.00408912902413772,369,-0.215564438007117,0.208432197767268,1040.63093622222,"PSMB10__TPM",0.987750074209289,"PSMB10","PSMB10"
-0.044380529608716,-0.0201281810850958,0.113757484646178,-0.390132831670406,0.696662819451348,0.0163773399501963,0.00574358146317155,370,-0.26807281470367,0.179311755486238,1084.23385642442,"MORF4L2__TPM",0.987750074209289,"MORF4L2","MORF4L2"
0.0284095579850482,0.0126576858245004,0.114503474304045,0.248110881855089,0.804186257004549,0.0382516226610247,0.027854342906009,370,-0.196749638335524,0.253568754305621,1089.13608970971,"HSPA1L__TPM",0.987750074209289,"HSPA1L","HSPA1L"
0.257591539325641,0.118742754240448,0.108854541618455,2.36638302358135,0.0184773042603553,0.0695594755043783,0.0595006590233446,370,0.0435403827504764,0.471642695900805,1051.19159819844,"RASSF2__TPM",0.441622117894352,"RASSF2","RASSF2"
-0.0643204705755889,-0.0290734249917981,0.112824204984164,-0.57009460500623,0.568959532873578,0.0389566134248436,0.0285669551915988,370,-0.286177558093189,0.157536616942011,1078.05538978708,"WNT10B__TPM",0.987750074209289,"WNT10B","WNT10B"
0.0106542976060066,0.00486940170103888,0.112244355642886,0.0949205645574198,0.924429306298836,0.0275326160949704,0.0170194551878891,370,-0.210062576372549,0.231371171584562,1074.19089652397,"MAD2L1BP__TPM",0.987750074209289,"MAD2L1BP","MAD2L1BP"
0.0110264113274613,0.00511278544483869,0.111783316635906,0.0986409390891113,0.921476780849899,0.00723786784859286,-0.00349469574223304,370,-0.208783877301479,0.230836699956401,1071.10395873753,"MCAM__TPM",0.987750074209289,"MCAM","MCAM"
-0.117123552080151,-0.0543494935953091,0.111085381172183,-1.05435612538979,0.292407907755841,0.0181145692555615,0.00749959162589209,370,-0.335561423068048,0.101314318907747,1066.40654439358,"HES5__TPM",0.987750074209289,"HES5","HES5"
0.189672383792028,0.087254733131351,0.110786052896269,1.71206012700553,0.0877234959638315,0.0401918650749883,0.0298155609136369,370,-0.0281768892127044,0.40752165679676,1064.38288286113,"FOXO1__TPM",0.844338648651878,"FOXO1","FOXO1"
-0.085895417433878,-0.0394238356314453,0.111841151813688,-0.768012632568092,0.442969547656178,0.0262992892538353,0.0157727950836066,370,-0.305819432936414,0.134028598068657,1071.49189825599,"ATG7__TPM",0.987750074209289,"ATG7","ATG7"
0.0310634346934572,0.014063110818525,0.113122976780431,0.274598808991304,0.783777738044378,0.0308076829329734,0.0203299281538705,370,-0.191381156547847,0.253508025934761,1080.03885314388,"PHB2__TPM",0.987750074209289,"PHB2","PHB2"
0.128127248157767,0.0573558511530746,0.113666645974768,1.12721939720302,0.260380209096236,0.0432840505209344,0.0329411753914312,370,-0.0953864121192601,0.351640908434793,1083.63472029058,"BCDIN3D__TPM",0.987750074209289,"BCDIN3D","BCDIN3D"
0.00405255663044556,0.00187189833999969,0.111419137566082,0.0363721773384039,0.971005213710713,0.0212531401819332,0.0106720930487649,370,-0.215041611660865,0.223146724921756,1068.65654349096,"RNGTT__TPM",0.987750074209289,"RNGTT","RNGTT"
-0.0227642483088991,-0.0104737597810471,0.11248664645925,-0.202372895143121,0.839736445458279,0.0102056015355141,-0.000494878447885538,370,-0.243957562027121,0.198429065409322,1075.80810270363,"DCUN1D5__TPM",0.987750074209289,"DCUN1D5","DCUN1D5"
0.201203213732773,0.0916706695385586,0.112910985217736,1.78196313976693,0.0755752571558314,0.0220698469687966,0.0114976290981891,370,-0.0208245181060251,0.423230945571572,1078.63204049295,"TCF12__TPM",0.831327828714146,"TCF12","TCF12"
0.058456029859523,0.026816965892897,0.112648024838409,0.518926363275139,0.604122322367304,0.0131474388354655,0.00247876249855161,370,-0.163054617689622,0.279966677408668,1076.88331519224,"PPIL1__TPM",0.987750074209289,"PPIL1","PPIL1"
-0.122662896724449,-0.0562276203503109,0.112277579712692,-1.09249680157279,0.27532561815711,0.0211784498517686,0.0105965952555717,370,-0.343445102387492,0.0981193089385934,1074.41286194126,"DMKN__TPM",0.987750074209289,"DMKN","DMKN"
