"Protein_id","coef","OddsRatio","se","z","p","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label","standardized_beta"
"A1BG__Inflammation_II_o2csf__NPX",0.221195716623584,1.24756757638533,0.562172428501579,0.393465964193872,0.693975357631533,0.413537876218327,3.78869674688347,0.872386299242664,"A1BG","P04217","A1BG",0.221195716623584
"ABCA2__Cardiometabolic_II_o2csf__NPX",-0.707627503836416,0.492812006196388,0.468597669837355,-1.51009607897117,0.131018909878913,0.193140718208271,1.2390819560546,0.76336765755597,"ABCA2",NA,"ABCA2",-0.707627503836416
"ABHD14B__Neurology_o2csf__NPX",-0.463956195087161,0.628791098003065,0.45735885464065,-1.01442486655625,0.310380063786556,0.254073606048564,1.57933819056365,0.76336765755597,"ABHD14B","Q96IU4","ABHD14B",-0.463956195087161
"ABL1__Oncology_o2csf__NPX",-1.78316740421268,0.168104847124938,0.700842274070819,-2.54432055568682,0.010949055280256,0.0417447742945769,0.669132963211477,0.76336765755597,"ABL1","P00519","ABL1",-1.78316740421268
"ACAN__Cardiometabolic_o2csf__NPX",-1.01692382597413,0.361705900840001,0.450724398917591,-2.25619875120198,0.0240581867376945,0.144053918930211,0.860017449719638,0.76336765755597,"ACAN","P16112","ACAN",-1.01692382597413
"ACE__Inflammation_II_o2csf__NPX",-0.562511893783591,0.569776047897613,0.552631070942788,-1.01787960062388,0.308735177152136,0.185668178879558,1.66831642629467,0.76336765755597,"ACE","P12821","ACE",-0.562511893783591
"ACHE__Inflammation_II_o2csf__NPX",-0.222322237420283,0.800657321011632,0.764455137246257,-0.290824440295003,0.771185592215508,0.199035301704233,4.22824517574846,0.906012803016699,"ACHE","P22303","ACHE",-0.222322237420283
"ACP5__Cardiometabolic_o2csf__NPX",-0.62772965198083,0.533802343403629,0.667474900179994,-0.940454317924994,0.346984571426259,0.139214603217989,1.91094986564609,0.771772103589065,"ACP5","P13686","ACP5",-0.62772965198083
"ACP6__Oncology_o2csf__NPX",-0.460258765316452,0.631120312328018,0.35353548511844,-1.30187430877627,0.192959356229951,0.317933090252181,1.29401473249627,0.76336765755597,"ACP6","Q9NPH0","ACP6",-0.460258765316452
"ACTA2__Cardiometabolic_o2csf__NPX",-0.52874414958836,0.589344633828369,0.45828927427103,-1.15373450628841,0.248609032446258,0.238500573279267,1.46187854631835,0.76336765755597,"ACTA2",NA,"ACTA2",-0.52874414958836
"ACVRL1__Neurology_o2csf__NPX",-0.582802887295439,0.558331231824021,0.588870493903918,-0.989696195222393,0.322322635265044,0.170625257354216,1.75164240086557,0.76336765755597,"ACVRL1","P37023","ACVRL1",-0.582802887295439
"ACY1__Cardiometabolic_o2csf__NPX",0.0645085302076812,1.06663467682116,0.526477767313988,0.122528498281692,0.902480477663344,0.348093761432967,2.83948744779481,0.972331426989587,"ACY1","Q03154","ACY1",0.0645085302076812
"ACY3__Cardiometabolic_II_o2csf__NPX",-0.0421556041841941,0.958720588030323,0.361445954248231,-0.116630449694404,0.90715290702158,0.468679968564861,1.96343769638778,0.974548557512386,"ACY3","Q96HD9","ACY3",-0.0421556041841941
"ACYP1__Inflammation_II_o2csf__NPX",-0.809855019202963,0.444922566775508,0.499821044081505,-1.62028995936174,0.105170004742231,0.164796323269443,1.19829736595964,0.76336765755597,"ACYP1","P07311","ACYP1",-0.809855019202963
"ADA__Inflammation_o2csf__NPX",-0.287691556808399,0.749992886766269,0.467775505728426,-0.615020567099601,0.538541137921419,0.294488958282011,1.8822928116245,0.812419909295926,"ADA","P00813","ADA",-0.287691556808399
