"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.6521.35","seq_6521_35",-0.0828226468946038,-0.0828226468946038,0.0248076447984252,-3.33859371043,0.000877150493646854,0.0711061685804484,0.0648156911667721,886,-0.131511249172725,-0.0341340446164824,0.0549374407486332,"P47972","NPTX2","NPTX2","NPTX2__seq.6521.35","NPTX2"
"seq.6525.17","seq_6525_17",-0.0153066316880355,-0.0153066316880355,0.0291654768322553,-0.524820210417657,0.599840064668663,0.045965313985708,0.0394752821080597,882,-0.0725484667218553,0.0419352033457843,0.883508870018442,"Q6B8I1","DUSP13","DUSP13","DUSP13__seq.6525.17","DUSP13"
"seq.6526.77","seq_6526_77",0.0129346805648356,0.0129346805648356,0.0198108899538052,0.652907597538353,0.513986574335378,0.101120519934199,0.0949848238245348,879,-0.0259474889076272,0.0518168500372984,0.845922101006705,"Q9NY56","OBP2A","OBP2A","OBP2A__seq.6526.77","OBP2A"
"seq.6527.1","seq_6527_1",-0.0304675854792352,-0.0304675854792352,0.0204048788886416,-1.49315198808629,0.135753411705807,0.127031596672721,0.121119846763055,886,-0.070515120858546,0.00957994990007557,0.561177894419072,"Q7L0X0","TRIL","TRIL","TRIL__seq.6527.1","TRIL_2"
"seq.6528.95","seq_6528_95",-0.00858496456682045,-0.00858496456682045,0.0166981377275177,-0.514127066557419,0.607291648884136,0.201250946432113,0.195829572765363,884,-0.0413575840281993,0.0241876548945584,0.886292728905407,"Q9UBQ6","EXTL2","EXTL2","EXTL2__seq.6528.95","EXTL2"
"seq.6530.63","seq_6530_63",0.0014307299703499,0.0014307299703499,0.0115701446650843,0.123657051122919,0.901615024124164,0.197256620377547,0.191789582604862,881,-0.0212775339488493,0.0241389938895491,0.976383756845599,"Q99935","OPRPN","OPRPN","OPRPN__seq.6530.63","OPRPN"
"seq.6531.29","seq_6531_29",-0.0123978143846802,-0.0123978143846802,0.0165787337056839,-0.747814314698214,0.454771500722754,0.299979050614302,0.295217003339569,882,-0.0449361865604044,0.020140557791044,0.818157615097709,"Q96A26","FAM162A","FAM162A","FAM162A__seq.6531.29","FAM162A"
"seq.6533.20","seq_6533_20",-0.0192718011557897,-0.0192718011557897,0.0210590076236106,-0.915133395658346,0.360372862979244,0.0878679146894736,0.0816346658149142,878,-0.060603674238192,0.0220600719266125,0.766628550441031,"Q8WZ79","DNASE2B","DNASE2B","DNASE2B__seq.6533.20","DNASE2B"
"seq.6536.54","seq_6536_54",0.00173403828045768,0.00173403828045768,0.0117497385196349,0.147581010212265,0.882707095632323,0.10780055688312,0.101744904554273,884,-0.0213265997115337,0.0247946762724491,0.972813877325303,"Q8NHP8","PLBD2","PLBD2","PLBD2__seq.6536.54","PLBD2"
"seq.6538.90","seq_6538_90",-0.0131971839243461,-0.0131971839243461,0.0158067290300184,-0.834909227537428,0.403994394981192,0.0845600127000805,0.0783466191211218,884,-0.0442202790672397,0.0178259112185475,0.794752200826651,"Q8IYS2","KIAA2013","KIAA2013","KIAA2013__seq.6538.90","KIAA2013"
"seq.6543.182","seq_6543_182",-0.0290917437034594,-0.0290917437034594,0.0190058244549531,-1.53067517657082,0.126207851161753,0.385734999286245,0.381561058171542,883,-0.0663936051257599,0.00821011771884109,0.552346803512593,"P81277","PRLH","PRLH","PRLH__seq.6543.182","PRLH"
"seq.6544.33","seq_6544_33",0.00775422428882426,0.00775422428882426,0.0305158705038366,0.254104640005251,0.799473677430957,0.0884761688418947,0.0823033212268286,886,-0.0521375991472431,0.0676460477248916,0.951039474213671,"Q92832","NELL1","NELL1","NELL1__seq.6544.33","NELL1"
"seq.6545.58","seq_6545_58",-0.0311110608227464,-0.0311110608227464,0.0133587917921591,-2.32888282913481,0.0200906298067987,0.211531515961514,0.20616169654695,881,-0.0573298314983999,-0.0048922901470928,0.295677248772785,"P04156","PRNP","PRNP","PRNP__seq.6545.58","PRNP"
"seq.6546.41","seq_6546_41",-0.000593301283004193,-0.000593301283004193,0.016204926466609,-0.0366124020511119,0.970802320559419,0.314247392217725,0.30959296275314,884,-0.0323979190886541,0.0312113165226457,0.993416978831372,"Q9UBU2","DKK2","DKK2","DKK2__seq.6546.41","DKK2_2"
"seq.6547.83","seq_6547_83",-0.00934834516420649,-0.00934834516420649,0.0136465516341843,-0.685033509915363,0.493503578661427,0.197366606036715,0.191881639790953,878,-0.0361320165621016,0.0174353262336886,0.837991621826606,"O60235","TMPRSS11D","TMPRSS11D","TMPRSS11D__seq.6547.83","TMPRSS11D"
"seq.6549.60","seq_6549_60",0.0185721984383001,0.0185721984383001,0.0202118973179936,0.918874569077007,0.358412398653226,0.140249748668977,0.13440110750346,882,-0.0210968287012652,0.0582412255778654,0.766617854969161,"Q96N03","VSTM2L","VSTM2L","VSTM2L__seq.6549.60","VSTM2L"
"seq.6550.4","seq_6550_4",0.00785415199175095,0.00785415199175095,0.031122003710052,0.252366527069533,0.80081623719778,0.0481751858135026,0.041736686506717,887,-0.0532272016081223,0.0689355055916242,0.951704125283169,"Q14773","ICAM4","ICAM4","ICAM4__seq.6550.4","ICAM4_1"
"seq.6551.94","seq_6551_94",0.00169149938235032,0.00169149938235032,0.033468295900273,0.0505403498101775,0.959703356961934,0.083521209901534,0.0772223866018882,873,-0.0639962253026156,0.0673792240673163,0.991092515234779,"Q8IW75","SERPINA12","SERPINA12","SERPINA12__seq.6551.94","SERPINA12"
"seq.6553.68","seq_6553_68",0.0357281623173948,0.0357281623173948,0.0242690698334565,1.47216859000262,0.141332080587493,0.0687096079370677,0.0623742991475239,882,-0.0119037039408174,0.0833600285756071,0.567532272388134,"Q9UL16","CFAP45","CFAP45","CFAP45__seq.6553.68","CFAP45"
"seq.6555.58","seq_6555_58",-0.00991570343221666,-0.00991570343221666,0.0171685477517241,-0.577550505471313,0.563714366702189,0.114757165806836,0.108762293340517,886,-0.0436114693934294,0.0237800625289961,0.868766482213972,"Q9UJZ1","STOML2","STOML2","STOML2__seq.6555.58","STOML2"
"seq.6556.5","seq_6556_5",0.0162873382607627,0.0162873382607627,0.0249638352441095,0.652437339915783,0.514288124277103,0.283075400694569,0.278225854363303,887,-0.0327077348701467,0.065282411391672,0.845922101006705,"Q9UJA9","ENPP5","ENPP5","ENPP5__seq.6556.5","ENPP5"
"seq.6557.50","seq_6557_50",0.00531453429495378,0.00531453429495378,0.0312544189338712,0.170041052633178,0.865016626084678,0.0757876818795119,0.0695359638313463,887,-0.0560267029931117,0.0666557715830193,0.970379753776852,"Q8TF66","LRRC15","LRRC15","LRRC15__seq.6557.50","LRRC15"
"seq.6558.5","seq_6558_5",-0.0360732154875191,-0.0360732154875191,0.0133736079920376,-2.69734356719565,0.00712259184288915,0.286373333297139,0.281529713387391,884,-0.0623209427910511,-0.00982548818398699,0.191309523945713,"Q9Y6Z7","COLEC10","COLEC10","COLEC10__seq.6558.5","COLEC10"
"seq.6561.77","seq_6561_77",0.0231082960037695,0.0231082960037695,0.0230233679624228,1.00368877574668,0.315802681548655,0.103062567359031,0.0969884989664288,886,-0.0220784041015306,0.0682949961090695,0.730356360343478,"P01602","IGKV1-5","IGKV1-5","IGKV1-5__seq.6561.77","IGKV1-5"
"seq.6563.78","seq_6563_78",0.00619698073075019,0.00619698073075019,0.0188088346612679,0.329471806326807,0.741877414752031,0.0791049594778524,0.072833256591209,881,-0.0307183728680322,0.0431123343295326,0.936343895784572,"P0DMV8","HSPA1A","HSPA1A","HSPA1A__seq.6563.78","HSPA1A_8"
"seq.6565.68","seq_6565_68",0.0150465324180141,0.0150465324180141,0.0246307890941281,0.610883084602478,0.54143455251729,0.0860323564239207,0.0798078321770916,881,-0.0332953401754623,0.0633884050114904,0.858613847293885,"Q9H5V8","CDCP1","CDCP1","CDCP1__seq.6565.68","CDCP1_2"
"seq.6568.18","seq_6568_18",-5.05054062644298e-05,-5.05054062644298e-05,0.0163202838756394,-0.00309464018207534,0.997531539689675,0.135866751556978,0.129974933953958,880,-0.0320817291782155,0.0319807183656866,0.999456612030545,"A8MVW5","HEPACAM2","HEPACAM2","HEPACAM2__seq.6568.18","HEPACAM2_1"
"seq.6570.1","seq_6570_1",-0.0195677611742753,-0.0195677611742753,0.0167051526143905,-1.17136081459195,0.241768689452595,0.195994726724303,0.190549995754039,886,-0.0523540469440962,0.0132185245955455,0.676984995016051,"Q5TAT6","COL13A1","COL13A1","COL13A1__seq.6570.1","COL13A1"
"seq.6571.75","seq_6571_75",0.00496738636079658,0.00496738636079658,0.0144801582481078,0.343047795174869,0.731644156645966,0.215311761048566,0.209979791134966,883,-0.023452157217758,0.0333869299393512,0.932227331782458,"Q8N4C9","C17orf78","C17orf78","C17orf78__seq.6571.75","C17orf78_1"
