"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.22383.21",-0.0223990019485254,-0.0152309198348321,0.0187072657683698,-1.19734237091973,0.231398700291284,0.835184006483028,0.834397920663392,1258,-0.059099879684806,0.0143018757877552,545.596530637216,"MITF__seq.22383.21__ANML",0.48660232315598,"O75030","MITF","MITF","MITF__seq.22383.21","MITF"
"seq.22385.2",-0.0242449468718788,-0.0369569293120625,0.0175488616651727,-1.3815680660356,0.167351244192611,0.274333980288818,0.270850783394204,1250,-0.058673419956239,0.0101835262124814,375.728152015072,"MUM1__seq.22385.2__ANML",0.408700574570289,"Q2TAK8","PWWP3A","PWWP3A","PWWP3A__seq.22385.2","PWWP3A"
"seq.22386.11",-0.0299670927998089,-0.0511728644585672,0.0183567073122541,-1.63248736769934,0.102829322820942,0.0123716048908695,0.00761958374359228,1247,-0.0659805328325277,0.0060463472329099,476.624052527727,"OTX1__seq.22386.11__ANML",0.308022868729671,"P32242","OTX1","OTX1","OTX1__seq.22386.11","OTX1"
"seq.22387.26",0.0340236323317395,0.0694358204919663,0.0153296529629373,2.21946526865279,0.0266335963025071,0.0101016449094326,0.0053615091308663,1253,0.00394901382990137,0.0640982508335776,32.7357424094263,"PITX3__seq.22387.26__ANML",0.132803387449531,"O75364","PITX3","PITX3","PITX3__seq.22387.26","PITX3"
"seq.22391.34",0.00641993352343252,0.0101555874326672,0.0196715315823435,0.32635656743651,0.74420926934371,0.0217846556481337,0.017085462640839,1249,-0.0321729583731093,0.0450128254199743,657.15602715912,"SP30L__seq.22391.34__ANML",0.878864966158206,"Q9HAJ7","SAP30L","SAP30L","SAP30L__seq.22391.34","SAP30L"
"seq.22392.5",0.00978244476562831,0.00961008496510038,0.0315747888268208,0.309818216656408,0.756750962834028,0.0275460734712396,0.0228670650035793,1247,-0.0521631288395782,0.0717280183708349,1844.56381169352,"SRTD3__seq.22392.5__ANML",0.886969489282507,"Q9UJW9","SERTAD3","SERTAD3","SERTAD3__seq.22392.5","SERTAD3"
"seq.22393.130",-0.0227908665731061,-0.0437288924836718,0.0158885587705869,-1.434420006382,0.151702361835453,0.0568170225918301,0.0522933632277621,1251,-0.0539620276787798,0.00838029453256764,127.122231467759,"TAP26__seq.22393.130__ANML",0.388864076696437,"Q9P031","CCDC59","CCDC59","CCDC59__seq.22393.130","CCDC59"
"seq.22394.8",-0.0500655506485365,-0.0535961166294543,0.02900356505549,-1.7261860930803,0.0845612352634991,0.0250994745352459,0.0204162053977052,1249,-0.106966633622956,0.00683553232588297,1634.54185469577,"TCF21__seq.22394.8__ANML",0.273668857794132,"O43680","TCF21","TCF21","TCF21__seq.22394.8","TCF21"
"seq.22395.7",-0.0525269885966845,-0.0513100467859778,0.0316611454190907,-1.65903626989478,0.0973601488178192,0.034786101882887,0.0301382018919538,1246,-0.114642030885077,0.00958805369170801,1847.59478225137,"Tristetraproline__seq.22395.7__ANML",0.297138116521916,"P26651","ZFP36","ZFP36","ZFP36__seq.22395.7","ZFP36"
"seq.22397.2",-0.0375192479098319,-0.0620731331990434,0.0182587282146208,-2.05486644353401,0.0400997034987967,0.0787255587378289,0.0742963546932992,1248,-0.0733404379824889,-0.001698057837175,469.806980845679,"XBP1__seq.22397.2__ANML",0.172651501175375,"P17861","XBP1","XBP1","XBP1__seq.22397.2","XBP1"
"seq.22398.5",0.0201670321191609,0.0328193799309557,0.0191782431899686,1.05155784705606,0.293206676333397,0.0196712315153171,0.0149429577123363,1244,-0.0174582411668517,0.0577923054051734,586.596197168738,"AN32C__seq.22398.5__ANML",0.551940733097881,"O43423","ANP32C","ANP32C","ANP32C__seq.22398.5","ANP32C"
"seq.22401.26",0.00720690510605795,0.0126973606594562,0.0177261108001056,0.406570013429851,0.684393367684106,0.0142247406004415,0.00949680170643885,1251,-0.0275692796634499,0.0419830898755658,397.57990814886,"GUC1B__seq.22401.26__ANML",0.846630273998762,"Q9UMX6","GUCA1B","GUCA1B","GUCA1B__seq.22401.26","GUCA1B"
"seq.22402.12",-0.130788141766732,-0.0850845355433612,0.0469525003420489,-2.78554157529292,0.00542411002713506,0.0501231779254525,0.0455891596816598,1257,-0.22290204638548,-0.0386742371479842,2870.69434743009,"H2A1A__seq.22402.12__ANML",0.0500819284507971,"Q96QV6","H2AC1","H2AC1","H2AC1__seq.22402.12","H2AC1"
"seq.22403.13",-0.129083424480085,-0.0841445352332414,0.046932744291542,-2.7503915747656,0.00603780562592279,0.0470983272420452,0.0425498705701693,1257,-0.221158570631472,-0.0370082783286984,2869.63042526397,"H2B1K__seq.22403.13__ANML",0.0537325371308145,"O60814","H2BC12","H2BC12","H2BC12__seq.22403.13","H2BC12"
"seq.22404.4",0.00115717111056616,0.000687426268819295,0.0196359221587668,0.0589313351932149,0.953016151634462,0.861374531623548,0.86071388602366,1259,-0.0373655631078318,0.0396799053289641,668.905003308337,"IP6K1__seq.22404.4__ANML",0.979503761943715,"Q92551","IP6K1","IP6K1","IP6K1__seq.22404.4","IP6K1"
"seq.22405.61",-0.0225143078820208,-0.0129545384316932,0.0396388636561112,-0.567985704064192,0.570145952591682,0.470028618558681,0.467502940807571,1259,-0.100279813214396,0.0552511974503546,2447.5068599952,"PCKGM__seq.22405.61__ANML",0.78516318802087,"Q16822","PCK2","PCK2","PCK2__seq.22405.61","PCK2_2"
