"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label","Gender"
"seq.10082.251",-0.41209889818731,-0.588104719845045,0.0352475134739682,-11.691573605374,8.94875597759966e-26,0.341995638700223,0.334602331269888,267,-0.481497326435834,-0.342700469938786,84.0363730276835,"NFL__seq.10082.251__ANML",1.63314796591194e-24,"P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL","male"
"seq.11293.14",0.320762722830589,0.548481714202175,0.0298124532872492,10.7593534735291,1.18885341516605e-22,0.326197853325319,0.318598580994402,266,0.2620643180159,0.379461127645278,-8.03177048025598,"LRRN1_CD__seq.11293.14__ANML",1.73572598614243e-21,"Q6UXK5","LRRN1","LRRN1","LRRN1__seq.11293.14","LRRN1_1","male"
"seq.11563.51",-0.071298210750092,-0.149639089391951,0.0250556941500988,-2.84558912329358,0.00477925258403791,0.284153700309758,0.276049779935906,265,-0.120631777129999,-0.0219646443701854,-101.55938370059,"SYTL4_C2_2__seq.11563.51__ANML",0.0071408206849258,"Q96C24","SYTL4","SYTL4","SYTL4__seq.11563.51","SYTL4_1","male"
"seq.12501.10",-0.587239310575105,-0.657654497794074,0.0404107598610276,-14.5317562103415,1.19815108158255e-35,0.467371058169343,0.461386463317313,267,-0.666803595890013,-0.507675025260198,158.128366883977,"TBCA__seq.12501.10__ANML",4.37325144777632e-34,"O75347","TBCA","TBCA","TBCA__seq.12501.10","TBCA","male"
"seq.12587.65",-0.439705962965001,-0.515685766459297,0.0438392821443337,-10.0299535361309,2.67368690447106e-20,0.312555209038194,0.304831110263342,267,-0.526020626795324,-0.353391299134678,202.265695349252,"ARL2__seq.12587.65__ANML",2.78827348609125e-19,"P36404","ARL2","ARL2","ARL2__seq.12587.65","ARL2","male"
"seq.12893.159",-0.135188545638289,-0.130937363413928,0.057750903597231,-2.34089056997492,0.0199740237507234,0.1863636596785,0.177221678326573,267,-0.248893642667043,-0.0214834486095348,351.645625884081,"IP16_HIN_2__seq.12893.159__ANML",0.0251397195483243,"Q16666","IFI16","IFI16","IFI16__seq.12893.159","IFI16_1","male"
"seq.13022.20",-0.413981590967837,-0.219101951435681,0.11276726549931,-3.67111492093751,0.000291617548449827,0.0736781459458804,0.0632700352261711,267,-0.636007776994147,-0.191955404941528,714.345034891089,"P5I11__seq.13022.20__ANML",0.000760288608458478,"O14683","TP53I11","TP53I11","TP53I11__seq.13022.20","TP53I11","male"
"seq.13055.53",0.114502021992607,0.167607199626566,0.0388319569890743,2.94865442977348,0.0034752772298419,0.165687766374947,0.156278229905492,266,0.0380449149867181,0.190959128998496,133.587122222542,"PSD1__seq.13055.53__ANML",0.00576580085860133,"A5PKW4","PSD","PSD","PSD__seq.13055.53","PSD","male"
"seq.13658.31",-0.133870646154207,-0.139291798624403,0.0425869651467261,-3.1434652761233,0.00185943452476585,0.493798030909464,0.488067442580137,265,-0.217722518682612,-0.0500187736258024,181.777252140777,"PDGF.CC__seq.13658.31__ANML",0.00352579519391183,"Q9NRA1","PDGFC","PDGFC","PDGFC__seq.13658.31","PDGFC_1","male"
"seq.13732.79",0.294722064533659,0.528249911715001,0.028058603663752,10.5038036840872,8.13436921513959e-22,0.344597113723701,0.337205351848404,266,0.239476853395861,0.349967275671458,-40.9326998121374,"Cardiotrophin.1__seq.13732.79__ANML",9.89681587841984e-21,"Q16619","CTF1","CTF1","CTF1__seq.13732.79","CTF1_1","male"
"seq.14318.1",-0.15566109003559,-0.273606208196392,0.0264475156917629,-5.88566018259592,1.18988158802246e-08,0.439037953098675,0.432711313471968,266,-0.207734194099183,-0.103587985971996,-72.3987404110519,"VPS29__seq.14318.1__ANML",7.23844632713661e-08,"Q9UBQ0","VPS29","VPS29","VPS29__seq.14318.1","VPS29","male"
"seq.14341.8",-0.0880978957451614,-0.244546929565469,0.0201493729462378,-4.37224006822557,1.76371989654317e-05,0.186454574048242,0.177313614206087,267,-0.127769766888497,-0.0484260246018261,-219.06185255031,"FA69C__seq.14341.8__ANML",6.77639749724481e-05,"Q0P6D2","DIPK1C","DIPK1C","DIPK1C__seq.14341.8","DIPK1C","male"
"seq.14685.17",-0.0661778380664623,-0.117785669270089,0.0301725854321095,-2.19331015618026,0.0291507758647054,0.252420439809548,0.243989091386347,266,-0.125585315100808,-0.00677036103211676,-0.696813168537233,"PKB_beta__seq.14685.17__ANML",0.0339028377500321,"P31751","AKT2","AKT2","AKT2__seq.14685.17","AKT2_1","male"
"seq.15548.35",-0.227629526645065,-0.43949473608542,0.0255585037326019,-8.90621489530727,8.48965790913626e-17,0.367889553298813,0.360760488110454,266,-0.277952235215838,-0.177306818074293,-90.8624964502276,"SERA__seq.15548.35__ANML",7.74681284208684e-16,"O43175","PHGDH","PHGDH","PHGDH__seq.15548.35","PHGDH_1","male"
"seq.15606.19",-0.116574563199428,-0.185918671836595,0.0356903218817568,-3.26627940161604,0.00123274479666651,0.158970355069086,0.149485058321745,266,-0.186846034708214,-0.0463030916906433,89.4486162161098,"Keratin_19__seq.15606.19__ANML",0.0026467755928428,"P08727","KRT19","KRT19","KRT19__seq.15606.19","KRT19","male"
"seq.17692.2",-0.0699356616566532,-0.154892415297758,0.0250860585727509,-2.7878298001193,0.00568753691465794,0.197226236305606,0.188206306376455,267,-0.119327316962639,-0.0205440063506674,-100.288466928702,"BT3A3__seq.17692.2__ANML",0.00830380389540059,"O00478","BTN3A3","BTN3A3","BTN3A3__seq.17692.2","BTN3A3_1","male"
"seq.18275.5",0.10787659334948,0.153603240210559,0.0427838058488349,2.52143518345779,0.012270272065351,0.0349039996436655,0.0240602243587628,267,0.0236400447886291,0.19211314191033,189.056827390407,"CRIP1__seq.18275.5__ANML",0.0159951760851898,"P50238","CRIP1","CRIP1","CRIP1__seq.18275.5","CRIP1","male"
"seq.18308.30",-0.111425004122455,-0.140195725125697,0.0370923434995321,-3.00398933067847,0.00291766947570243,0.433580560984245,0.427216297624518,267,-0.184455697218665,-0.0383943110262454,111.686820972943,"STXB6__seq.18308.30__ANML",0.00507118742205423,"Q8NFX7","STXBP6","STXBP6","STXBP6__seq.18308.30","STXBP6","male"
"seq.18336.31",-0.241679030771069,-0.279560632578425,0.0500747823625215,-4.82636208024647,2.34221906671885e-06,0.127475546428757,0.117671900883013,267,-0.340270700036262,-0.143087361505876,274.344794199542,"CDA__seq.18336.31__ANML",1.00577642276751e-05,"P32320","CDA","CDA","CDA__seq.18336.31","CDA","male"
"seq.19332.1",-0.0875862393310289,-0.127769475400563,0.0234791400420673,-3.73038531965402,0.000233533377544693,0.694921069416198,0.691493216263571,267,-0.133814051024749,-0.0413584276373089,-136.168805852637,"MOBL3__seq.19332.1__ANML",0.000631405057806021,"Q9Y3A3","MOB4","MOB4","MOB4__seq.19332.1","MOB4","male"
"seq.20133.1",-0.0932578943084053,-0.171487512208392,0.029682515479537,-3.1418460599371,0.00186937208174195,0.232006378945021,0.223312111536852,265,-0.151701469607498,-0.0348143190093124,-11.513608419978,"MAGE.3__seq.20133.1__ANML",0.00352579519391183,"P43357","MAGEA3","MAGEA3","MAGEA3__seq.20133.1","MAGEA3_2","male"
"seq.20135.85",-0.0620489411598346,-0.133913065658766,0.0235047441592194,-2.6398475447986,0.00878235407821119,0.330803608098084,0.323284547514917,267,-0.108327164508503,-0.015770717811166,-135.578074238762,"MCE1__seq.20135.85__ANML",0.0120964499567815,"O60942","RNGTT","RNGTT","RNGTT__seq.20135.85","RNGTT_2","male"
"seq.20241.9",0.0970263917139981,0.172251361661436,0.0337820136509456,2.87213168275072,0.00440432652150273,0.064633071335497,0.0541233305639857,267,0.0305133693932245,0.163539414034772,61.0195480886125,"SNP23__seq.20241.9__ANML",0.00684076246956806,"O00161","SNAP23","SNAP23","SNAP23__seq.20241.9","SNAP23","male"
"seq.20387.277",0.169181397615866,0.237467324621545,0.0425405831576567,3.97694119492614,8.9950746386179e-05,0.0727971479556259,0.0623791383820936,267,0.0854237274443977,0.252939067787334,185.966806888238,"CHCH7__seq.20387.277__ANML",0.000273600186924628,"Q9BUK0","CHCHD7","CHCHD7","CHCHD7__seq.20387.277","CHCHD7","male"
"seq.20398.60",-0.156517720748844,-0.103669835956339,0.0887529031442231,-1.76352226466895,0.0789561763985874,0.1013133148493,0.0912157116453595,267,-0.331262301958849,0.018226860461161,584.552317563481,"POP7__seq.20398.60__ANML",0.0835333460448823,"O75817","POP7","POP7","POP7__seq.20398.60","POP7","male"
"seq.20941.7",0.0953660901243837,0.201335408920476,0.0224124711391273,4.2550457525362,2.89528221005163e-05,0.417766442769882,0.411224492688644,267,0.0512384306975828,0.139493749551185,-161.368997179958,"UBL3__seq.20941.7__ANML",0.000100645524444652,"O95164","UBL3","UBL3","UBL3__seq.20941.7","UBL3","male"
"seq.21115.48",-0.569043979862443,-0.432073132427351,0.0730957694535683,-7.78490990814331,1.54114975821414e-13,0.198925846334295,0.18992501314704,267,-0.71296140868875,-0.425126551036136,479.357896544815,"BN3D2__seq.21115.48__ANML",1.25004369277369e-12,"Q7Z5W3","BCDIN3D","BCDIN3D","BCDIN3D__seq.21115.48","BCDIN3D","male"
"seq.21130.82",-0.105602615241695,-0.160401492963673,0.0382398981571382,-2.76158202115877,0.00615137656342384,0.122663297659649,0.112805581903016,267,-0.180892715646904,-0.030312514836486,128.200938369618,"ITPK1__seq.21130.82__ANML",0.00880491155156746,"Q13572","ITPK1","ITPK1","ITPK1__seq.21130.82","ITPK1","male"
"seq.21207.1",-0.0450235552514718,-0.0599295718673203,0.0334586101808714,-1.34564929649147,0.17956583462143,0.488034461296717,0.48223862500951,265,-0.110902095931652,0.0208549854287082,53.25912372285,"COASY__seq.21207.1__ANML",0.182059804546728,"Q13057","COASY","COASY","COASY__seq.21207.1","COASY","male"
"seq.21217.20",-0.0705805577455672,-0.113233559296656,0.0367600508181383,-1.92003428109357,0.0559189108822807,0.0955225771724961,0.0853599095002769,267,-0.142957003562058,0.00179588807092328,106.809420575253,"PHB2__seq.21217.20__ANML",0.0618497044607044,"Q99623","PHB2","PHB2","PHB2__seq.21217.20","PHB2_1","male"
