"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label","Gender"
"seq.21916.82",0.118686397625168,0.265025584080756,0.0177275225896073,6.69503575726638,8.82221144641563e-11,0.479268007363737,0.474713500139513,343,0.0838180575434997,0.153554737706837,-273.39688628735,"OTUL__seq.21916.82__ANML",3.38958650309653e-10,"Q96BN8","OTULIN","OTULIN","OTULIN__seq.21916.82","OTULIN","female"
"seq.21940.12",-0.157708699868652,-0.214351464652685,0.0392538439523481,-4.01766257745613,7.22718117790992e-05,0.0558288503217565,0.0475707936190312,343,-0.234917253603375,-0.0805001461339281,278.018287346321,"WN10B__seq.21940.12__ANML",0.000155171831172772,"O00744","WNT10B","WNT10B","WNT10B__seq.21940.12","WNT10B","female"
"seq.22055.31",-0.25842139068162,-0.38486846617719,0.0315060194748774,-8.20228626112806,4.75467099992231e-15,0.268490267364208,0.262110822021454,344,-0.320390077434118,-0.196452703929121,126.171551965372,"FOXO1A__seq.22055.31__ANML",2.66993063841791e-14,"Q12778","FOXO1","FOXO1","FOXO1__seq.22055.31","FOXO1","female"
"seq.22088.3",-0.0733618306821537,-0.186180612112429,0.0210924821247428,-3.47810325253735,0.000569996627090779,0.0477994493339249,0.0394711646342215,343,-0.114848724080513,-0.0318749372837943,-152.780866695948,"BTG1__seq.22088.3__ANML",0.00096766869250295,"P62324","BTG1","BTG1","BTG1__seq.22088.3","BTG1","female"
"seq.22466.27",-0.0711046792875181,-0.154208636951886,0.0225465149923808,-3.15368824457112,0.00175502757547329,0.209038341242203,0.202100081077661,342,-0.115451975295726,-0.02675738327931,-107.577752723639,"HES5__seq.22466.27__ANML",0.00232940023653727,"Q5TA89","HES5","HES5","HES5__seq.22466.27","HES5","female"
"seq.22472.4",-0.285485992494843,-0.226817145585011,0.0670318317771691,-4.25896152508365,2.65355726205948e-05,0.0576556676527741,0.0494375484753273,344,-0.417329832341315,-0.153642152648371,651.643886013965,"HTF4__seq.22472.4__ANML",6.45698933767807e-05,"Q99081","TCF12","TCF12","TCF12__seq.22472.4","TCF12","female"
"seq.22537.5",-0.0554210691415841,-0.135209985990328,0.0223623186405607,-2.47832391767558,0.0136849428613711,0.0213495401724752,0.01271438905635,340,-0.099406983642353,-0.0114351546408151,-114.311605453104,"PPTC7__seq.22537.5__ANML",0.0151363761951528,"Q8NI37","PPTC7","PPTC7","PPTC7__seq.22537.5","PPTC7","female"
"seq.22782.80",1.18496496297562,0.857158733643499,0.038630297140059,30.6744977570166,1.8265600189165e-100,0.740562421097777,0.738299884072467,344,1.10898364821331,1.26094627773794,268.056891587469,"SPC25__seq.22782.80__ANML",1.33338881380904e-98,"Q9HBM1","SPC25","SPC25","SPC25__seq.22782.80","SPC25","female"
"seq.22858.3",-0.103904292686245,-0.237543795368774,0.0208948553547146,-4.97272131930796,1.04405815966455e-06,0.241833772662577,0.235221857889285,344,-0.145002050124234,-0.0628065352482562,-159.658699476344,"MK06__seq.22858.3__ANML",3.04864982622048e-06,"Q16659","MAPK6","MAPK6","MAPK6__seq.22858.3","MAPK6","female"
"seq.23253.5",-0.0941204875285494,-0.140008714794298,0.0283512113001223,-3.31980480594645,0.000997615990976553,0.411468282159209,0.406320774422992,343,-0.149884606420123,-0.0383563686369762,51.3579743457216,"CMTD1__seq.23253.5__ANML",0.00142796014394683,"Q86VU5","COMTD1","COMTD1","COMTD1__seq.23253.5","COMTD1","female"
