"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.23631.1",0.0278132303327941,0.0690773682381391,0.0258425427954769,1.07625749342522,0.282236194615861,0.209690481972892,0.203233704864828,612,-0.022937590268231,0.0785640509338191,-527.39248163463,"GALK2__seq.23631.1__ANML",0.641427146271493,"Q01415","GALK2","GALK2","GALK2__seq.23631.1","GALK2"
"seq.24720.10",0.0920048315123784,0.0582702729397125,0.0503133285069375,1.82863734606014,0.0679404857984504,0.805130193233079,0.803538119648382,612,-0.00680288756946601,0.190812550594223,296.300006376881,"ANR16__seq.24720.10__ANML",0.383755615711077,"Q6P6B7","ANKRD16","ANKRD16","ANKRD16__seq.24720.10","ANKRD16"
"seq.24915.123",-0.0380181880503521,-0.0643927580822284,0.0410488321818106,-0.926169784367182,0.354722231459209,0.0703659680670734,0.0627833087527755,613,-0.118631585902879,0.0425952098021746,45.4590158820291,"CAN13__seq.24915.123__ANML",0.681440076224269,"Q6MZZ7","CAPN13","CAPN13","CAPN13__seq.24915.123","CAPN13"
"seq.25255.4",-0.0277258356333473,-0.031353232094832,0.0498401795375676,-0.556294858698264,0.578212968913166,0.389595415635952,0.384600288104331,611,-0.125604679582019,0.0701530083153242,283.056826738383,"TMUB1__seq.25255.4__ANML",0.844190934613222,"Q9BVT8","TMUB1","TMUB1","TMUB1__seq.25255.4","TMUB1"
"seq.25262.6",-0.0990662409071235,-0.133927787388077,0.0491590267902131,-2.01521973431024,0.0443176335192306,0.15059316925523,0.143664891679824,613,-0.195606775047787,-0.00252570676645957,268.668064800444,"ZW10__seq.25262.6__ANML",0.383206550183157,"O43264","ZW10","ZW10","ZW10__seq.25262.6","ZW10"
"seq.25941.4",0.0470232730213516,0.0568168616605436,0.0579064488429862,0.81205589292577,0.417074785236143,0.0585401270715201,0.0508610090215325,613,-0.0666958110717426,0.160742357114446,471.413182611457,"OA_synthetase__seq.25941.4__ANML",0.742596568835084,"Q15646","OASL","OASL","OASL__seq.25941.4","OASL"
"seq.25951.17",0.025999297749152,0.0500015565723884,0.0347937327929965,0.74724082937101,0.455205663882173,0.144488602127936,0.137487690525055,611,-0.042330519158319,0.094329114656623,-161.376584560726,"PRAME__seq.25951.17__ANML",0.772791010776712,"P78395","PRAME","PRAME","PRAME__seq.25951.17","PRAME"
"seq.2797.56",0.0181325232634769,0.0204437954121522,0.0582782464156563,0.311137077360749,0.755802536865575,0.173744468692584,0.166982966799725,611,-0.0963174534309416,0.132582499957895,476.125956033626,"Apo_B__seq.2797.56__ANML",0.905188400756535,"P04114","APOB","APOB","APOB__seq.2797.56","APOB"
"seq.2859.69",-0.0258989602813593,-0.0391645234765861,0.0307424672174968,-0.842448984270825,0.39986578399081,0.585374979188437,0.581987519868081,612,-0.0862724866381058,0.0344745660753872,-312.79596274137,"HDAC8__seq.2859.69__ANML",0.729755055783228,"Q9BY41","HDAC8","HDAC8","HDAC8__seq.2859.69","HDAC8"
"seq.2943.5",0.0517453854126761,0.0796653375668992,0.0443055008176116,1.16792236760152,0.24329286909964,0.103784061411415,0.096462035769351,612,-0.0352638745285215,0.138754645353874,138.818363983882,"Cytochrome_P450_3A4__seq.2943.5__ANML",0.612426877388748,"P08684","CYP3A4","CYP3A4","CYP3A4__seq.2943.5","CYP3A4_1"
"seq.3480.7",-0.0148802249511774,-0.010518755751732,0.0723141043941568,-0.205772097654297,0.837037366475232,0.498687792243061,0.49459210427119,612,-0.156894119175007,0.127133669272652,744.440102616506,"DUS3__seq.3480.7__ANML",0.943238967454909,"P51452","DUSP3","DUSP3","DUSP3__seq.3480.7","DUSP3"
"seq.4337.49",0.0635614572934315,0.0253244505221434,0.173865427882615,0.365578471047993,0.714805754850532,0.0771353436988385,0.0696078995201994,613,-0.277882675602308,0.405005590189171,1832.53579810205,"CRP__seq.4337.49__ANML",0.887872026407259,"P02741","CRP","CRP","CRP__seq.4337.49","CRP"
"seq.5015.15",0.0843753487493333,0.0840575546900292,0.0659115125329529,1.28013067075573,0.200983394913497,0.17079087285885,0.164027340011043,613,-0.0450644111772636,0.21381510867593,631.71482759948,"PAFAH__seq.5015.15__ANML",0.595172925670908,"Q13093","PLA2G7","PLA2G7","PLA2G7__seq.5015.15","PLA2G7"
"seq.5383.14",0.0229198323196634,0.0154247739694739,0.0569330707566078,0.402575023884572,0.687401462981909,0.718909672154472,0.716613182547891,612,-0.0888880529608742,0.134727717600201,447.649230280618,"BAFF_Receptor__seq.5383.14__ANML",0.880356259608409,"Q96RJ3","TNFRSF13C","TNFRSF13C","TNFRSF13C__seq.5383.14","TNFRSF13C"
"seq.5494.52",-0.0385480230582965,-0.088032691272869,0.0289383460616853,-1.33207416125742,0.183332464737796,0.163865928304798,0.157023587292563,611,-0.0953787143717047,0.0182826682551116,-387.536742888781,"RUXF__seq.5494.52__ANML",0.595172925670908,"P62306","SNRPF","SNRPF","SNRPF__seq.5494.52","SNRPF"
"seq.5744.12",-0.157870697386645,-0.144278684209962,0.0629293034915756,-2.50869926452911,0.0123746595442568,0.363898650298322,0.358710221671065,613,-0.281453871604125,-0.0342875231691655,574.393949712133,"CA056__seq.5744.12__ANML",0.28139557128071,"Q9BUN1","MENT","MENT","MENT__seq.5744.12","MENT"
"seq.6378.2",-0.108204444533127,-0.119403138694097,0.061468965313487,-1.76031016597225,0.0788538936392623,0.115144676606391,0.107927259612968,613,-0.228919746114715,0.0125108570484622,545.326314976325,"CEI__seq.6378.2__ANML",0.383755615711077,"Q86SI9","C5orf38","C5orf38","C5orf38__seq.6378.2","C5orf38"
"seq.6442.6",0.0524949585349978,0.0773482872283223,0.0480269696784442,1.09303083010376,0.274810318113761,0.0354196895810863,0.0275391314894285,612,-0.0418226998104572,0.146812616880453,238.506559815186,"BAGE3__seq.6442.6__ANML",0.641427146271493,"Q86Y29","BAGE3","BAGE3","BAGE3__seq.6442.6","BAGE3"
"seq.7203.125",-0.0437156327502954,-0.151952728098747,0.0201603899586842,-2.16839222058126,0.0305146686163976,0.0640179220272374,0.0563459377815592,610,-0.0833078272701206,-0.00412343823047016,-834.256027682138,"RFNG__seq.7203.125__ANML",0.383206550183157,"Q9Y644","RFNG","RFNG","RFNG__seq.7203.125","RFNG"
"seq.7223.60",-0.134686404231478,-0.0871963395545388,0.0792798551363637,-1.69887298607968,0.0898505178759805,0.493366547289217,0.489234137397612,613,-0.290379469395713,0.0210066609327562,860.337450723781,"S100A13__seq.7223.60__ANML",0.409942987809161,"Q99584","S100A13","S100A13","S100A13__seq.7223.60","S100A13"
"seq.7965.25",-0.138200293626317,-0.131588153741369,0.072058268270937,-1.91789640443048,0.0555884547317844,0.0946792526320537,0.0872949072212221,613,-0.279711307215229,0.0033107199625943,742.097321705035,"HBAT__seq.7965.25__ANML",0.383206550183157,"P09105","HBQ1","HBQ1","HBQ1__seq.7965.25","HBQ1_2"
"seq.8760.10",-0.114779841901693,-0.123269770228139,0.0631127105695837,-1.81864858704088,0.0694528865876565,0.11644259711979,0.109235766753719,613,-0.238723198540026,0.00916351473663958,577.996845532586,"DCNL5__seq.8760.10__ANML",0.383755615711077,"Q9BTE7","DCUN1D5","DCUN1D5","DCUN1D5__seq.8760.10","DCUN1D5"
"seq.8922.4",-0.0115881906425147,-0.0119332908352224,0.0684969535315997,-0.169178190343439,0.865712476979163,0.0493819206974566,0.0416027220124932,611,-0.146106217822279,0.122929836537249,674.467860792232,"TMCC3_region_1__seq.8922.4__ANML",0.943238967454909,"Q9ULS5","TMCC3","TMCC3","TMCC3__seq.8922.4","TMCC3_2"
"seq.8967.6",0.00635386832273992,0.00859262505202431,0.0480644562546709,0.132194740518311,0.894873924288987,0.188277535870447,0.181613147823407,609,-0.0880383293228578,0.100746065968338,236.175524603862,"DUS26__seq.8967.6__ANML",0.94925394468356,"Q9BV47","DUSP26","DUSP26","DUSP26__seq.8967.6","DUSP26"
"seq.9199.6",0.0166485751203663,0.0284786229044224,0.0408643634657933,0.407410606904533,0.68384913615432,0.0610552582333663,0.0533715860421501,611,-0.0636030750911927,0.0969002253319252,38.0349068685446,"UB2G2__seq.9199.6__ANML",0.880356259608409,"P60604","UBE2G2","UBE2G2","UBE2G2__seq.9199.6","UBE2G2"
"seq.9314.9",-0.11554506418583,-0.123622610941588,0.0602592881867113,-1.91746480356385,0.0556433296036712,0.200607263565108,0.194086931294024,613,-0.233884751692408,0.00279462332074784,520.720201928285,"PSG5__seq.9314.9__ANML",0.383206550183157,"Q15238","PSG5","PSG5","PSG5__seq.9314.9","PSG5"
