"apt_name","Protein_id","coef","OddsRatio","se","z","p","CI95_lower","CI95_upper","p_adjusted","standardized_beta","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRBB2__seq.10000.28__ANML",0.375361394508987,1.45551733555281,0.426493388611239,0.880110699327017,0.378799343555618,0.646837766279012,3.4736058188256,0.995653058142608,0.375361394508987,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","c.Raf__seq.10001.7__ANML",0.289849163619464,1.33622592134251,0.317026658185659,0.914273787820458,0.360573000324452,0.722913958994636,2.51100120445453,0.995653058142608,0.289849163619464,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",0.0259016067972886,1.0262399684684,0.576153070531428,0.0449561203820326,0.964142284429386,0.336130909375235,3.24962186864886,0.99869416736813,0.0259016067972886,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",1.00057177814805,2.71983652703779,0.546761069209825,1.82999821035918,0.067250206449205,0.953169482148493,8.22310725993013,0.995653058142608,1.00057177814805,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUC1A__seq.10008.43__ANML",-0.326511135476773,0.72143634146626,0.705901392588935,-0.462544965776699,0.643690564297477,0.18465515516313,2.98122317469393,0.995653058142608,-0.326511135476773,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",-1.26734244617652,0.281578939507303,0.809698911204393,-1.56520211234,0.117535526397413,0.0583181681484336,1.41554772428774,0.995653058142608,-1.26734244617652,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",0.11995307256981,1.12744394229104,0.652311524970626,0.183889243065592,0.85410034369733,0.314510254751516,4.07493577846858,0.995653058142608,0.11995307256981,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",0.49769441028171,1.64492437461431,0.821838325958671,0.605586761485176,0.544789195442984,0.331523323754452,8.3552400694028,0.995653058142608,0.49769441028171,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SLUG__seq.10014.31__ANML",-0.777240794277055,0.45967259437311,0.701199354060517,-1.10844482353869,0.267669755893783,0.115988165888369,1.84141411485309,0.995653058142608,-0.777240794277055,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCAB2__seq.10015.119__ANML",0.593469881909705,1.81025891482058,0.548111363086262,1.08275420266429,0.278917538283436,0.634468392325464,5.47750569354646,0.995653058142608,0.593469881909705,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","POLH__seq.10022.207__ANML",-0.125808185987561,0.881783969084098,0.390437289499449,-0.322223797191224,0.747283157572039,0.415162570562865,1.92870990927076,0.995653058142608,-0.125808185987561,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","VDR__seq.10023.32__ANML",0.0688000260805574,1.07122197127188,0.84309746794118,0.0816038817535119,0.93496171439972,0.208647148904903,5.70792297859295,0.997690418053428,0.0688000260805574,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44","HOGA1__seq.10024.44__ANML",-0.666991592522695,0.513250323635227,0.475876999799024,-1.40160502147484,0.161033226670701,0.202107558537959,1.33304501589107,0.995653058142608,-0.666991592522695,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1","DLDH__seq.10025.1__ANML",0.297439439230419,1.34640683344968,0.498945225207664,0.596136457877962,0.551084070387126,0.51031277490539,3.62288770124285,0.995653058142608,0.297439439230419,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8","MutY_homolog__seq.10030.8__ANML",0.366259324641987,1.44232922567099,0.490674811212581,0.746440037826412,0.455401640810772,0.570024948823883,3.9566472259415,0.995653058142608,0.366259324641987,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6","DUS4__seq.10035.6__ANML",0.274710056485258,1.31614901066969,0.892730086869078,0.307719052517544,0.75829612093459,0.236644107929954,7.93684928786929,0.995653058142608,0.274710056485258,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
"seq.10036.201","ZHX3__seq.10036.201__ANML",-0.191309539922337,0.825876906707866,0.720975403788071,-0.265348219810523,0.790741221330443,0.201362132031956,3.4156267430527,0.995653058142608,-0.191309539922337,"Q9H4I2","ZHX3","ZHX3","ZHX3__seq.10036.201","ZHX3"
"seq.10037.98","SIG12_Ig.like_V.type_2__seq.10037.98__ANML",0.48573017898666,1.62536138038542,0.413859950609054,1.17365833121045,0.240531906773141,0.730640469226187,3.71294702311918,0.995653058142608,0.48573017898666,"Q96PQ1","SIGLEC12","SIGLEC12","SIGLEC12__seq.10037.98","SIGLEC12_1"
"seq.10039.32","PNP__seq.10039.32__ANML",0.0854663756712477,1.08922493627098,0.183947871999257,0.464622801788068,0.642201600454775,0.76094268401272,1.56662681565125,0.995653058142608,0.0854663756712477,"P00491","PNP","PNP","PNP__seq.10039.32","PNP_1"
