"coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","symbol","label"
-0.213580196900585,-0.115576475212422,0.109055707246914,-1.95845043136546,0.0510428771038927,0.0276675269181395,0.015551234418677,321,-0.428134400383321,0.00097400658215166,876.142462199612,"PSMB10__TPM",0.0755827218653795,"PSMB10","PSMB10"
-0.396020121894625,-0.202755388146254,0.113331055277467,-3.49436543165555,0.000541736088313444,0.056380143824836,0.0446581580338402,322,-0.61898294647843,-0.173057297310821,905.273266427164,"MORF4L2__TPM",0.00371296617191352,"MORF4L2","MORF4L2"
-0.254400329320302,-0.131738726978706,0.112302354042604,-2.26531608788709,0.0241572636692424,0.0521094150123233,0.040334376689495,322,-0.475339329697965,-0.033461328942638,899.309829796942,"HSPA1L__TPM",0.0432583558728295,"HSPA1L","HSPA1L"
0.163563694112958,0.0803981735749942,0.118212867576042,1.38363697173443,0.167428056736902,0.0536823227843976,0.0419268236885515,322,-0.0690034058083822,0.396130794034298,932.854888163118,"RASSF2__TPM",0.214866006145691,"RASSF2","RASSF2"
-0.474965005581351,-0.241982400674274,0.111920993264718,-4.24375259481439,2.87797533727024e-05,0.0887105322322848,0.0773901661730585,322,-0.695153732558537,-0.254776278604166,897.08517128367,"WNT10B__TPM",0.00221604100969808,"WNT10B","WNT10B"
-0.377663400869958,-0.192831022196402,0.113176332078302,-3.33694681506969,0.000946160225565043,0.0640683356471708,0.0524418553446511,322,-0.600321829439536,-0.155004972300381,904.379794570252,"MAD2L1BP__TPM",0.00404746318713935,"MAD2L1BP","MAD2L1BP"
-0.257170499575485,-0.125074990014074,0.121086081489353,-2.12386507526133,0.0344434026748166,0.0279781888418044,0.0159033837342492,322,-0.495390241556645,-0.0189507575943238,948.56053344567,"MCAM__TPM",0.0564285533183166,"MCAM","MCAM"
0.2541955047486,0.128803613198746,0.116567972286263,2.18066334828538,0.0299317791006969,0.0221601165909964,0.0100130372939901,322,0.0248645036975644,0.483526505799636,923.690774754082,"HES5__TPM",0.0501031954511665,"HES5","HES5"
0.0348617599326041,0.0179074842242625,0.114488460430188,0.304500207283876,0.760943535189049,0.0306449602809514,0.0186032827689135,322,-0.190378095615103,0.260101615480311,911.918434466227,"FOXO1__TPM",0.770955950125747,"FOXO1","FOXO1"
-0.356194089507853,-0.182128920839274,0.113741878615621,-3.13160019724638,0.00189806552513609,0.0519874025499308,0.0402108485443398,322,-0.579965150913026,-0.132423028102681,907.639719810205,"ATG7__TPM",0.00584604181741915,"ATG7","ATG7"
-0.378074201929758,-0.198069560088575,0.110540199701901,-3.42024171251118,0.000706223277481904,0.0600369563700235,0.048360396821825,322,-0.595546412836577,-0.160601991022939,888.966446619807,"PHB2__TPM",0.00371296617191352,"PHB2","PHB2"
-0.136130382236241,-0.0701578935170308,0.113541250371953,-1.19895088164247,0.231428618776399,0.0402918070340299,0.0283699661276203,322,-0.359506735943774,0.087245971471292,906.485116685691,"BCDIN3D__TPM",0.274153902242811,"BCDIN3D","BCDIN3D"
-0.37100317892139,-0.186529161677962,0.115661239577405,-3.20767078302925,0.00147266327042819,0.0522303371537061,0.0404568009692802,322,-0.598550311593062,-0.143456046249718,918.583697997559,"RNGTT__TPM",0.00515432144649865,"RNGTT","RNGTT"
-0.382874104748352,-0.206306741598936,0.108627872902208,-3.52463962074479,0.000485693210612399,0.0458903713424336,0.0340011547859531,321,-0.596586594767683,-0.169161614729022,872.864247712964,"DCUN1D5__TPM",0.00371296617191352,"DCUN1D5","DCUN1D5"
-0.0461649587538745,-0.0229464639393465,0.119051639893749,-0.387772556472769,0.698440565543311,0.018554238682103,0.00636236587070049,322,-0.280382224595585,0.188052307087836,937.478920529708,"TCF12__TPM",0.717065647291133,"TCF12","TCF12"
-0.236393676338612,-0.121051259084488,0.115137789062392,-2.05313718687538,0.0408668503603189,0.0257025023772648,0.0135994278726345,322,-0.462910994145581,-0.00987635853164215,915.617158443149,"PPIL1__TPM",0.0642193362805011,"PPIL1","PPIL1"
-0.434738857159478,-0.223405058860185,0.113113338632931,-3.843391614231,0.000146199816296499,0.0530094760853866,0.0412456186454534,322,-0.657273355033486,-0.21220435928547,904.015679723939,"DMKN__TPM",0.00347824362105951,"DMKN","DMKN"
-0.397384129285154,-0.200676630837591,0.115377233157403,-3.44421614568468,0.000648506948962373,0.0485155198197674,0.0366958368361621,322,-0.624372519488149,-0.17039573908216,916.975824728325,"ZW10__TPM",0.00371296617191352,"ZW10","ZW10"
-0.345875574808753,-0.175797975604108,0.115208515091043,-3.00217023486004,0.00289034109693401,0.0389499336952169,0.0270114235547847,322,-0.572532036075394,-0.119219113542112,916.018769611699,"CD72__TPM",0.00790576158173719,"CD72","CD72"
-0.303836727650371,-0.156045784060902,0.112727449975588,-2.69532157177485,0.00740133143202328,0.0605540286358494,0.0488838923456114,322,-0.525612044161377,-0.0820614111393661,901.780729792501,"NPY__TPM",0.0154027708179944,"NPY","NPY"
-0.280030074665935,-0.145015446726309,0.111535440396991,-2.51068246710837,0.0125394648262281,0.0649521125765611,0.0533366108694376,322,-0.499460280898702,-0.0605998684331692,894.828339188192,"ARL2__TPM",0.0241384697904892,"ARL2","ARL2"
-0.0975039888819192,-0.047739019305461,0.121406002640675,-0.803123295068871,0.422495891702671,0.00968936397122238,-0.00261263150739599,322,-0.33635313048676,0.141345152722921,950.286186100332,"S100A13__TPM",0.464745480872938,"S100A13","S100A13"
-0.334307259642558,-0.166906348555695,0.11750793178834,-2.84497611824814,0.00472588241378703,0.0353331263462688,0.0233496869219988,322,-0.56548749808986,-0.103127021195256,928.943231823955,"UBL3__TPM",0.0110270589655031,"UBL3","UBL3"
-0.0525782491155718,-0.0264694201170887,0.117663198031293,-0.446853816616378,0.655281007976276,0.0165623878815645,0.00434577158195659,322,-0.284063951938958,0.178907453707814,929.806808383914,"PCLAF__TPM",0.687866240393869,"PCLAF","PCLAF"
0.263607041634431,0.1287420050578,0.118823290554282,2.21847956242222,0.0272192702708932,0.0561161044333203,0.0443908386498834,322,0.0298390208261741,0.497375062442689,936.223298395813,"KCNMB3__TPM",0.0468265754691636,"KCNMB3","KCNMB3"
-0.380003541044362,-0.198805370085421,0.111495286110244,-3.40824759773812,0.000736865311974523,0.0463635303342878,0.034517114562043,322,-0.599354749396358,-0.160652332692366,894.592847834801,"BOLA3__TPM",0.00371296617191352,"BOLA3","BOLA3"
-0.264031836340969,-0.131878626267718,0.114807106466263,-2.299786524265,0.0220996579634591,0.0783570979122907,0.0669081177621328,322,-0.489898582903427,-0.0381650897785115,913.736128934234,"SMIM24__TPM",0.0415042356874721,"SMIM24","SMIM24"
0.160063328516949,0.0771461246090438,0.120978449669781,1.32307306759058,0.186749834930001,0.0470952889961369,0.0352579633936044,322,-0.0779446630799218,0.39807132011382,947.978942955711,"KRT19__TPM",0.230831875950454,"KRT19","KRT19"
-0.112084038750248,-0.0566572336473391,0.117391632961822,-0.954787286984071,0.340401503377441,0.0130699343888156,0.000809933573769794,322,-0.343035475702737,0.118867398202242,928.295640681433,"SIRT1__TPM",0.385454643530337,"SIRT1","SIRT1"
0.0163984820902129,0.00859180190386709,0.112844982470896,0.145318663986165,0.884550200355727,0.0202514693791384,0.00808068017887931,322,-0.205608062984492,0.238405027164918,902.462251537461,"UNG__TPM",0.884550200355727,"UNG","UNG"
-0.156049668462125,-0.07747701229107,0.118102278581138,-1.32130954912031,0.187336269237147,0.0363363315164824,0.0243653542682399,322,-0.388399200174897,0.0762998632506481,932.242780059821,"SNAP23__TPM",0.230831875950454,"SNAP23","SNAP23"
-0.301455449426629,-0.153566247208741,0.114942363086775,-2.62266618965409,0.00913930279697572,0.0390641174277807,0.027127025718809,322,-0.527588294262672,-0.0753226045905859,914.506166316311,"ST8SIA1__TPM",0.0185191135622929,"ST8SIA1","ST8SIA1"
0.265729735670491,0.131676548239368,0.116950328635107,2.27215894792041,0.0237360080809216,0.0586993637740558,0.0470061881687646,322,0.0356465025739047,0.495812968767077,925.832459364048,"CDA__TPM",0.0432583558728295,"CDA","CDA"
0.0760170490074747,0.0395834316421042,0.114201129293143,0.665641832773355,0.506118079423382,0.010327524692836,-0.0020048426007111,321,-0.148660163683864,0.300694261698813,906.985438286483,"CAPN13__TPM",0.548888621346485,"CAPN13","CAPN13"
-0.395014528611437,-0.200001322846635,0.115117861952335,-3.43139215680529,0.000678807482569522,0.0478312341193323,0.0360030506922433,322,-0.621492642647355,-0.168536414575519,915.503959657777,"VPS29__TPM",0.00371296617191352,"VPS29","VPS29"
