"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.24499.36",0.0985660295969058,0.111871631817469,0.0296508828521565,3.32421904900336,0.000918530951068379,0.09689648281887,0.0924256733278743,1010,0.0403816414813727,0.156750417712439,228.40381578089,"LGSN__seq.24499.36__ANML",0.0640799894478592,"Q5TDP6","LGSN","LGSN","LGSN__seq.24499.36","LGSN"
"seq.24634.1",-0.0437793921420348,-0.0156277824322162,0.097783825027388,-0.447716093431329,0.654454020138904,0.0250689684900076,0.0202473511234894,1011,-0.235661883580391,0.148103099296321,2657.38956005724,"DSCR6__seq.24634.1__ANML",0.880298658920221,"P57055","RIPPLY3","RIPPLY3","RIPPLY3__seq.24634.1","RIPPLY3"
"seq.24635.25",-0.0250379581946341,-0.0310211533008333,0.0283470388352395,-0.88326538585428,0.377303085846371,0.016993719901079,0.012127352177817,1010,-0.0806637929375517,0.0305878765482835,137.547420289277,"TPC6A__seq.24635.25__ANML",0.722817753454955,"O75865","TRAPPC6A","TRAPPC6A","TRAPPC6A__seq.24635.25","TRAPPC6A"
"seq.24636.9",-0.0222616469109044,-0.0309517711482494,0.0249496594784919,-0.892262554929668,0.372464536003261,0.0403155773267636,0.0355693635647792,1011,-0.0712206932555399,0.0266973994337311,-122.91855938943,"Dr1.associated_corepressor__seq.24636.9__ANML",0.721244331762523,"Q14919","DRAP1","DRAP1","DRAP1__seq.24636.9","DRAP1"
"seq.24637.3",0.0213219405099572,0.0107225189979916,0.0286652999920919,0.743824084026312,0.457154381514429,0.832814876279976,0.831994537105687,1019,-0.0349278269905544,0.0775717080104688,168.205636345914,"TCAL5__seq.24637.3__ANML",0.772349181199586,"Q5H9L2","TCEAL5","TCEAL5","TCEAL5__seq.24637.3","TCEAL5"
"seq.24638.3",-0.0344136805448459,-0.0493790438868564,0.0231913973123545,-1.48389853708871,0.138145682952298,0.110257942673607,0.105883596275739,1017,-0.0799221440139477,0.0110947829242559,-266.725177046688,"LRA25__seq.24638.3__ANML",0.510308249943426,"Q8N5H3","FAM89B","FAM89B","FAM89B__seq.24638.3","FAM89B"
"seq.24640.63",-0.0383578953172908,-0.0390079193493853,0.0263774198257615,-1.45419436664645,0.146201568630293,0.424026313039053,0.42118900423629,1015,-0.0901184101608194,0.0134026195262378,-10.2169206020389,"HEY1__seq.24640.63__ANML",0.520078866448142,"Q9Y5J3","HEY1","HEY1","HEY1__seq.24640.63","HEY1_2"
"seq.24641.10",-0.0527872737619721,-0.0762237458554711,0.0238891854151758,-2.20967240383335,0.0273511686738463,0.0480922243127747,0.0433891226542409,1012,-0.0996652823239681,-0.00590926519997608,-210.528594389283,"CLD1__seq.24641.10__ANML",0.282273365707206,"O95832","CLDN1","CLDN1","CLDN1__seq.24641.10","CLDN1"
"seq.24642.21",-0.0309156023727719,-0.0428165647599471,0.0252789771258373,-1.22297679288508,0.221623457293334,0.0220527519942346,0.0172162176321883,1011,-0.0805208730866174,0.0186896683410736,-93.8065598406065,"FA92A__seq.24642.21__ANML",0.60162881449376,"A1XBS5","FAM92A","FAM92A","FAM92A__seq.24642.21","FAM92A"
"seq.24643.21",0.0351801320656319,0.0182873040285257,0.0354623725549671,0.992041127849027,0.321412967295052,0.726608838664821,0.725267370748555,1019,-0.0344074951974259,0.10476775932869,604.41462922849,"CRYL1__seq.24643.21__ANML",0.687237472751763,"Q9Y2S2","CRYL1","CRYL1","CRYL1__seq.24643.21","CRYL1"
"seq.24645.2",-0.00775809775056432,-0.00910244658920437,0.0242131652489884,-0.320408243647057,0.748724696646343,0.351519315867694,0.348331111914241,1017,-0.0552715757598393,0.0397553802587107,-177.741023450068,"BIN3__seq.24645.2__ANML",0.922855598570782,"Q9NQY0","BIN3","BIN3","BIN3__seq.24645.2","BIN3"
"seq.24646.47",-0.0824932526102619,-0.0883651304920494,0.0313453195406032,-2.6317566328652,0.00862371423573263,0.104351307008761,0.0999261652449701,1012,-0.144002514322863,-0.0209839908976609,328.286166084506,"SPYA__seq.24646.47__ANML",0.171588350113649,"P21549","AGXT","AGXT","AGXT__seq.24646.47","AGXT"
